init_variables.started,init_variables.stopped,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,instruction_exp.started,instruction_exp.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,instruction_single.started,instruction_single.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,interval.started,interval.stopped,cue_single.started,cue_single.stopped,mask.started,mask.stopped,ori_response_single.started,res_ori,res,ori_response_single.stopped,key_resp_single.keys,key_resp_single.rt,key_resp_single.duration,disp_single.started,disp_single.stopped,key_resp.keys,key_resp.rt,key_resp.duration,single.thisRepN,single.thisTrialN,single.thisN,single.thisIndex,single.ran,ori,path,mask_path,instruction_bandit.started,instruction_bandit.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,cue_bandit.started,cue_bandit.stopped,bandit_res.keys,bandit_res.rt,bandit_res.duration,outcome_bandit.started,rew,action,outcome_bandit.stopped,bandit.thisRepN,bandit.thisTrialN,bandit.thisN,bandit.thisIndex,bandit.ran,actual_rew1,actual_rew2,rew1,rew2,instruction_task.started,instruction_task.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,wait_ready.started,wait_ready.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,cue.started,cue.stopped,ori_response.started,ori_response.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,outcome.started,diff1,diff2,outcome.stopped,disp_outcome_practice.started,disp_outcome_practice.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ori1,ori2,break_blk.started,break_blk.stopped,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,block.ran,condition_file
0,0,6174ecffb39d40681e51eca2,65af56614ec9136d74dc74d0,2024-01-23_08h03.27.082,bars,2023.2.3,Linux x86_64,61.57635468,657b66ea316d21385b68909f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6174ecffb39d40681e51eca2,65af56614ec9136d74dc74d0,2024-01-23_08h03.27.082,bars,2023.2.3,Linux x86_64,61.57635468,657b66ea316d21385b68909f,0,62.291,y,61.601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6174ecffb39d40681e51eca2,65af56614ec9136d74dc74d0,2024-01-23_08h03.27.082,bars,2023.2.3,Linux x86_64,61.57635468,657b66ea316d21385b68909f,,,,,,62.291,184.583,space,122.246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6174ecffb39d40681e51eca2,65af56614ec9136d74dc74d0,2024-01-23_08h03.27.082,bars,2023.2.3,Linux x86_64,61.57635468,657b66ea316d21385b68909f,,,,,,,,,,,184.598,185.586,185.587,186.085,186.085,186.272,186.273,0,0,197.799,space,11.419,,197.799,209.929,space,11.995,,0,0,0,4,1,95,bars/single004.png,bars/mask004.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6174ecffb39d40681e51eca2,65af56614ec9136d74dc74d0,2024-01-23_08h03.27.082,bars,2023.2.3,Linux x86_64,61.57635468,657b66ea316d21385b68909f,,,,,,,,,,,209.932,210.934,210.935,211.464,211.464,211.701,211.701,90,90,217.706,space,5.99,,217.706,220.678,space,2.912,,0,1,1,8,1,160,bars/single008.png,bars/mask004.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6174ecffb39d40681e51eca2,65af56614ec9136d74dc74d0,2024-01-23_08h03.27.082,bars,2023.2.3,Linux x86_64,61.57635468,657b66ea316d21385b68909f,,,,,,,,,,,220.679,221.689,221.69,222.166,222.166,222.414,222.414,0,180,233.982,space,11.557,,233.982,239.017,space,4.99,,0,2,2,2,1,145,bars/single002.png,bars/mask003.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6174ecffb39d40681e51eca2,65af56614ec9136d74dc74d0,2024-01-23_08h03.27.082,bars,2023.2.3,Linux x86_64,61.57635468,657b66ea316d21385b68909f,,,,,,,,,,,239.018,240.02,240.02,240.5,240.5,240.745,240.745,143,143,246.27,space,5.513,,246.27,251.129,space,4.805,,0,3,3,3,1,20,bars/single003.png,bars/mask005.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6174ecffb39d40681e51eca2,65af56614ec9136d74dc74d0,2024-01-23_08h03.27.082,bars,2023.2.3,Linux x86_64,61.57635468,657b66ea316d21385b68909f,,,,,,,,,,,251.13,252.134,252.134,252.644,252.644,252.892,252.892,141,141,258.072,space,5.168,,258.072,265.137,space,7.052,,0,4,4,7,1,45,bars/single007.png,bars/mask009.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6174ecffb39d40681e51eca2,65af56614ec9136d74dc74d0,2024-01-23_08h03.27.082,bars,2023.2.3,Linux x86_64,61.57635468,657b66ea316d21385b68909f,,,,,,,,,,,265.141,266.131,266.132,266.623,266.623,266.854,266.854,64,64,268.301,space,1.433,,268.301,272.523,space,4.21,,0,5,5,6,1,175,bars/single006.png,bars/mask005.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6174ecffb39d40681e51eca2,65af56614ec9136d74dc74d0,2024-01-23_08h03.27.082,bars,2023.2.3,Linux x86_64,61.57635468,657b66ea316d21385b68909f,,,,,,,,,,,272.524,273.5,273.5,274.004,274.004,274.255,274.255,145,-35,285.625,space,11.326,,285.626,289.652,space,3.952,,0,6,6,1,1,20,bars/single001.png,bars/mask006.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
