init_variables.started,init_variables.stopped,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,instruction_exp.started,instruction_exp.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,instruction_single.started,instruction_single.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,interval.started,interval.stopped,cue_single.started,cue_single.stopped,mask.started,mask.stopped,ori_response_single.started,res_ori,res,ori_response_single.stopped,key_resp_single.keys,key_resp_single.rt,key_resp_single.duration,disp_single.started,disp_single.stopped,key_resp.keys,key_resp.rt,key_resp.duration,single.thisRepN,single.thisTrialN,single.thisN,single.thisIndex,single.ran,ori,path,mask_path,instruction_bandit.started,instruction_bandit.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,cue_bandit.started,cue_bandit.stopped,bandit_res.keys,bandit_res.rt,bandit_res.duration,outcome_bandit.started,rew,action,outcome_bandit.stopped,bandit.thisRepN,bandit.thisTrialN,bandit.thisN,bandit.thisIndex,bandit.ran,actual_rew1,actual_rew2,rew1,rew2,instruction_task.started,instruction_task.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,wait_ready.started,wait_ready.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,cue.started,cue.stopped,ori_response.started,ori_response.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,outcome.started,diff1,diff2,outcome.stopped,disp_outcome_practice.started,disp_outcome_practice.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ori1,ori2,break_blk.started,break_blk.stopped,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,block.ran,condition_file
0.0002,0.0002,612e61d2784b1a22530108c2,65af5677be6af047326a98e8,2024-01-23_08h03.27.390,bars,2023.2.3,Win32,60.24096386,657b66ea316d21385b68909f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,612e61d2784b1a22530108c2,65af5677be6af047326a98e8,2024-01-23_08h03.27.390,bars,2023.2.3,Win32,60.24096386,657b66ea316d21385b68909f,0.0003,523.4974,y,523.4919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,612e61d2784b1a22530108c2,65af5677be6af047326a98e8,2024-01-23_08h03.27.390,bars,2023.2.3,Win32,60.24096386,657b66ea316d21385b68909f,,,,,,523.4975,583.2509,space,59.7399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,612e61d2784b1a22530108c2,65af5677be6af047326a98e8,2024-01-23_08h03.27.390,bars,2023.2.3,Win32,60.24096386,657b66ea316d21385b68909f,,,,,,,,,,,583.2572,584.2593,584.2593,584.7594,584.7596,585.0008,585.0009,124,124,611.6104,space,26.5799,,611.6105,677.3171,space,65.6832,,0,0,0,4,1,95,bars/single004.png,bars/mask004.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,612e61d2784b1a22530108c2,65af5677be6af047326a98e8,2024-01-23_08h03.27.390,bars,2023.2.3,Win32,60.24096386,657b66ea316d21385b68909f,,,,,,,,,,,677.3214,678.3168,678.3169,678.8168,678.8168,679.0591,679.0591,147,147,724.6835,space,45.6052,,724.6835,747.307,space,22.5978,,0,1,1,2,1,145,bars/single002.png,bars/mask003.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,612e61d2784b1a22530108c2,65af5677be6af047326a98e8,2024-01-23_08h03.27.390,bars,2023.2.3,Win32,60.24096386,657b66ea316d21385b68909f,,,,,,,,,,,747.3121,748.3095,748.3095,748.8085,748.8087,749.0499,749.05,49,49,771.5925,space,22.5169,,771.5925,793.5665,space,21.9504,,0,2,2,8,1,160,bars/single008.png,bars/mask004.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,612e61d2784b1a22530108c2,65af5677be6af047326a98e8,2024-01-23_08h03.27.390,bars,2023.2.3,Win32,60.24096386,657b66ea316d21385b68909f,,,,,,,,,,,793.5705,794.5667,794.5667,795.0664,795.0664,795.3252,795.3252,36,36,821.4092,space,26.0806,,821.4093,840.0662,space,18.6333,,0,3,3,7,1,45,bars/single007.png,bars/mask009.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,612e61d2784b1a22530108c2,65af5677be6af047326a98e8,2024-01-23_08h03.27.390,bars,2023.2.3,Win32,60.24096386,657b66ea316d21385b68909f,,,,,,,,,,,840.0704,841.0663,841.0663,841.5663,841.5664,841.8168,841.8168,4,184,924.2992,space,82.455,,924.2993,931.5925,space,7.2673,,0,4,4,3,1,20,bars/single003.png,bars/mask005.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,612e61d2784b1a22530108c2,65af5677be6af047326a98e8,2024-01-23_08h03.27.390,bars,2023.2.3,Win32,60.24096386,657b66ea316d21385b68909f,,,,,,,,,,,931.5991,932.592,932.592,933.0923,933.0923,933.3325,933.3325,4,4,1013.3326,space,79.9743,,1013.3326,1023.2656,space,9.9003,,0,5,5,1,1,20,bars/single001.png,bars/mask006.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,612e61d2784b1a22530108c2,65af5677be6af047326a98e8,2024-01-23_08h03.27.390,bars,2023.2.3,Win32,60.24096386,657b66ea316d21385b68909f,,,,,,,,,,,1023.2697,1024.2654,1024.2654,1024.7572,1024.7572,1025.0082,1025.0082,42,42,1075.9747,space,50.9629,,1075.9747,1083.2318,space,7.2338,,0,6,6,5,1,55,bars/single005.png,bars/mask008.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
