init_variables.started,init_variables.stopped,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,instruction_exp.started,instruction_exp.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,instruction_single.started,instruction_single.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,interval.started,interval.stopped,cue_single.started,cue_single.stopped,mask.started,mask.stopped,ori_response_single.started,res_ori,res,ori_response_single.stopped,key_resp_single.keys,key_resp_single.rt,key_resp_single.duration,disp_single.started,disp_single.stopped,key_resp.keys,key_resp.rt,key_resp.duration,single.thisRepN,single.thisTrialN,single.thisN,single.thisIndex,single.ran,ori,path,mask_path,instruction_bandit.started,instruction_bandit.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,cue_bandit.started,cue_bandit.stopped,bandit_res.keys,bandit_res.rt,bandit_res.duration,outcome_bandit.started,rew,action,outcome_bandit.stopped,bandit.thisRepN,bandit.thisTrialN,bandit.thisN,bandit.thisIndex,bandit.ran,actual_rew1,actual_rew2,rew1,rew2,instruction_task.started,instruction_task.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,wait_ready.started,wait_ready.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,cue.started,cue.stopped,ori_response.started,ori_response.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,outcome.started,diff1,diff2,outcome.stopped,disp_outcome_practice.started,disp_outcome_practice.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ori1,ori2,break_blk.started,break_blk.stopped,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,block.ran,condition_file
0.001,0.0012,6526a0e62c605cc42d9a52e4,65af56226c4c8a399abc700f,2024-01-23_08h04.16.669,bars,2023.2.3,Win32,7.501875469,657b66ea316d21385b68909f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6526a0e62c605cc42d9a52e4,65af56226c4c8a399abc700f,2024-01-23_08h04.16.669,bars,2023.2.3,Win32,7.501875469,657b66ea316d21385b68909f,0.0014,26.7454,y,26.5842,0.0007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6526a0e62c605cc42d9a52e4,65af56226c4c8a399abc700f,2024-01-23_08h04.16.669,bars,2023.2.3,Win32,7.501875469,657b66ea316d21385b68909f,,,,,,26.7457,60.8819,space,33.9435,0.0005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6526a0e62c605cc42d9a52e4,65af56226c4c8a399abc700f,2024-01-23_08h04.16.669,bars,2023.2.3,Win32,7.501875469,657b66ea316d21385b68909f,,,,,,,,,,,60.974,61.9911,61.9913,62.3911,62.3912,62.7451,62.7454,0,180,189.3298,space,126.3635,,189.3301,242.4568,space,52.8035,,0,0,0,5,1,55,bars/single005.png,bars/mask008.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6526a0e62c605cc42d9a52e4,65af56226c4c8a399abc700f,2024-01-23_08h04.16.669,bars,2023.2.3,Win32,7.501875469,657b66ea316d21385b68909f,,,,,,,,,,,242.4704,243.4127,243.4128,243.8743,243.8744,244.0955,244.0955,90,90,263.7288,space,19.4457,,263.729,285.4303,space,21.4787,0.0003,0,1,1,8,1,160,bars/single008.png,bars/mask004.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6526a0e62c605cc42d9a52e4,65af56226c4c8a399abc700f,2024-01-23_08h04.16.669,bars,2023.2.3,Win32,7.501875469,657b66ea316d21385b68909f,,,,,,,,,,,285.442,286.3759,286.3759,286.778,286.7781,286.9705,286.9705,129,129,359.8999,space,72.7445,,359.9,371.0878,space,10.9732,,0,2,2,4,1,95,bars/single004.png,bars/mask004.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6526a0e62c605cc42d9a52e4,65af56226c4c8a399abc700f,2024-01-23_08h04.16.669,bars,2023.2.3,Win32,7.501875469,657b66ea316d21385b68909f,,,,,,,,,,,371.0987,372.0252,372.0252,372.4351,372.4352,372.6629,372.6629,67,67,392.4747,space,19.6278,,392.4747,404.8788,space,12.2045,,0,3,3,6,1,175,bars/single006.png,bars/mask005.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6526a0e62c605cc42d9a52e4,65af56226c4c8a399abc700f,2024-01-23_08h04.16.669,bars,2023.2.3,Win32,7.501875469,657b66ea316d21385b68909f,,,,,,,,,,,404.8909,405.8359,405.8359,406.2621,406.2621,406.5242,406.5243,90,90,417.6526,space,10.9432,,417.6527,425.5573,space,7.7006,,0,4,4,7,1,45,bars/single007.png,bars/mask009.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6526a0e62c605cc42d9a52e4,65af56226c4c8a399abc700f,2024-01-23_08h04.16.669,bars,2023.2.3,Win32,7.501875469,657b66ea316d21385b68909f,,,,,,,,,,,425.5691,426.5151,426.5152,426.9303,426.9303,427.1422,427.1422,0,180,436.1282,space,8.7995,,436.1283,444.1466,space,7.8151,,0,5,5,2,1,145,bars/single002.png,bars/mask003.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6526a0e62c605cc42d9a52e4,65af56226c4c8a399abc700f,2024-01-23_08h04.16.669,bars,2023.2.3,Win32,7.501875469,657b66ea316d21385b68909f,,,,,,,,,,,444.1603,445.1205,445.1206,445.566,445.5661,445.9725,445.9725,90,90,460.0822,space,13.9129,0.0006,460.0822,464.2946,space,4.007,,0,6,6,1,1,20,bars/single001.png,bars/mask006.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
