init_variables.started,init_variables.stopped,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,instruction_exp.started,instruction_exp.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,instruction_single.started,instruction_single.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,interval.started,interval.stopped,cue_single.started,cue_single.stopped,mask.started,mask.stopped,ori_response_single.started,res_ori,res,ori_response_single.stopped,key_resp_single.keys,key_resp_single.rt,key_resp_single.duration,disp_single.started,disp_single.stopped,key_resp.keys,key_resp.rt,key_resp.duration,single.thisRepN,single.thisTrialN,single.thisN,single.thisIndex,single.ran,ori,path,mask_path,instruction_bandit.started,instruction_bandit.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,cue_bandit.started,cue_bandit.stopped,bandit_res.keys,bandit_res.rt,bandit_res.duration,outcome_bandit.started,rew,action,outcome_bandit.stopped,bandit.thisRepN,bandit.thisTrialN,bandit.thisN,bandit.thisIndex,bandit.ran,actual_rew1,actual_rew2,rew1,rew2,instruction_task.started,instruction_task.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,wait_ready.started,wait_ready.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,cue.started,cue.stopped,ori_response.started,ori_response.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,outcome.started,diff1,diff2,outcome.stopped,disp_outcome_practice.started,disp_outcome_practice.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ori1,ori2,break_blk.started,break_blk.stopped,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,block.ran,condition_file
0.0024,0.003,653b4e65dac7febe5e91cd70,65af5630f086a38d1a401828,2024-01-23_08h04.32.351,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,653b4e65dac7febe5e91cd70,65af5630f086a38d1a401828,2024-01-23_08h04.32.351,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,0.0037,7.5285,y,7.4724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,653b4e65dac7febe5e91cd70,65af5630f086a38d1a401828,2024-01-23_08h04.32.351,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,,,,,,7.5287,74.193,space,66.6368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,653b4e65dac7febe5e91cd70,65af5630f086a38d1a401828,2024-01-23_08h04.32.351,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,74.2284,75.2031,75.2042,75.6955,75.6958,75.9348,75.9352,0,0,86.0302,space,10.0386,,86.0305,95.7244,space,9.6295,,0,0,0,5,1,55,bars/single005.png,bars/mask008.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,653b4e65dac7febe5e91cd70,65af5630f086a38d1a401828,2024-01-23_08h04.32.351,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,95.7476,96.7344,96.7346,97.235,97.2352,97.4774,97.4774,0,180,104.2452,space,6.7516,,104.2453,116.0186,space,11.7332,,0,1,1,6,1,175,bars/single006.png,bars/mask005.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,653b4e65dac7febe5e91cd70,65af5630f086a38d1a401828,2024-01-23_08h04.32.351,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,116.0435,117.0342,117.0343,117.5345,117.5348,117.7845,117.7845,0,0,125.1187,space,7.3035,,125.1189,130.5536,space,5.382,,0,2,2,9,1,20,bars/single009.png,bars/mask006.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,653b4e65dac7febe5e91cd70,65af5630f086a38d1a401828,2024-01-23_08h04.32.351,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,130.5758,131.5683,131.5685,132.0684,132.0685,132.318,132.318,0,0,140.6346,space,8.3049,,140.6347,149.6183,space,8.9351,,0,3,3,8,1,160,bars/single008.png,bars/mask004.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,653b4e65dac7febe5e91cd70,65af5630f086a38d1a401828,2024-01-23_08h04.32.351,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,149.6434,150.6343,150.6344,151.1344,151.1346,151.3855,151.3859,145,145,173.0522,space,21.6351,,173.0525,177.67,space,4.5673,,0,4,4,3,1,20,bars/single003.png,bars/mask005.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,653b4e65dac7febe5e91cd70,65af5630f086a38d1a401828,2024-01-23_08h04.32.351,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,177.6923,178.6846,178.6847,179.1845,179.1846,179.4344,179.4345,88,88,185.9683,space,6.5172,,185.9684,190.0573,space,4.0507,,0,5,5,4,1,95,bars/single004.png,bars/mask004.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,653b4e65dac7febe5e91cd70,65af5630f086a38d1a401828,2024-01-23_08h04.32.351,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,190.0803,191.0684,191.0686,191.5695,191.5696,191.8183,191.8184,22,22,195.3241,space,3.4803,,195.3241,198.9183,space,3.5474,,0,6,6,1,1,20,bars/single001.png,bars/mask006.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,653b4e65dac7febe5e91cd70,65af5630f086a38d1a401828,2024-01-23_08h04.32.351,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,198.9192,199.918,199.9181,200.4181,200.4182,200.6678,200.6678,173,-7,205.9681,space,5.2889,,205.9685,210.1845,space,4.1592,,0,7,7,0,1,150,bars/single000.png,bars/mask006.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,653b4e65dac7febe5e91cd70,65af5630f086a38d1a401828,2024-01-23_08h04.32.351,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,210.2065,211.2013,211.2014,211.7022,211.7024,211.9527,211.9529,155,-25,216.9844,space,5.0001,,216.9846,224.2015,space,7.1722,,0,8,8,2,1,145,bars/single002.png,bars/mask003.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,653b4e65dac7febe5e91cd70,65af5630f086a38d1a401828,2024-01-23_08h04.32.351,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,224.2242,225.2022,225.2025,225.7012,225.7014,225.9513,225.9515,68,68,230.9286,space,4.9506,,230.9287,236.4019,space,5.4348,,0,9,9,7,1,45,bars/single007.png,bars/mask009.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,653b4e65dac7febe5e91cd70,65af5630f086a38d1a401828,2024-01-23_08h04.32.351,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,236.4238,269.487,space,33.0233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,653b4e65dac7febe5e91cd70,65af5630f086a38d1a401828,2024-01-23_08h04.32.351,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,269.5144,277.2538,right,7.6973,,277.2545,2,2,278.2519,0,0,0,0,1,9,1,9,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,653b4e65dac7febe5e91cd70,65af5630f086a38d1a401828,2024-01-23_08h04.32.351,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,278.2546,283.6365,right,5.3533,,283.6367,1,2,284.6351,0,1,1,1,1,10,0,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
