init_variables.started,init_variables.stopped,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,instruction_exp.started,instruction_exp.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,instruction_single.started,instruction_single.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,interval.started,interval.stopped,cue_single.started,cue_single.stopped,mask.started,mask.stopped,ori_response_single.started,res_ori,res,ori_response_single.stopped,key_resp_single.keys,key_resp_single.rt,key_resp_single.duration,disp_single.started,disp_single.stopped,key_resp.keys,key_resp.rt,key_resp.duration,single.thisRepN,single.thisTrialN,single.thisN,single.thisIndex,single.ran,ori,path,mask_path,instruction_bandit.started,instruction_bandit.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,cue_bandit.started,cue_bandit.stopped,bandit_res.keys,bandit_res.rt,bandit_res.duration,outcome_bandit.started,rew,action,outcome_bandit.stopped,bandit.thisRepN,bandit.thisTrialN,bandit.thisN,bandit.thisIndex,bandit.ran,actual_rew1,actual_rew2,rew1,rew2,instruction_task.started,instruction_task.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,wait_ready.started,wait_ready.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,cue.started,cue.stopped,ori_response.started,ori_response.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,outcome.started,diff1,diff2,outcome.stopped,disp_outcome_practice.started,disp_outcome_practice.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ori1,ori2,break_blk.started,break_blk.stopped,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,block.ran,condition_file
0.0007,0.0007,64b51ebf8e67162f918b1479,65af56b9258f4c49e4087ae0,2024-01-23_08h04.40.622,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,64b51ebf8e67162f918b1479,65af56b9258f4c49e4087ae0,2024-01-23_08h04.40.622,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,0.0009,9.0579,y,9.0433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,64b51ebf8e67162f918b1479,65af56b9258f4c49e4087ae0,2024-01-23_08h04.40.622,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,,,,,,9.0582,17.373,space,8.2987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,64b51ebf8e67162f918b1479,65af56b9258f4c49e4087ae0,2024-01-23_08h04.40.622,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,17.3802,18.3726,18.3727,18.8726,18.8727,19.1228,19.123,0,180,24.4724,space,5.3193,,24.4726,32.3923,space,7.8972,,0,0,0,5,1,55,bars/single005.png,bars/mask008.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,64b51ebf8e67162f918b1479,65af56b9258f4c49e4087ae0,2024-01-23_08h04.40.622,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,32.4016,33.4042,33.4045,33.9038,33.9039,34.1539,34.1541,0,0,38.3871,space,4.2231,,38.3871,41.8862,space,3.4732,,0,1,1,9,1,20,bars/single009.png,bars/mask006.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,64b51ebf8e67162f918b1479,65af56b9258f4c49e4087ae0,2024-01-23_08h04.40.622,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,41.8944,42.8858,42.8858,43.3862,43.3862,43.6361,43.6361,0,0,48.7858,space,5.141,,48.7859,50.6518,space,1.837,,0,2,2,4,1,95,bars/single004.png,bars/mask004.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,64b51ebf8e67162f918b1479,65af56b9258f4c49e4087ae0,2024-01-23_08h04.40.622,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,50.6522,51.6516,51.6516,52.1516,52.1516,52.4013,52.4014,0,180,58.285,space,5.8645,,58.285,61.4836,space,3.1738,,0,3,3,3,1,20,bars/single003.png,bars/mask005.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,64b51ebf8e67162f918b1479,65af56b9258f4c49e4087ae0,2024-01-23_08h04.40.622,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,61.4842,62.4836,62.4836,62.9832,62.9832,63.2336,63.2338,0,0,68.3173,space,5.071,,68.3175,70.3507,space,2.0051,,0,4,4,6,1,175,bars/single006.png,bars/mask005.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,64b51ebf8e67162f918b1479,65af56b9258f4c49e4087ae0,2024-01-23_08h04.40.622,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,70.3515,71.3498,71.3498,71.8498,71.8499,72.1001,72.1002,0,0,78.1153,space,5.999,,78.1154,80.3161,space,2.1769,,0,5,5,8,1,160,bars/single008.png,bars/mask004.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,64b51ebf8e67162f918b1479,65af56b9258f4c49e4087ae0,2024-01-23_08h04.40.622,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,80.317,81.3176,81.3176,81.8152,81.8153,82.065,82.0652,0,180,87.9804,space,5.8997,,87.9805,92.0465,space,4.0442,,0,6,6,1,1,20,bars/single001.png,bars/mask006.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
