init_variables.started,init_variables.stopped,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,instruction_exp.started,instruction_exp.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,instruction_single.started,instruction_single.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,interval.started,interval.stopped,cue_single.started,cue_single.stopped,mask.started,mask.stopped,ori_response_single.started,res_ori,res,ori_response_single.stopped,key_resp_single.keys,key_resp_single.rt,key_resp_single.duration,disp_single.started,disp_single.stopped,key_resp.keys,key_resp.rt,key_resp.duration,single.thisRepN,single.thisTrialN,single.thisN,single.thisIndex,single.ran,ori,path,mask_path,instruction_bandit.started,instruction_bandit.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,cue_bandit.started,cue_bandit.stopped,bandit_res.keys,bandit_res.rt,bandit_res.duration,outcome_bandit.started,rew,action,outcome_bandit.stopped,bandit.thisRepN,bandit.thisTrialN,bandit.thisN,bandit.thisIndex,bandit.ran,actual_rew1,actual_rew2,rew1,rew2,instruction_task.started,instruction_task.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,wait_ready.started,wait_ready.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,cue.started,cue.stopped,ori_response.started,ori_response.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,outcome.started,diff1,diff2,outcome.stopped,disp_outcome_practice.started,disp_outcome_practice.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ori1,ori2,break_blk.started,break_blk.stopped,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,block.ran,condition_file
0.0002,0.0003,6159d36b31fe01e003282538,65af568a91bb652b9495bacd,2024-01-23_08h04.51.677,bars,2023.2.3,Win32,58.82352941,657b66ea316d21385b68909f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6159d36b31fe01e003282538,65af568a91bb652b9495bacd,2024-01-23_08h04.51.677,bars,2023.2.3,Win32,58.82352941,657b66ea316d21385b68909f,0.0004,13.892,y,13.8759,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6159d36b31fe01e003282538,65af568a91bb652b9495bacd,2024-01-23_08h04.51.677,bars,2023.2.3,Win32,58.82352941,657b66ea316d21385b68909f,,,,,,13.8922,25.4754,space,11.5543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6159d36b31fe01e003282538,65af568a91bb652b9495bacd,2024-01-23_08h04.51.677,bars,2023.2.3,Win32,58.82352941,657b66ea316d21385b68909f,,,,,,,,,,,25.4801,26.4795,26.4796,26.9798,26.9799,27.23,27.2301,71,71,36.0089,space,8.7496,,36.009,42.675,space,6.6375,,0,0,0,8,1,160,bars/single008.png,bars/mask004.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6159d36b31fe01e003282538,65af568a91bb652b9495bacd,2024-01-23_08h04.51.677,bars,2023.2.3,Win32,58.82352941,657b66ea316d21385b68909f,,,,,,,,,,,42.6824,43.6747,43.6748,44.1749,44.1749,44.4132,44.4132,7,187,61.5417,space,17.1017,,61.5417,64.2965,space,2.7334,,0,1,1,0,1,150,bars/single000.png,bars/mask006.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6159d36b31fe01e003282538,65af568a91bb652b9495bacd,2024-01-23_08h04.51.677,bars,2023.2.3,Win32,58.82352941,657b66ea316d21385b68909f,,,,,,,,,,,64.2969,65.2966,65.2966,65.7918,65.7918,66.0299,66.0299,166,-14,74.3798,space,8.3337,,74.3798,83.5251,space,9.1208,,0,2,2,2,1,145,bars/single002.png,bars/mask003.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6159d36b31fe01e003282538,65af568a91bb652b9495bacd,2024-01-23_08h04.51.677,bars,2023.2.3,Win32,58.82352941,657b66ea316d21385b68909f,,,,,,,,,,,83.5321,84.5247,84.5247,85.0251,85.0251,85.263,85.2631,137,-43,92.6417,space,7.3561,,92.6418,96.5748,space,3.9005,,0,3,3,7,1,45,bars/single007.png,bars/mask009.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6159d36b31fe01e003282538,65af568a91bb652b9495bacd,2024-01-23_08h04.51.677,bars,2023.2.3,Win32,58.82352941,657b66ea316d21385b68909f,,,,,,,,,,,96.575,97.5748,97.5748,98.075,98.075,98.325,98.3251,144,144,102.725,space,4.3934,,102.7251,107.8084,space,5.0573,,0,4,4,4,1,95,bars/single004.png,bars/mask004.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6159d36b31fe01e003282538,65af568a91bb652b9495bacd,2024-01-23_08h04.51.677,bars,2023.2.3,Win32,58.82352941,657b66ea316d21385b68909f,,,,,,,,,,,107.8156,108.8081,108.8081,109.3128,109.3129,109.5583,109.5584,31,211,117.7418,space,8.152,,117.7418,123.1746,space,5.4085,,0,5,5,6,1,175,bars/single006.png,bars/mask005.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6159d36b31fe01e003282538,65af568a91bb652b9495bacd,2024-01-23_08h04.51.677,bars,2023.2.3,Win32,58.82352941,657b66ea316d21385b68909f,,,,,,,,,,,123.1817,124.1748,124.1749,124.6751,124.6751,124.9129,124.913,1,181,128.2584,space,3.3216,,128.2584,129.6629,space,1.3833,,0,6,6,1,1,20,bars/single001.png,bars/mask006.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
