init_variables.started,init_variables.stopped,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,instruction_exp.started,instruction_exp.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,instruction_single.started,instruction_single.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,interval.started,interval.stopped,cue_single.started,cue_single.stopped,mask.started,mask.stopped,ori_response_single.started,res_ori,res,ori_response_single.stopped,key_resp_single.keys,key_resp_single.rt,key_resp_single.duration,disp_single.started,disp_single.stopped,key_resp.keys,key_resp.rt,key_resp.duration,single.thisRepN,single.thisTrialN,single.thisN,single.thisIndex,single.ran,ori,path,mask_path,instruction_bandit.started,instruction_bandit.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,cue_bandit.started,cue_bandit.stopped,bandit_res.keys,bandit_res.rt,bandit_res.duration,outcome_bandit.started,rew,action,outcome_bandit.stopped,bandit.thisRepN,bandit.thisTrialN,bandit.thisN,bandit.thisIndex,bandit.ran,actual_rew1,actual_rew2,rew1,rew2,instruction_task.started,instruction_task.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,wait_ready.started,wait_ready.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,cue.started,cue.stopped,ori_response.started,ori_response.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,outcome.started,diff1,diff2,outcome.stopped,disp_outcome_practice.started,disp_outcome_practice.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ori1,ori2,break_blk.started,break_blk.stopped,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,block.ran,condition_file
0.0002,0.0003,615db68d9d021708b6e64603,65af56aaa08a0d49e2f07b4c,2024-01-23_08h04.57.593,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,615db68d9d021708b6e64603,65af56aaa08a0d49e2f07b4c,2024-01-23_08h04.57.593,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,0.0004,3.9213,y,3.9048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,615db68d9d021708b6e64603,65af56aaa08a0d49e2f07b4c,2024-01-23_08h04.57.593,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,,,,,,3.9215,21.4679,space,17.5175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,615db68d9d021708b6e64603,65af56aaa08a0d49e2f07b4c,2024-01-23_08h04.57.593,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,21.4717,22.4721,22.4722,22.9677,22.968,23.217,23.2173,0,0,38.1033,space,14.8573,,38.1033,44.636,space,6.5159,,0,0,0,1,1,20,bars/single001.png,bars/mask006.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,615db68d9d021708b6e64603,65af56aaa08a0d49e2f07b4c,2024-01-23_08h04.57.593,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,44.6411,45.6298,45.6299,46.1298,46.1298,46.3801,46.3802,144,144,49.1806,space,2.776,,49.1808,52.9957,space,3.7838,,0,1,1,0,1,150,bars/single000.png,bars/mask006.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,615db68d9d021708b6e64603,65af56aaa08a0d49e2f07b4c,2024-01-23_08h04.57.593,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,53.0021,53.9953,53.9954,54.4955,54.4956,54.7453,54.7453,31,31,58.4788,space,3.7038,,58.4789,62.0615,space,3.5594,,0,2,2,3,1,20,bars/single003.png,bars/mask005.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,615db68d9d021708b6e64603,65af56aaa08a0d49e2f07b4c,2024-01-23_08h04.57.593,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,62.0626,63.0608,63.0609,63.5608,63.5608,63.8107,63.8107,98,98,66.7441,space,2.9005,,66.7443,68.9768,space,2.2003,,0,3,3,4,1,95,bars/single004.png,bars/mask004.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,615db68d9d021708b6e64603,65af56aaa08a0d49e2f07b4c,2024-01-23_08h04.57.593,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,68.9775,69.9769,69.977,70.4797,70.4797,70.732,70.732,178,178,74.0154,space,3.2667,,74.0154,77.3257,space,3.2896,,0,4,4,6,1,175,bars/single006.png,bars/mask005.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,615db68d9d021708b6e64603,65af56aaa08a0d49e2f07b4c,2024-01-23_08h04.57.593,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,77.3316,78.3256,78.3256,78.8254,78.8254,79.0753,79.0753,47,47,83.2581,space,4.1556,,83.2583,86.7912,space,3.4997,,0,5,5,7,1,45,bars/single007.png,bars/mask009.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,615db68d9d021708b6e64603,65af56aaa08a0d49e2f07b4c,2024-01-23_08h04.57.593,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,86.7968,87.7967,87.7968,88.2909,88.2909,88.5409,88.5409,140,140,92.9072,space,4.3338,,92.9072,97.7732,space,4.8422,,0,6,6,8,1,160,bars/single008.png,bars/mask004.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,615db68d9d021708b6e64603,65af56aaa08a0d49e2f07b4c,2024-01-23_08h04.57.593,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,97.7788,98.7785,98.7785,99.2727,99.2728,99.5227,99.5228,143,143,103.9888,space,4.4386,,103.9889,108.7717,space,4.7503,,0,7,7,2,1,145,bars/single002.png,bars/mask003.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,615db68d9d021708b6e64603,65af56aaa08a0d49e2f07b4c,2024-01-23_08h04.57.593,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,108.7778,109.7713,109.7714,110.2717,110.2718,110.5212,110.5213,59,59,112.5543,space,2.003,,112.5545,116.5371,space,3.9598,,0,8,8,5,1,55,bars/single005.png,bars/mask008.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,615db68d9d021708b6e64603,65af56aaa08a0d49e2f07b4c,2024-01-23_08h04.57.593,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,116.5431,117.5369,117.537,118.0369,118.0371,118.2868,118.2868,40,40,119.5701,space,1.2536,,119.5701,121.0871,space,1.4833,,0,9,9,9,1,20,bars/single009.png,bars/mask006.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,615db68d9d021708b6e64603,65af56aaa08a0d49e2f07b4c,2024-01-23_08h04.57.593,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121.0885,133.2685,space,12.1511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,615db68d9d021708b6e64603,65af56aaa08a0d49e2f07b4c,2024-01-23_08h04.57.593,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133.2766,136.4854,left,3.1829,,136.4856,9,1,137.4845,0,0,0,0,1,9,1,9,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,615db68d9d021708b6e64603,65af56aaa08a0d49e2f07b4c,2024-01-23_08h04.57.593,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,137.4856,141.034,right,3.5251,,141.0342,1,2,142.0337,0,1,1,1,1,10,0,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,615db68d9d021708b6e64603,65af56aaa08a0d49e2f07b4c,2024-01-23_08h04.57.593,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142.0392,142.767,left,0.701,,142.767,10,1,143.7671,0,2,2,2,1,10,2,10,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
