init_variables.started,init_variables.stopped,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,instruction_exp.started,instruction_exp.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,instruction_single.started,instruction_single.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,interval.started,interval.stopped,cue_single.started,cue_single.stopped,mask.started,mask.stopped,ori_response_single.started,res_ori,res,ori_response_single.stopped,key_resp_single.keys,key_resp_single.rt,key_resp_single.duration,disp_single.started,disp_single.stopped,key_resp.keys,key_resp.rt,key_resp.duration,single.thisRepN,single.thisTrialN,single.thisN,single.thisIndex,single.ran,ori,path,mask_path,instruction_bandit.started,instruction_bandit.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,cue_bandit.started,cue_bandit.stopped,bandit_res.keys,bandit_res.rt,bandit_res.duration,outcome_bandit.started,rew,action,outcome_bandit.stopped,bandit.thisRepN,bandit.thisTrialN,bandit.thisN,bandit.thisIndex,bandit.ran,actual_rew1,actual_rew2,rew1,rew2,instruction_task.started,instruction_task.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,wait_ready.started,wait_ready.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,cue.started,cue.stopped,ori_response.started,ori_response.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,outcome.started,diff1,diff2,outcome.stopped,disp_outcome_practice.started,disp_outcome_practice.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ori1,ori2,break_blk.started,break_blk.stopped,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,block.ran,condition_file
0.0023,0.0026,657079339d147ddcce1b8bb7,65af560ab89350ece997c577,2024-01-23_08h05.08.615,bars,2023.2.3,Win32,60.24096386,657b66ea316d21385b68909f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,657079339d147ddcce1b8bb7,65af560ab89350ece997c577,2024-01-23_08h05.08.615,bars,2023.2.3,Win32,60.24096386,657b66ea316d21385b68909f,0.0032,13.5445,y,12.9196,0.3497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,657079339d147ddcce1b8bb7,65af560ab89350ece997c577,2024-01-23_08h05.08.615,bars,2023.2.3,Win32,60.24096386,657b66ea316d21385b68909f,,,,,,13.5448,40.1716,space,26.3357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,657079339d147ddcce1b8bb7,65af560ab89350ece997c577,2024-01-23_08h05.08.615,bars,2023.2.3,Win32,60.24096386,657b66ea316d21385b68909f,,,,,,,,,,,40.3258,41.1803,41.1809,41.6806,41.6811,41.9303,41.9309,90,90,54.4726,space,12.4312,,54.4729,69.5577,space,15.037,,0,0,0,7,1,45,bars/single007.png,bars/mask009.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,657079339d147ddcce1b8bb7,65af560ab89350ece997c577,2024-01-23_08h05.08.615,bars,2023.2.3,Win32,60.24096386,657b66ea316d21385b68909f,,,,,,,,,,,69.5727,70.5725,70.5727,71.0646,71.0646,71.3145,71.3145,45,45,81.4813,space,10.1504,,81.4814,87.1518,space,5.6391,,0,1,1,6,1,175,bars/single006.png,bars/mask005.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,657079339d147ddcce1b8bb7,65af560ab89350ece997c577,2024-01-23_08h05.08.615,bars,2023.2.3,Win32,60.24096386,657b66ea316d21385b68909f,,,,,,,,,,,87.1656,88.1678,88.1679,88.6679,88.6679,88.9176,88.9176,90,90,112.262,space,23.3286,,112.262,115.0217,space,2.7309,,0,2,2,3,1,20,bars/single003.png,bars/mask005.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,657079339d147ddcce1b8bb7,65af560ab89350ece997c577,2024-01-23_08h05.08.615,bars,2023.2.3,Win32,60.24096386,657b66ea316d21385b68909f,,,,,,,,,,,115.0224,116.0192,116.0193,116.5193,116.5194,116.7682,116.7685,90,90,122.8208,space,6.0351,,122.8208,125.3093,space,2.4538,,0,3,3,8,1,160,bars/single008.png,bars/mask004.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,657079339d147ddcce1b8bb7,65af560ab89350ece997c577,2024-01-23_08h05.08.615,bars,2023.2.3,Win32,60.24096386,657b66ea316d21385b68909f,,,,,,,,,,,125.31,126.3075,126.3079,126.8081,126.8081,127.0578,127.0579,0,180,134.9396,space,7.8661,,134.9399,140.6508,space,5.6821,,0,4,4,9,1,20,bars/single009.png,bars/mask006.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,657079339d147ddcce1b8bb7,65af560ab89350ece997c577,2024-01-23_08h05.08.615,bars,2023.2.3,Win32,60.24096386,657b66ea316d21385b68909f,,,,,,,,,,,140.6699,141.6546,141.6547,142.154,142.154,142.4039,142.404,56,56,144.3227,space,1.9077,,144.3228,148.6359,space,4.2957,,0,5,5,5,1,55,bars/single005.png,bars/mask008.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,657079339d147ddcce1b8bb7,65af560ab89350ece997c577,2024-01-23_08h05.08.615,bars,2023.2.3,Win32,60.24096386,657b66ea316d21385b68909f,,,,,,,,,,,148.649,149.6393,149.6393,150.1352,150.1353,150.3851,150.3852,0,180,155.4287,space,5.0329,,155.4289,157.4181,space,1.957,,0,6,6,0,1,150,bars/single000.png,bars/mask006.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,657079339d147ddcce1b8bb7,65af560ab89350ece997c577,2024-01-23_08h05.08.615,bars,2023.2.3,Win32,60.24096386,657b66ea316d21385b68909f,,,,,,,,,,,157.4186,158.4163,158.4164,158.9163,158.9164,159.1663,159.1663,135,135,167.5976,space,8.4155,,167.5977,170.6908,space,3.0642,,0,7,7,2,1,145,bars/single002.png,bars/mask003.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,657079339d147ddcce1b8bb7,65af560ab89350ece997c577,2024-01-23_08h05.08.615,bars,2023.2.3,Win32,60.24096386,657b66ea316d21385b68909f,,,,,,,,,,,170.6913,171.6884,171.6884,172.19,172.1901,172.438,172.438,0,0,182.9199,space,10.4655,,182.9199,186.2096,space,3.2541,,0,8,8,4,1,95,bars/single004.png,bars/mask004.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
