init_variables.started,init_variables.stopped,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,instruction_exp.started,instruction_exp.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,instruction_single.started,instruction_single.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,interval.started,interval.stopped,cue_single.started,cue_single.stopped,mask.started,mask.stopped,ori_response_single.started,res_ori,res,ori_response_single.stopped,key_resp_single.keys,key_resp_single.rt,key_resp_single.duration,disp_single.started,disp_single.stopped,key_resp.keys,key_resp.rt,key_resp.duration,single.thisRepN,single.thisTrialN,single.thisN,single.thisIndex,single.ran,ori,path,mask_path,instruction_bandit.started,instruction_bandit.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,cue_bandit.started,cue_bandit.stopped,bandit_res.keys,bandit_res.rt,bandit_res.duration,outcome_bandit.started,rew,action,outcome_bandit.stopped,bandit.thisRepN,bandit.thisTrialN,bandit.thisN,bandit.thisIndex,bandit.ran,actual_rew1,actual_rew2,rew1,rew2,instruction_task.started,instruction_task.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,wait_ready.started,wait_ready.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,cue.started,cue.stopped,ori_response.started,ori_response.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,outcome.started,diff1,diff2,outcome.stopped,disp_outcome_practice.started,disp_outcome_practice.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ori1,ori2,break_blk.started,break_blk.stopped,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,block.ran,condition_file
0.0003,0.0005,61012d6d362a6eaa2ca78ebd,65af55b2180b766db35d6f43,2024-01-23_08h05.36.757,bars,2023.2.3,Linux x86_64,60.24096386,657b66ea316d21385b68909f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,61012d6d362a6eaa2ca78ebd,65af55b2180b766db35d6f43,2024-01-23_08h05.36.757,bars,2023.2.3,Linux x86_64,60.24096386,657b66ea316d21385b68909f,0.0007,14.5098,y,14.4905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,61012d6d362a6eaa2ca78ebd,65af55b2180b766db35d6f43,2024-01-23_08h05.36.757,bars,2023.2.3,Linux x86_64,60.24096386,657b66ea316d21385b68909f,,,,,,14.5103,32.2572,space,17.7279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,61012d6d362a6eaa2ca78ebd,65af55b2180b766db35d6f43,2024-01-23_08h05.36.757,bars,2023.2.3,Linux x86_64,60.24096386,657b66ea316d21385b68909f,,,,,,,,,,,32.2696,33.263,33.2634,33.7622,33.7625,34.0144,34.0147,16,16,51.015,space,16.9679,,51.0155,59.5999,space,8.5314,,0,0,0,2,1,145,bars/single002.png,bars/mask003.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,61012d6d362a6eaa2ca78ebd,65af55b2180b766db35d6f43,2024-01-23_08h05.36.757,bars,2023.2.3,Linux x86_64,60.24096386,657b66ea316d21385b68909f,,,,,,,,,,,59.6296,60.6136,60.6137,61.1153,61.1153,61.3648,61.3649,140,320,72.4203,space,11.0405,,72.4205,76.7314,space,4.2628,,0,1,1,0,1,150,bars/single000.png,bars/mask006.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,61012d6d362a6eaa2ca78ebd,65af55b2180b766db35d6f43,2024-01-23_08h05.36.757,bars,2023.2.3,Linux x86_64,60.24096386,657b66ea316d21385b68909f,,,,,,,,,,,76.7553,77.7317,77.7318,78.2313,78.2314,78.4833,78.4836,26,26,83.782,space,5.2841,,83.7822,86.3323,space,2.5106,,0,2,2,9,1,20,bars/single009.png,bars/mask006.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,61012d6d362a6eaa2ca78ebd,65af55b2180b766db35d6f43,2024-01-23_08h05.36.757,bars,2023.2.3,Linux x86_64,60.24096386,657b66ea316d21385b68909f,,,,,,,,,,,86.3336,87.332,87.3321,87.8331,87.8331,88.0841,88.0842,35,35,91.7532,space,3.6565,,91.7533,95.2493,space,3.4498,,0,3,3,3,1,20,bars/single003.png,bars/mask005.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,61012d6d362a6eaa2ca78ebd,65af55b2180b766db35d6f43,2024-01-23_08h05.36.757,bars,2023.2.3,Linux x86_64,60.24096386,657b66ea316d21385b68909f,,,,,,,,,,,95.2775,96.2654,96.2656,96.7525,96.7526,96.9995,96.9996,36,216,105.5022,space,8.4905,,105.5024,108.3344,space,2.7851,,0,4,4,6,1,175,bars/single006.png,bars/mask005.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,61012d6d362a6eaa2ca78ebd,65af55b2180b766db35d6f43,2024-01-23_08h05.36.757,bars,2023.2.3,Linux x86_64,60.24096386,657b66ea316d21385b68909f,,,,,,,,,,,108.3357,109.3338,109.3339,109.8344,109.8344,110.0835,110.0836,148,-32,117.2345,space,7.1359,,117.235,118.2841,space,1.0183,,0,5,5,8,1,160,bars/single008.png,bars/mask004.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,61012d6d362a6eaa2ca78ebd,65af55b2180b766db35d6f43,2024-01-23_08h05.36.757,bars,2023.2.3,Linux x86_64,60.24096386,657b66ea316d21385b68909f,,,,,,,,,,,118.285,119.2842,119.2842,119.7853,119.7855,120.036,120.0361,29,29,141.4028,space,21.3492,,141.4029,142.2712,space,0.817,,0,6,6,7,1,45,bars/single007.png,bars/mask009.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
