init_variables.started,init_variables.stopped,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,instruction_exp.started,instruction_exp.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,instruction_single.started,instruction_single.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,interval.started,interval.stopped,cue_single.started,cue_single.stopped,mask.started,mask.stopped,ori_response_single.started,res_ori,res,ori_response_single.stopped,key_resp_single.keys,key_resp_single.rt,key_resp_single.duration,disp_single.started,disp_single.stopped,key_resp.keys,key_resp.rt,key_resp.duration,single.thisRepN,single.thisTrialN,single.thisN,single.thisIndex,single.ran,ori,path,mask_path,instruction_bandit.started,instruction_bandit.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,cue_bandit.started,cue_bandit.stopped,bandit_res.keys,bandit_res.rt,bandit_res.duration,outcome_bandit.started,rew,action,outcome_bandit.stopped,bandit.thisRepN,bandit.thisTrialN,bandit.thisN,bandit.thisIndex,bandit.ran,actual_rew1,actual_rew2,rew1,rew2,instruction_task.started,instruction_task.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,wait_ready.started,wait_ready.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,cue.started,cue.stopped,ori_response.started,ori_response.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,outcome.started,diff1,diff2,outcome.stopped,disp_outcome_practice.started,disp_outcome_practice.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ori1,ori2,break_blk.started,break_blk.stopped,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,block.ran,condition_file
0.0011,0.003,646a18d69a871ffc84c0ce29,65af55ba14893441390476a8,2024-01-23_08h05.37.419,bars,2023.2.3,Win32,60.24096386,657b66ea316d21385b68909f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,646a18d69a871ffc84c0ce29,65af55ba14893441390476a8,2024-01-23_08h05.37.419,bars,2023.2.3,Win32,60.24096386,657b66ea316d21385b68909f,0.0038,9.6732,y,9.6481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,646a18d69a871ffc84c0ce29,65af55ba14893441390476a8,2024-01-23_08h05.37.419,bars,2023.2.3,Win32,60.24096386,657b66ea316d21385b68909f,,,,,,9.6734,21.5367,space,11.8447,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,646a18d69a871ffc84c0ce29,65af55ba14893441390476a8,2024-01-23_08h05.37.419,bars,2023.2.3,Win32,60.24096386,657b66ea316d21385b68909f,,,,,,,,,,,21.546,22.5388,22.539,23.0387,23.0389,23.2807,23.281,126,126,30.8731,space,7.5459,,30.8733,38.5749,space,7.6546,,0,0,0,8,1,160,bars/single008.png,bars/mask004.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,646a18d69a871ffc84c0ce29,65af55ba14893441390476a8,2024-01-23_08h05.37.419,bars,2023.2.3,Win32,60.24096386,657b66ea316d21385b68909f,,,,,,,,,,,38.5894,39.5887,39.5888,40.08,40.0802,40.3299,40.33,25,25,47.2233,space,6.8613,,47.2234,52.8275,space,5.5774,,0,1,1,1,1,20,bars/single001.png,bars/mask006.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,646a18d69a871ffc84c0ce29,65af55ba14893441390476a8,2024-01-23_08h05.37.419,bars,2023.2.3,Win32,60.24096386,657b66ea316d21385b68909f,,,,,,,,,,,52.8411,53.8417,53.8418,54.3328,54.3329,54.5825,54.5826,91,91,60.0531,space,5.4456,,60.0532,62.0585,space,1.9731,,0,2,2,9,1,20,bars/single009.png,bars/mask006.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,646a18d69a871ffc84c0ce29,65af55ba14893441390476a8,2024-01-23_08h05.37.419,bars,2023.2.3,Win32,60.24096386,657b66ea316d21385b68909f,,,,,,,,,,,62.0592,63.0571,63.0573,63.5567,63.5568,63.807,63.807,32,32,68.6522,space,4.8293,,68.6524,70.1339,space,1.448,,0,3,3,0,1,150,bars/single000.png,bars/mask006.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,646a18d69a871ffc84c0ce29,65af55ba14893441390476a8,2024-01-23_08h05.37.419,bars,2023.2.3,Win32,60.24096386,657b66ea316d21385b68909f,,,,,,,,,,,70.1345,71.1328,71.1329,71.6322,71.6322,71.8819,71.882,13,193,75.7121,space,3.8106,,75.7121,77.1109,space,1.3661,,0,4,4,7,1,45,bars/single007.png,bars/mask009.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,646a18d69a871ffc84c0ce29,65af55ba14893441390476a8,2024-01-23_08h05.37.419,bars,2023.2.3,Win32,60.24096386,657b66ea316d21385b68909f,,,,,,,,,,,77.1115,78.1096,78.1097,78.6085,78.6086,78.8582,78.8583,113,113,84.417,space,5.5485,,84.4172,85.9851,space,1.5265,,0,5,5,2,1,145,bars/single002.png,bars/mask003.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,646a18d69a871ffc84c0ce29,65af55ba14893441390476a8,2024-01-23_08h05.37.419,bars,2023.2.3,Win32,60.24096386,657b66ea316d21385b68909f,,,,,,,,,,,85.9858,86.9838,86.9838,87.4834,87.4836,87.7328,87.7329,93,93,90.6812,space,2.9347,,90.6812,92.0802,space,1.3675,,0,6,6,6,1,175,bars/single006.png,bars/mask005.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,646a18d69a871ffc84c0ce29,65af55ba14893441390476a8,2024-01-23_08h05.37.419,bars,2023.2.3,Win32,60.24096386,657b66ea316d21385b68909f,,,,,,,,,,,92.0809,93.0784,93.0785,93.5777,93.5779,93.8278,93.8279,33,33,97.3468,space,3.4937,,97.3468,98.5731,space,1.1941,,0,7,7,3,1,20,bars/single003.png,bars/mask005.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,646a18d69a871ffc84c0ce29,65af55ba14893441390476a8,2024-01-23_08h05.37.419,bars,2023.2.3,Win32,60.24096386,657b66ea316d21385b68909f,,,,,,,,,,,98.5737,99.58,99.58,100.0715,100.0715,100.3212,100.3213,145,145,104.9336,space,4.5875,,104.9337,105.9823,space,1.0171,,0,8,8,5,1,55,bars/single005.png,bars/mask008.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,646a18d69a871ffc84c0ce29,65af55ba14893441390476a8,2024-01-23_08h05.37.419,bars,2023.2.3,Win32,60.24096386,657b66ea316d21385b68909f,,,,,,,,,,,105.9829,106.9818,106.9819,107.481,107.4811,107.731,107.731,90,90,110.3953,space,2.6314,,110.3954,112.6541,space,2.234,,0,9,9,4,1,95,bars/single004.png,bars/mask004.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,646a18d69a871ffc84c0ce29,65af55ba14893441390476a8,2024-01-23_08h05.37.419,bars,2023.2.3,Win32,60.24096386,657b66ea316d21385b68909f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112.6553,124.3081,space,11.6295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,646a18d69a871ffc84c0ce29,65af55ba14893441390476a8,2024-01-23_08h05.37.419,bars,2023.2.3,Win32,60.24096386,657b66ea316d21385b68909f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124.3277,126.6461,right,2.2886,,126.6463,2,2,127.6447,0,0,0,0,1,9,1,9,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,646a18d69a871ffc84c0ce29,65af55ba14893441390476a8,2024-01-23_08h05.37.419,bars,2023.2.3,Win32,60.24096386,657b66ea316d21385b68909f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127.6454,130.9084,left,3.2479,,130.9085,10,1,131.9072,0,1,1,1,1,10,0,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,646a18d69a871ffc84c0ce29,65af55ba14893441390476a8,2024-01-23_08h05.37.419,bars,2023.2.3,Win32,60.24096386,657b66ea316d21385b68909f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,131.9236,134.765,left,2.8328,,134.765,10,1,135.7535,0,2,2,2,1,10,2,10,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,646a18d69a871ffc84c0ce29,65af55ba14893441390476a8,2024-01-23_08h05.37.419,bars,2023.2.3,Win32,60.24096386,657b66ea316d21385b68909f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135.7706,138.9349,right,3.1537,,138.9349,3,2,139.9324,0,3,3,3,1,8,4,7,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,646a18d69a871ffc84c0ce29,65af55ba14893441390476a8,2024-01-23_08h05.37.419,bars,2023.2.3,Win32,60.24096386,657b66ea316d21385b68909f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139.9542,141.0587,left,1.0943,,141.0589,5,1,142.047,0,4,4,4,1,6,2,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,646a18d69a871ffc84c0ce29,65af55ba14893441390476a8,2024-01-23_08h05.37.419,bars,2023.2.3,Win32,60.24096386,657b66ea316d21385b68909f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142.0476,143.1738,left,1.1009,,143.1738,4,1,144.1673,0,5,5,5,1,4,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,646a18d69a871ffc84c0ce29,65af55ba14893441390476a8,2024-01-23_08h05.37.419,bars,2023.2.3,Win32,60.24096386,657b66ea316d21385b68909f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144.168,145.2057,right,1.0175,,145.2059,2,2,146.203,0,6,6,6,1,2,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,646a18d69a871ffc84c0ce29,65af55ba14893441390476a8,2024-01-23_08h05.37.419,bars,2023.2.3,Win32,60.24096386,657b66ea316d21385b68909f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,146.2038,146.8213,right,0.6008,,146.8214,1,2,147.8143,0,7,7,7,1,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,646a18d69a871ffc84c0ce29,65af55ba14893441390476a8,2024-01-23_08h05.37.419,bars,2023.2.3,Win32,60.24096386,657b66ea316d21385b68909f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,147.815,149.0195,left,1.1831,,149.02,1,1,150.0159,0,8,8,8,1,0,2,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,646a18d69a871ffc84c0ce29,65af55ba14893441390476a8,2024-01-23_08h05.37.419,bars,2023.2.3,Win32,60.24096386,657b66ea316d21385b68909f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150.0165,150.7657,left,0.7319,,150.7658,2,1,151.7631,0,9,9,9,1,2,4,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,646a18d69a871ffc84c0ce29,65af55ba14893441390476a8,2024-01-23_08h05.37.419,bars,2023.2.3,Win32,60.24096386,657b66ea316d21385b68909f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,151.7636,152.4136,left,0.6331,,152.4137,0,1,153.4028,0,10,10,10,1,0,2,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,646a18d69a871ffc84c0ce29,65af55ba14893441390476a8,2024-01-23_08h05.37.419,bars,2023.2.3,Win32,60.24096386,657b66ea316d21385b68909f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,153.4034,154.6276,right,1.1989,,154.6277,3,2,155.6169,0,11,11,11,1,0,4,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,646a18d69a871ffc84c0ce29,65af55ba14893441390476a8,2024-01-23_08h05.37.419,bars,2023.2.3,Win32,60.24096386,657b66ea316d21385b68909f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155.6176,156.4496,left,0.8072,,156.4497,1,1,157.4489,0,12,12,12,1,2,6,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,646a18d69a871ffc84c0ce29,65af55ba14893441390476a8,2024-01-23_08h05.37.419,bars,2023.2.3,Win32,60.24096386,657b66ea316d21385b68909f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,157.4497,158.2751,left,0.8008,,158.2752,1,1,159.2642,0,13,13,13,1,0,4,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,646a18d69a871ffc84c0ce29,65af55ba14893441390476a8,2024-01-23_08h05.37.419,bars,2023.2.3,Win32,60.24096386,657b66ea316d21385b68909f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159.2653,160.1911,right,0.9018,,160.1912,7,2,161.1796,0,14,14,14,1,2,6,2,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,646a18d69a871ffc84c0ce29,65af55ba14893441390476a8,2024-01-23_08h05.37.419,bars,2023.2.3,Win32,60.24096386,657b66ea316d21385b68909f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,161.1802,162.756,left,1.5498,,162.7562,3,1,163.753,0,15,15,15,1,4,8,3,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,646a18d69a871ffc84c0ce29,65af55ba14893441390476a8,2024-01-23_08h05.37.419,bars,2023.2.3,Win32,60.24096386,657b66ea316d21385b68909f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,163.7536,165.0585,left,1.2835,,165.0587,7,1,166.0572,0,16,16,16,1,6,6,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,646a18d69a871ffc84c0ce29,65af55ba14893441390476a8,2024-01-23_08h05.37.419,bars,2023.2.3,Win32,60.24096386,657b66ea316d21385b68909f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166.058,166.7305,right,0.6473,,166.7305,5,2,167.7323,0,17,17,17,1,8,4,9,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,646a18d69a871ffc84c0ce29,65af55ba14893441390476a8,2024-01-23_08h05.37.419,bars,2023.2.3,Win32,60.24096386,657b66ea316d21385b68909f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,167.7328,168.5907,right,0.8406,,168.5907,1,2,169.5799,0,18,18,18,1,6,2,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,646a18d69a871ffc84c0ce29,65af55ba14893441390476a8,2024-01-23_08h05.37.419,bars,2023.2.3,Win32,60.24096386,657b66ea316d21385b68909f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169.5805,170.2306,right,0.6337,,170.2306,0,2,171.2185,0,19,19,19,1,8,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,646a18d69a871ffc84c0ce29,65af55ba14893441390476a8,2024-01-23_08h05.37.419,bars,2023.2.3,Win32,60.24096386,657b66ea316d21385b68909f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171.2198,184.217,space,12.9702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,646a18d69a871ffc84c0ce29,65af55ba14893441390476a8,2024-01-23_08h05.37.419,bars,2023.2.3,Win32,60.24096386,657b66ea316d21385b68909f,,,,,,,,,,,185.8072,186.8111,,,187.3039,187.5462,,90,90,,,,,,,,,,,,,,,,bars/002.png,bars/mask004.png,,,,,,,,,,,,3,2,,,,,,,3,2,6,4,,,,,,184.2396,185.7986,space,1.5461,,186.8115,187.3037,187.5466,191.8915,space,4.3197,,191.8917,40,5,192.8809,192.8813,199.8253,space,6.9138,,0,0,0,0,1,130,85,,,,,,,,
,,646a18d69a871ffc84c0ce29,65af55ba14893441390476a8,2024-01-23_08h05.37.419,bars,2023.2.3,Win32,60.24096386,657b66ea316d21385b68909f,,,,,,,,,,,199.842,200.8399,,,201.3474,201.5888,,143,143,,,,,,,,,,,,,,,,bars/042.png,bars/mask004.png,,,,,,,,,,,,1,1,,,,,,,1,4,1,4,,,,,,,,,,,200.84,201.3474,201.5889,205.5617,space,3.9479,,205.5618,2,68,206.5511,206.5511,212.2127,space,5.6227,,0,1,1,1,1,145,75,,,,,,,,
,,646a18d69a871ffc84c0ce29,65af55ba14893441390476a8,2024-01-23_08h05.37.419,bars,2023.2.3,Win32,60.24096386,657b66ea316d21385b68909f,,,,,,,,,,,212.2337,213.2311,,,213.7172,213.9607,,154,154,,,,,,,,,,,,,,,,bars/000.png,bars/mask005.png,,,,,,,,,,,,4,2,,,,,,,3,6,4,5,,,,,,,,,,,213.2312,213.7172,213.9607,219.0644,space,5.0757,,219.0645,66,9,220.0539,220.054,222.5686,space,2.4774,,0,2,2,2,1,40,145,,,,,,,,
,,646a18d69a871ffc84c0ce29,65af55ba14893441390476a8,2024-01-23_08h05.37.419,bars,2023.2.3,Win32,60.24096386,657b66ea316d21385b68909f,,,,,,,,,,,222.5828,223.5844,,,224.0849,224.334,,11,11,,,,,,,,,,,,,,,,bars/041.png,bars/mask004.png,,,,,,,,,,,,4,1,,,,,,,5,4,5,4,,,,,,,,,,,223.5845,224.0848,224.3341,227.7301,space,3.381,,227.7302,9,74,228.7289,228.7289,231.427,space,2.6548,,0,3,3,3,1,20,85,,,,,,,,
,,646a18d69a871ffc84c0ce29,65af55ba14893441390476a8,2024-01-23_08h05.37.419,bars,2023.2.3,Win32,60.24096386,657b66ea316d21385b68909f,,,,,,,,,,,231.4277,232.4254,,,232.9258,233.1748,,24,24,,,,,,,,,,,,,,,,bars/017.png,bars/mask000.png,,,,,,,,,,,,2,2,,,,,,,3,6,3,6,,,,,,,,,,,232.4257,232.9257,233.1748,236.1825,space,2.9968,,236.1826,59,21,237.1705,237.1706,239.6372,space,2.4321,,0,4,4,4,1,145,45,,,,,,,,
