init_variables.started,init_variables.stopped,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,instruction_exp.started,instruction_exp.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,instruction_single.started,instruction_single.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,interval.started,interval.stopped,cue_single.started,cue_single.stopped,mask.started,mask.stopped,ori_response_single.started,res_ori,res,ori_response_single.stopped,key_resp_single.keys,key_resp_single.rt,key_resp_single.duration,disp_single.started,disp_single.stopped,key_resp.keys,key_resp.rt,key_resp.duration,single.thisRepN,single.thisTrialN,single.thisN,single.thisIndex,single.ran,ori,path,mask_path,instruction_bandit.started,instruction_bandit.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,cue_bandit.started,cue_bandit.stopped,bandit_res.keys,bandit_res.rt,bandit_res.duration,outcome_bandit.started,rew,action,outcome_bandit.stopped,bandit.thisRepN,bandit.thisTrialN,bandit.thisN,bandit.thisIndex,bandit.ran,actual_rew1,actual_rew2,rew1,rew2,instruction_task.started,instruction_task.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,wait_ready.started,wait_ready.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,cue.started,cue.stopped,ori_response.started,ori_response.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,outcome.started,diff1,diff2,outcome.stopped,disp_outcome_practice.started,disp_outcome_practice.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ori1,ori2,break_blk.started,break_blk.stopped,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,block.ran,condition_file
0.0002,0.0009,64c12183ab9cf635c69df81b,65af56c22cf40634cd5d70e3,2024-01-23_08h07.11.299,bars,2023.2.3,MacIntel,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,64c12183ab9cf635c69df81b,65af56c22cf40634cd5d70e3,2024-01-23_08h07.11.299,bars,2023.2.3,MacIntel,59.88023952,657b66ea316d21385b68909f,0.0014,7.9104,y,7.849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,64c12183ab9cf635c69df81b,65af56c22cf40634cd5d70e3,2024-01-23_08h07.11.299,bars,2023.2.3,MacIntel,59.88023952,657b66ea316d21385b68909f,,,,,,7.9107,19.7606,space,11.8316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,64c12183ab9cf635c69df81b,65af56c22cf40634cd5d70e3,2024-01-23_08h07.11.299,bars,2023.2.3,MacIntel,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,19.7673,20.7677,20.7679,21.2685,21.2687,21.5194,21.5197,0,0,28.4319,space,6.8792,,28.432,34.2433,space,5.7691,,0,0,0,3,1,20,bars/single003.png,bars/mask005.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,64c12183ab9cf635c69df81b,65af56c22cf40634cd5d70e3,2024-01-23_08h07.11.299,bars,2023.2.3,MacIntel,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,34.2529,35.241,35.2412,35.7421,35.7422,35.9921,35.9922,13,193,47.1853,space,11.1751,,47.1854,51.0478,space,3.8292,,0,1,1,9,1,20,bars/single009.png,bars/mask006.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,64c12183ab9cf635c69df81b,65af56c22cf40634cd5d70e3,2024-01-23_08h07.11.299,bars,2023.2.3,MacIntel,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,51.0482,52.0493,52.0493,52.5473,52.5474,52.7968,52.7968,10,10,55.8109,space,3.0016,,55.811,61.3588,space,5.5151,,0,2,2,7,1,45,bars/single007.png,bars/mask009.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,64c12183ab9cf635c69df81b,65af56c22cf40634cd5d70e3,2024-01-23_08h07.11.299,bars,2023.2.3,MacIntel,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,61.376,62.374,62.374,62.8741,62.8741,63.1246,63.1246,13,13,74.6831,space,11.5477,,74.6832,84.5268,space,9.8133,,0,3,3,1,1,20,bars/single001.png,bars/mask006.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,64c12183ab9cf635c69df81b,65af56c22cf40634cd5d70e3,2024-01-23_08h07.11.299,bars,2023.2.3,MacIntel,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,84.5437,85.5422,85.5422,86.0271,86.0271,86.275,86.275,10,10,93.3383,space,7.0477,,93.3384,97.2515,space,3.8806,,0,4,4,4,1,95,bars/single004.png,bars/mask004.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,64c12183ab9cf635c69df81b,65af56c22cf40634cd5d70e3,2024-01-23_08h07.11.299,bars,2023.2.3,MacIntel,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,97.2522,98.2512,98.2513,98.7495,98.7495,99.0006,99.001,18,18,113.3316,space,14.3219,,113.3318,120.0344,space,6.679,,0,5,5,2,1,145,bars/single002.png,bars/mask003.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,64c12183ab9cf635c69df81b,65af56c22cf40634cd5d70e3,2024-01-23_08h07.11.299,bars,2023.2.3,MacIntel,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,120.0506,121.0376,121.0376,121.5393,121.5394,121.784,121.784,19,19,126.6398,space,4.8402,,126.6398,128.8991,space,2.2317,,0,6,6,8,1,160,bars/single008.png,bars/mask004.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
