init_variables.started,init_variables.stopped,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,instruction_exp.started,instruction_exp.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,instruction_single.started,instruction_single.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,interval.started,interval.stopped,cue_single.started,cue_single.stopped,mask.started,mask.stopped,ori_response_single.started,res_ori,res,ori_response_single.stopped,key_resp_single.keys,key_resp_single.rt,key_resp_single.duration,disp_single.started,disp_single.stopped,key_resp.keys,key_resp.rt,key_resp.duration,single.thisRepN,single.thisTrialN,single.thisN,single.thisIndex,single.ran,ori,path,mask_path,instruction_bandit.started,instruction_bandit.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,cue_bandit.started,cue_bandit.stopped,bandit_res.keys,bandit_res.rt,bandit_res.duration,outcome_bandit.started,rew,action,outcome_bandit.stopped,bandit.thisRepN,bandit.thisTrialN,bandit.thisN,bandit.thisIndex,bandit.ran,actual_rew1,actual_rew2,rew1,rew2,instruction_task.started,instruction_task.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,wait_ready.started,wait_ready.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,cue.started,cue.stopped,ori_response.started,ori_response.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,outcome.started,diff1,diff2,outcome.stopped,disp_outcome_practice.started,disp_outcome_practice.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ori1,ori2,break_blk.started,break_blk.stopped,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,block.ran,condition_file
0.0035,0.004,614e351010435c9f51dee6bf,65af5608941b6f73074ccf9c,2024-01-23_08h08.04.163,bars,2023.2.3,Win32,0.613911228,657b66ea316d21385b68909f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,614e351010435c9f51dee6bf,65af5608941b6f73074ccf9c,2024-01-23_08h08.04.163,bars,2023.2.3,Win32,0.613911228,657b66ea316d21385b68909f,0.0056,25.7076,y,24.3883,0.0017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,614e351010435c9f51dee6bf,65af5608941b6f73074ccf9c,2024-01-23_08h08.04.163,bars,2023.2.3,Win32,0.613911228,657b66ea316d21385b68909f,,,,,,25.7081,56.9721,space,29.8997,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,614e351010435c9f51dee6bf,65af5608941b6f73074ccf9c,2024-01-23_08h08.04.163,bars,2023.2.3,Win32,0.613911228,657b66ea316d21385b68909f,,,,,,,,,,,57.0446,58.2591,58.2593,58.3048,58.3052,58.309,58.3093,138,138,84.6962,space,24.9876,0.0012,84.6964,107.4729,space,22.3052,0.0007,0,0,0,1,1,20,bars/single001.png,bars/mask006.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,614e351010435c9f51dee6bf,65af5608941b6f73074ccf9c,2024-01-23_08h08.04.163,bars,2023.2.3,Win32,0.613911228,657b66ea316d21385b68909f,,,,,,,,,,,107.4872,108.4295,108.4297,108.9836,108.9837,108.9859,108.9868,8,8,153.1268,space,43.6618,0.0008,153.1269,166.5217,space,12.8992,0.0008,0,1,1,6,1,175,bars/single006.png,bars/mask005.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,614e351010435c9f51dee6bf,65af5608941b6f73074ccf9c,2024-01-23_08h08.04.163,bars,2023.2.3,Win32,0.613911228,657b66ea316d21385b68909f,,,,,,,,,,,166.5368,167.4971,167.4972,167.9951,167.9953,167.9973,167.9974,177,177,191.7345,space,23.2505,,191.7345,201.4499,space,9.202,,0,2,2,7,1,45,bars/single007.png,bars/mask009.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,614e351010435c9f51dee6bf,65af5608941b6f73074ccf9c,2024-01-23_08h08.04.163,bars,2023.2.3,Win32,0.613911228,657b66ea316d21385b68909f,,,,,,,,,,,201.4649,202.4376,202.4376,202.9638,202.9638,202.9655,202.9655,179,179,216.7222,space,13.2598,0.0003,216.7223,229.7562,space,12.5105,,0,3,3,4,1,95,bars/single004.png,bars/mask004.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,614e351010435c9f51dee6bf,65af5608941b6f73074ccf9c,2024-01-23_08h08.04.163,bars,2023.2.3,Win32,0.613911228,657b66ea316d21385b68909f,,,,,,,,,,,229.771,230.7209,230.721,231.226,231.226,231.2272,231.2273,20,20,244.6923,space,12.9731,0.0008,244.6924,252.1236,space,6.9288,0.0006,0,4,4,2,1,145,bars/single002.png,bars/mask003.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,614e351010435c9f51dee6bf,65af5608941b6f73074ccf9c,2024-01-23_08h08.04.163,bars,2023.2.3,Win32,0.613911228,657b66ea316d21385b68909f,,,,,,,,,,,252.1415,253.103,253.1031,253.611,253.6111,253.6129,253.613,95,95,270.522,space,16.4227,,270.5223,280.0269,space,9.0106,,0,5,5,5,1,55,bars/single005.png,bars/mask008.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,614e351010435c9f51dee6bf,65af5608941b6f73074ccf9c,2024-01-23_08h08.04.163,bars,2023.2.3,Win32,0.613911228,657b66ea316d21385b68909f,,,,,,,,,,,280.0412,281.0177,281.0177,281.5195,281.5195,281.5216,281.5216,130,130,309.574,space,27.4782,,309.5754,314.4352,space,4.2961,0.0005,0,6,6,0,1,150,bars/single000.png,bars/mask006.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,614e351010435c9f51dee6bf,65af5608941b6f73074ccf9c,2024-01-23_08h08.04.163,bars,2023.2.3,Win32,0.613911228,657b66ea316d21385b68909f,,,,,,,,,,,314.4364,315.4382,315.4382,315.9409,315.941,315.942,315.942,59,59,342.1171,space,25.6797,0.0006,342.1171,352.2759,space,9.6163,0.0004,0,7,7,9,1,20,bars/single009.png,bars/mask006.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,614e351010435c9f51dee6bf,65af5608941b6f73074ccf9c,2024-01-23_08h08.04.163,bars,2023.2.3,Win32,0.613911228,657b66ea316d21385b68909f,,,,,,,,,,,352.2904,353.2483,353.2483,353.7662,353.7663,353.7679,353.768,150,150,373.0786,space,18.8209,0.0006,373.0786,379.98,space,6.4004,,0,8,8,8,1,160,bars/single008.png,bars/mask004.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,614e351010435c9f51dee6bf,65af5608941b6f73074ccf9c,2024-01-23_08h08.04.163,bars,2023.2.3,Win32,0.613911228,657b66ea316d21385b68909f,,,,,,,,,,,379.9944,380.9786,380.9787,381.4805,381.4806,381.4824,381.4825,121,121,394.6523,space,12.693,,394.6524,399.4405,space,4.2736,,0,9,9,3,1,20,bars/single003.png,bars/mask005.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,614e351010435c9f51dee6bf,65af5608941b6f73074ccf9c,2024-01-23_08h08.04.163,bars,2023.2.3,Win32,0.613911228,657b66ea316d21385b68909f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,399.4554,432.4193,space,32.4465,0.0005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,614e351010435c9f51dee6bf,65af5608941b6f73074ccf9c,2024-01-23_08h08.04.163,bars,2023.2.3,Win32,0.613911228,657b66ea316d21385b68909f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,432.4369,438.092,right,5.1715,0.0004,438.0921,2,2,439.057,0,0,0,0,1,9,1,9,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,614e351010435c9f51dee6bf,65af5608941b6f73074ccf9c,2024-01-23_08h08.04.163,bars,2023.2.3,Win32,0.613911228,657b66ea316d21385b68909f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,439.0581,443.783,left,4.2223,,443.783,10,1,444.8174,0,1,1,1,1,10,0,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,614e351010435c9f51dee6bf,65af5608941b6f73074ccf9c,2024-01-23_08h08.04.163,bars,2023.2.3,Win32,0.613911228,657b66ea316d21385b68909f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,444.8315,447.9095,left,2.6031,,447.9096,10,1,448.9094,0,2,2,2,1,10,2,10,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,614e351010435c9f51dee6bf,65af5608941b6f73074ccf9c,2024-01-23_08h08.04.163,bars,2023.2.3,Win32,0.613911228,657b66ea316d21385b68909f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,448.923,452.014,left,2.6095,,452.0141,7,1,452.987,0,3,3,3,1,8,4,7,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,614e351010435c9f51dee6bf,65af5608941b6f73074ccf9c,2024-01-23_08h08.04.163,bars,2023.2.3,Win32,0.613911228,657b66ea316d21385b68909f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,452.9882,455.7674,right,2.1675,0.0009,455.7674,1,2,456.7574,0,4,4,4,1,6,2,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,614e351010435c9f51dee6bf,65af5608941b6f73074ccf9c,2024-01-23_08h08.04.163,bars,2023.2.3,Win32,0.613911228,657b66ea316d21385b68909f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,456.7714,459.8941,left,2.5948,0.0004,459.8942,4,1,460.9049,0,5,5,5,1,4,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
