init_variables.started,init_variables.stopped,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,instruction_exp.started,instruction_exp.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,instruction_single.started,instruction_single.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,interval.started,interval.stopped,cue_single.started,cue_single.stopped,mask.started,mask.stopped,ori_response_single.started,res_ori,res,ori_response_single.stopped,key_resp_single.keys,key_resp_single.rt,key_resp_single.duration,disp_single.started,disp_single.stopped,key_resp.keys,key_resp.rt,key_resp.duration,single.thisRepN,single.thisTrialN,single.thisN,single.thisIndex,single.ran,ori,path,mask_path,instruction_bandit.started,instruction_bandit.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,cue_bandit.started,cue_bandit.stopped,bandit_res.keys,bandit_res.rt,bandit_res.duration,outcome_bandit.started,rew,action,outcome_bandit.stopped,bandit.thisRepN,bandit.thisTrialN,bandit.thisN,bandit.thisIndex,bandit.ran,actual_rew1,actual_rew2,rew1,rew2,instruction_task.started,instruction_task.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,wait_ready.started,wait_ready.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,cue.started,cue.stopped,ori_response.started,ori_response.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,outcome.started,diff1,diff2,outcome.stopped,disp_outcome_practice.started,disp_outcome_practice.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ori1,ori2,break_blk.started,break_blk.stopped,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,block.ran,condition_file
0,0,61656a7e58d53cbb92ade865,65af578674eb1d0e84c24b4b,2024-01-23_08h08.07.170,bars,2023.2.3,Win32,60.0240096,657b66ea316d21385b68909f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,61656a7e58d53cbb92ade865,65af578674eb1d0e84c24b4b,2024-01-23_08h08.07.170,bars,2023.2.3,Win32,60.0240096,657b66ea316d21385b68909f,0,16.194,y,16.167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,61656a7e58d53cbb92ade865,65af578674eb1d0e84c24b4b,2024-01-23_08h08.07.170,bars,2023.2.3,Win32,60.0240096,657b66ea316d21385b68909f,,,,,,16.194,127.358,space,111.139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,61656a7e58d53cbb92ade865,65af578674eb1d0e84c24b4b,2024-01-23_08h08.07.170,bars,2023.2.3,Win32,60.0240096,657b66ea316d21385b68909f,,,,,,,,,,,127.37,128.368,128.368,128.867,128.867,129.116,129.117,90,90,145.317,space,16.155,,145.317,161.205,space,15.855,,0,0,0,4,1,95,bars/single004.png,bars/mask004.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,61656a7e58d53cbb92ade865,65af578674eb1d0e84c24b4b,2024-01-23_08h08.07.170,bars,2023.2.3,Win32,60.0240096,657b66ea316d21385b68909f,,,,,,,,,,,161.206,162.201,162.201,162.7,162.7,162.95,162.95,89,89,175.954,space,12.982,,175.954,184.746,space,8.77,,0,1,1,0,1,150,bars/single000.png,bars/mask006.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,61656a7e58d53cbb92ade865,65af578674eb1d0e84c24b4b,2024-01-23_08h08.07.170,bars,2023.2.3,Win32,60.0240096,657b66ea316d21385b68909f,,,,,,,,,,,184.748,185.744,185.744,186.245,186.245,186.493,186.493,128,128,192.154,space,5.645,,192.154,195.903,space,3.735,,0,2,2,8,1,160,bars/single008.png,bars/mask004.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,61656a7e58d53cbb92ade865,65af578674eb1d0e84c24b4b,2024-01-23_08h08.07.170,bars,2023.2.3,Win32,60.0240096,657b66ea316d21385b68909f,,,,,,,,,,,195.904,196.902,196.902,197.399,197.399,197.648,197.648,146,146,203.594,space,5.933,,203.594,207.425,space,3.809,,0,3,3,7,1,45,bars/single007.png,bars/mask009.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,61656a7e58d53cbb92ade865,65af578674eb1d0e84c24b4b,2024-01-23_08h08.07.170,bars,2023.2.3,Win32,60.0240096,657b66ea316d21385b68909f,,,,,,,,,,,207.426,208.422,208.422,208.921,208.921,209.171,209.171,146,146,214.466,space,5.279,,214.466,218.081,space,3.601,,0,4,4,5,1,55,bars/single005.png,bars/mask008.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,61656a7e58d53cbb92ade865,65af578674eb1d0e84c24b4b,2024-01-23_08h08.07.170,bars,2023.2.3,Win32,60.0240096,657b66ea316d21385b68909f,,,,,,,,,,,218.082,219.078,219.078,219.578,219.578,219.826,219.826,148,148,222.642,space,2.796,,222.642,224.44,space,1.78,,0,5,5,6,1,175,bars/single006.png,bars/mask005.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,61656a7e58d53cbb92ade865,65af578674eb1d0e84c24b4b,2024-01-23_08h08.07.170,bars,2023.2.3,Win32,60.0240096,657b66ea316d21385b68909f,,,,,,,,,,,224.44,225.437,225.438,225.937,225.937,226.187,226.187,142,-38,231.964,space,5.765,,231.966,233.549,space,1.566,,0,6,6,1,1,20,bars/single001.png,bars/mask006.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,61656a7e58d53cbb92ade865,65af578674eb1d0e84c24b4b,2024-01-23_08h08.07.170,bars,2023.2.3,Win32,60.0240096,657b66ea316d21385b68909f,,,,,,,,,,,233.55,234.545,234.545,235.046,235.046,235.295,235.295,150,150,240.325,space,5.023,,240.325,244.09,space,3.749,,0,7,7,2,1,145,bars/single002.png,bars/mask003.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,61656a7e58d53cbb92ade865,65af578674eb1d0e84c24b4b,2024-01-23_08h08.07.170,bars,2023.2.3,Win32,60.0240096,657b66ea316d21385b68909f,,,,,,,,,,,244.091,245.086,245.086,245.586,245.586,245.835,245.836,159,159,252.095,space,6.244,,252.096,259.189,space,7.071,,0,8,8,9,1,20,bars/single009.png,bars/mask006.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,61656a7e58d53cbb92ade865,65af578674eb1d0e84c24b4b,2024-01-23_08h08.07.170,bars,2023.2.3,Win32,60.0240096,657b66ea316d21385b68909f,,,,,,,,,,,259.19,260.191,260.191,260.687,260.687,260.936,260.936,161,161,267.282,space,6.333,,267.282,269.512,space,2.209,,0,9,9,3,1,20,bars/single003.png,bars/mask005.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
