init_variables.started,init_variables.stopped,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,instruction_exp.started,instruction_exp.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,instruction_single.started,instruction_single.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,interval.started,interval.stopped,cue_single.started,cue_single.stopped,mask.started,mask.stopped,ori_response_single.started,res_ori,res,ori_response_single.stopped,key_resp_single.keys,key_resp_single.rt,key_resp_single.duration,disp_single.started,disp_single.stopped,key_resp.keys,key_resp.rt,key_resp.duration,single.thisRepN,single.thisTrialN,single.thisN,single.thisIndex,single.ran,ori,path,mask_path,instruction_bandit.started,instruction_bandit.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,cue_bandit.started,cue_bandit.stopped,bandit_res.keys,bandit_res.rt,bandit_res.duration,outcome_bandit.started,rew,action,outcome_bandit.stopped,bandit.thisRepN,bandit.thisTrialN,bandit.thisN,bandit.thisIndex,bandit.ran,actual_rew1,actual_rew2,rew1,rew2,instruction_task.started,instruction_task.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,wait_ready.started,wait_ready.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,cue.started,cue.stopped,ori_response.started,ori_response.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,outcome.started,diff1,diff2,outcome.stopped,disp_outcome_practice.started,disp_outcome_practice.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ori1,ori2,break_blk.started,break_blk.stopped,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,block.ran,condition_file
0.0013,0.0016,60a0dfc6f9936b0d30dfea15,65af578aca620457d06d5905,2024-01-23_08h08.14.064,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,60a0dfc6f9936b0d30dfea15,65af578aca620457d06d5905,2024-01-23_08h08.14.064,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,0.0019,6.7002,y,6.6691,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,60a0dfc6f9936b0d30dfea15,65af578aca620457d06d5905,2024-01-23_08h08.14.064,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,,,,,,6.7005,827.6652,space,820.9465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,60a0dfc6f9936b0d30dfea15,65af578aca620457d06d5905,2024-01-23_08h08.14.064,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,827.6756,828.6793,828.6794,829.1793,829.1794,829.4293,829.4295,52,52,833.9969,space,4.5458,,833.9971,841.3808,space,7.3464,,0,0,0,9,1,20,bars/single009.png,bars/mask006.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,60a0dfc6f9936b0d30dfea15,65af578aca620457d06d5905,2024-01-23_08h08.14.064,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,841.3976,842.3963,842.3965,842.8963,842.8963,843.1464,843.1464,145,145,844.8633,space,1.7054,,844.8634,846.9467,space,2.073,,0,1,1,0,1,150,bars/single000.png,bars/mask006.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,60a0dfc6f9936b0d30dfea15,65af578aca620457d06d5905,2024-01-23_08h08.14.064,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,846.9473,847.9467,847.9467,848.4464,848.4464,848.6964,848.6964,26,206,851.63,space,2.9171,,851.6301,852.9135,space,1.2675,,0,2,2,1,1,20,bars/single001.png,bars/mask006.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,60a0dfc6f9936b0d30dfea15,65af578aca620457d06d5905,2024-01-23_08h08.14.064,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,852.9138,853.9132,853.9133,854.4133,854.4134,854.6633,854.6634,41,41,857.2967,space,2.628,,857.2967,858.5306,space,1.2253,,0,3,3,3,1,20,bars/single003.png,bars/mask005.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,60a0dfc6f9936b0d30dfea15,65af578aca620457d06d5905,2024-01-23_08h08.14.064,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,858.5312,859.5301,859.5302,860.0303,860.0305,860.2802,860.2802,148,-32,863.1304,space,2.8435,,863.1304,864.4641,space,1.3189,,0,4,4,6,1,175,bars/single006.png,bars/mask005.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,60a0dfc6f9936b0d30dfea15,65af578aca620457d06d5905,2024-01-23_08h08.14.064,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,864.4646,865.4639,865.4639,865.9637,865.9637,866.2136,866.2136,78,78,869.3982,space,3.1681,,869.3983,871.4477,space,2.0422,,0,5,5,5,1,55,bars/single005.png,bars/mask008.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,60a0dfc6f9936b0d30dfea15,65af578aca620457d06d5905,2024-01-23_08h08.14.064,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,871.4482,872.4475,872.4476,872.9475,872.9476,873.1975,873.1976,145,-35,875.6479,space,2.4379,,875.6479,878.0976,space,2.4322,,0,6,6,8,1,160,bars/single008.png,bars/mask004.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
