init_variables.started,init_variables.stopped,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,instruction_exp.started,instruction_exp.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,instruction_single.started,instruction_single.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,interval.started,interval.stopped,cue_single.started,cue_single.stopped,mask.started,mask.stopped,ori_response_single.started,res_ori,res,ori_response_single.stopped,key_resp_single.keys,key_resp_single.rt,key_resp_single.duration,disp_single.started,disp_single.stopped,key_resp.keys,key_resp.rt,key_resp.duration,single.thisRepN,single.thisTrialN,single.thisN,single.thisIndex,single.ran,ori,path,mask_path,instruction_bandit.started,instruction_bandit.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,cue_bandit.started,cue_bandit.stopped,bandit_res.keys,bandit_res.rt,bandit_res.duration,outcome_bandit.started,rew,action,outcome_bandit.stopped,bandit.thisRepN,bandit.thisTrialN,bandit.thisN,bandit.thisIndex,bandit.ran,actual_rew1,actual_rew2,rew1,rew2,instruction_task.started,instruction_task.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,wait_ready.started,wait_ready.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,cue.started,cue.stopped,ori_response.started,ori_response.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,outcome.started,diff1,diff2,outcome.stopped,disp_outcome_practice.started,disp_outcome_practice.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ori1,ori2,break_blk.started,break_blk.stopped,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,block.ran,condition_file
0.0004,0.0004,612c95f4a142b9dc63cc45a0,65af55fe4abd09284145a17a,2024-01-23_08h09.23.155,bars,2023.2.3,Win32,60.24096386,657b66ea316d21385b68909f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,612c95f4a142b9dc63cc45a0,65af55fe4abd09284145a17a,2024-01-23_08h09.23.155,bars,2023.2.3,Win32,60.24096386,657b66ea316d21385b68909f,0.0007,3.1253,y,3.1092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,612c95f4a142b9dc63cc45a0,65af55fe4abd09284145a17a,2024-01-23_08h09.23.155,bars,2023.2.3,Win32,60.24096386,657b66ea316d21385b68909f,,,,,,3.126,14.123,space,10.9706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,612c95f4a142b9dc63cc45a0,65af55fe4abd09284145a17a,2024-01-23_08h09.23.155,bars,2023.2.3,Win32,60.24096386,657b66ea316d21385b68909f,,,,,,,,,,,14.128,15.1233,15.1236,15.6252,15.6258,15.8763,15.8768,1,181,19.9937,space,4.0661,,19.9941,23.9256,space,3.8961,,0,0,0,9,1,20,bars/single009.png,bars/mask006.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,612c95f4a142b9dc63cc45a0,65af55fe4abd09284145a17a,2024-01-23_08h09.23.155,bars,2023.2.3,Win32,60.24096386,657b66ea316d21385b68909f,,,,,,,,,,,23.9272,24.9235,24.9242,25.4233,25.4234,25.6722,25.6722,144,144,27.1408,space,1.4538,,27.1412,29.6232,space,2.4595,,0,1,1,7,1,45,bars/single007.png,bars/mask009.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,612c95f4a142b9dc63cc45a0,65af55fe4abd09284145a17a,2024-01-23_08h09.23.155,bars,2023.2.3,Win32,60.24096386,657b66ea316d21385b68909f,,,,,,,,,,,29.6243,30.6218,30.6219,31.1223,31.1224,31.3723,31.3724,49,229,39.4555,space,8.0729,,39.4557,44.4895,space,5.0192,,0,2,2,6,1,175,bars/single006.png,bars/mask005.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,612c95f4a142b9dc63cc45a0,65af55fe4abd09284145a17a,2024-01-23_08h09.23.155,bars,2023.2.3,Win32,60.24096386,657b66ea316d21385b68909f,,,,,,,,,,,44.4907,45.4892,45.4892,45.9875,45.9876,46.2385,46.2385,136,136,47.5751,space,1.3282,,47.5753,49.3913,space,1.7932,,0,3,3,5,1,55,bars/single005.png,bars/mask008.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,612c95f4a142b9dc63cc45a0,65af55fe4abd09284145a17a,2024-01-23_08h09.23.155,bars,2023.2.3,Win32,60.24096386,657b66ea316d21385b68909f,,,,,,,,,,,49.3925,50.3874,50.3875,50.8888,50.8889,51.1385,51.1385,143,-37,59.52,space,8.3643,,59.52,65.2723,space,5.7257,,0,4,4,8,1,160,bars/single008.png,bars/mask004.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,612c95f4a142b9dc63cc45a0,65af55fe4abd09284145a17a,2024-01-23_08h09.23.155,bars,2023.2.3,Win32,60.24096386,657b66ea316d21385b68909f,,,,,,,,,,,65.3028,66.287,66.2872,66.7873,66.7874,67.0228,67.023,1,181,83.3197,space,16.2889,,83.32,85.5537,space,2.1889,,0,5,5,1,1,20,bars/single001.png,bars/mask006.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,612c95f4a142b9dc63cc45a0,65af55fe4abd09284145a17a,2024-01-23_08h09.23.155,bars,2023.2.3,Win32,60.24096386,657b66ea316d21385b68909f,,,,,,,,,,,85.5549,86.5539,86.5541,87.0529,87.0532,87.3035,87.3039,128,128,88.654,space,1.3348,,88.6541,90.0561,space,1.3871,,0,6,6,3,1,20,bars/single003.png,bars/mask005.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
