init_variables.started,init_variables.stopped,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,instruction_exp.started,instruction_exp.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,instruction_single.started,instruction_single.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,interval.started,interval.stopped,cue_single.started,cue_single.stopped,mask.started,mask.stopped,ori_response_single.started,res_ori,res,ori_response_single.stopped,key_resp_single.keys,key_resp_single.rt,key_resp_single.duration,disp_single.started,disp_single.stopped,key_resp.keys,key_resp.rt,key_resp.duration,single.thisRepN,single.thisTrialN,single.thisN,single.thisIndex,single.ran,ori,path,mask_path,instruction_bandit.started,instruction_bandit.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,cue_bandit.started,cue_bandit.stopped,bandit_res.keys,bandit_res.rt,bandit_res.duration,outcome_bandit.started,rew,action,outcome_bandit.stopped,bandit.thisRepN,bandit.thisTrialN,bandit.thisN,bandit.thisIndex,bandit.ran,actual_rew1,actual_rew2,rew1,rew2,instruction_task.started,instruction_task.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,wait_ready.started,wait_ready.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,cue.started,cue.stopped,ori_response.started,ori_response.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,outcome.started,diff1,diff2,outcome.stopped,disp_outcome_practice.started,disp_outcome_practice.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ori1,ori2,break_blk.started,break_blk.stopped,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,block.ran,condition_file
0.0003,0.0005,5ea1660f4d0db50008ff86ed,65af5633f1fd1b2813087bdd,2024-01-23_08h10.22.157,bars,2023.2.3,Win32,60.24096386,657b66ea316d21385b68909f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5ea1660f4d0db50008ff86ed,65af5633f1fd1b2813087bdd,2024-01-23_08h10.22.157,bars,2023.2.3,Win32,60.24096386,657b66ea316d21385b68909f,0.0006,2.3628,y,2.3467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5ea1660f4d0db50008ff86ed,65af5633f1fd1b2813087bdd,2024-01-23_08h10.22.157,bars,2023.2.3,Win32,60.24096386,657b66ea316d21385b68909f,,,,,,2.3629,30.4297,space,28.047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5ea1660f4d0db50008ff86ed,65af5633f1fd1b2813087bdd,2024-01-23_08h10.22.157,bars,2023.2.3,Win32,60.24096386,657b66ea316d21385b68909f,,,,,,,,,,,30.4336,31.4369,31.4369,31.9372,31.9373,32.1867,32.1868,7,7,43.4707,space,11.2589,,43.4709,50.0298,space,6.5401,,0,0,0,6,1,175,bars/single006.png,bars/mask005.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5ea1660f4d0db50008ff86ed,65af5633f1fd1b2813087bdd,2024-01-23_08h10.22.157,bars,2023.2.3,Win32,60.24096386,657b66ea316d21385b68909f,,,,,,,,,,,50.0302,51.0296,51.0297,51.5202,51.5203,51.7704,51.7704,176,-4,57.8465,space,6.0563,,57.8466,63.1376,space,5.267,,0,1,1,0,1,150,bars/single000.png,bars/mask006.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5ea1660f4d0db50008ff86ed,65af5633f1fd1b2813087bdd,2024-01-23_08h10.22.157,bars,2023.2.3,Win32,60.24096386,657b66ea316d21385b68909f,,,,,,,,,,,63.1449,64.1378,64.1378,64.637,64.637,64.8799,64.8799,66,66,72.471,space,7.567,,72.471,79.2969,space,6.8004,,0,2,2,5,1,55,bars/single005.png,bars/mask008.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5ea1660f4d0db50008ff86ed,65af5633f1fd1b2813087bdd,2024-01-23_08h10.22.157,bars,2023.2.3,Win32,60.24096386,657b66ea316d21385b68909f,,,,,,,,,,,79.3047,80.2968,80.2968,80.7872,80.7873,81.0301,81.0301,130,130,88.3546,space,7.3005,,88.3546,91.9865,space,3.6145,,0,3,3,2,1,145,bars/single002.png,bars/mask003.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5ea1660f4d0db50008ff86ed,65af5633f1fd1b2813087bdd,2024-01-23_08h10.22.157,bars,2023.2.3,Win32,60.24096386,657b66ea316d21385b68909f,,,,,,,,,,,91.9937,92.9969,92.9969,93.504,93.504,93.7469,93.747,164,164,101.0212,space,7.2532,,101.0212,107.5882,space,6.5503,,0,4,4,8,1,160,bars/single008.png,bars/mask004.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5ea1660f4d0db50008ff86ed,65af5633f1fd1b2813087bdd,2024-01-23_08h10.22.157,bars,2023.2.3,Win32,60.24096386,657b66ea316d21385b68909f,,,,,,,,,,,107.596,108.5875,108.5875,109.0877,109.0877,109.3305,109.3305,79,79,116.2715,space,6.9169,,116.2716,120.3218,space,4.0337,,0,5,5,4,1,95,bars/single004.png,bars/mask004.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5ea1660f4d0db50008ff86ed,65af5633f1fd1b2813087bdd,2024-01-23_08h10.22.157,bars,2023.2.3,Win32,60.24096386,657b66ea316d21385b68909f,,,,,,,,,,,120.329,121.3209,121.3209,121.814,121.8141,122.0545,122.0546,34,34,130.6385,space,8.5664,,130.6385,141.2555,space,10.5996,,0,6,6,7,1,45,bars/single007.png,bars/mask009.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
