init_variables.started,init_variables.stopped,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,instruction_exp.started,instruction_exp.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,instruction_single.started,instruction_single.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,interval.started,interval.stopped,cue_single.started,cue_single.stopped,mask.started,mask.stopped,ori_response_single.started,res_ori,res,ori_response_single.stopped,key_resp_single.keys,key_resp_single.rt,key_resp_single.duration,disp_single.started,disp_single.stopped,key_resp.keys,key_resp.rt,key_resp.duration,single.thisRepN,single.thisTrialN,single.thisN,single.thisIndex,single.ran,ori,path,mask_path,instruction_bandit.started,instruction_bandit.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,cue_bandit.started,cue_bandit.stopped,bandit_res.keys,bandit_res.rt,bandit_res.duration,outcome_bandit.started,rew,action,outcome_bandit.stopped,bandit.thisRepN,bandit.thisTrialN,bandit.thisN,bandit.thisIndex,bandit.ran,actual_rew1,actual_rew2,rew1,rew2,instruction_task.started,instruction_task.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,wait_ready.started,wait_ready.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,cue.started,cue.stopped,ori_response.started,ori_response.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,outcome.started,diff1,diff2,outcome.stopped,disp_outcome_practice.started,disp_outcome_practice.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ori1,ori2,break_blk.started,break_blk.stopped,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,block.ran,condition_file
0.0003,0.0005,64fead10d35271cb8eafc1c2,65af55813f5fcc7f4ffca798,2024-01-23_08h11.10.299,bars,2023.2.3,Win32,60.24096386,657b66ea316d21385b68909f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,64fead10d35271cb8eafc1c2,65af55813f5fcc7f4ffca798,2024-01-23_08h11.10.299,bars,2023.2.3,Win32,60.24096386,657b66ea316d21385b68909f,0.0006,16.4259,y,16.4115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,64fead10d35271cb8eafc1c2,65af55813f5fcc7f4ffca798,2024-01-23_08h11.10.299,bars,2023.2.3,Win32,60.24096386,657b66ea316d21385b68909f,,,,,,16.426,278.9465,space,262.5031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,64fead10d35271cb8eafc1c2,65af55813f5fcc7f4ffca798,2024-01-23_08h11.10.299,bars,2023.2.3,Win32,60.24096386,657b66ea316d21385b68909f,,,,,,,,,,,278.9695,279.9569,279.9571,280.4641,280.4642,280.703,280.7034,0,180,290.512,space,9.7775,,290.5122,328.8215,space,38.2764,,0,0,0,1,1,20,bars/single001.png,bars/mask006.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,64fead10d35271cb8eafc1c2,65af55813f5fcc7f4ffca798,2024-01-23_08h11.10.299,bars,2023.2.3,Win32,60.24096386,657b66ea316d21385b68909f,,,,,,,,,,,328.8353,329.8234,329.8234,330.3216,330.3216,330.5777,330.5778,34,34,339.3823,space,8.7948,,339.3823,343.5475,space,4.1443,,0,1,1,6,1,175,bars/single006.png,bars/mask005.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,64fead10d35271cb8eafc1c2,65af55813f5fcc7f4ffca798,2024-01-23_08h11.10.299,bars,2023.2.3,Win32,60.24096386,657b66ea316d21385b68909f,,,,,,,,,,,343.5613,344.5665,344.5666,345.0479,345.048,345.2946,345.2946,174,174,352.5087,space,7.1898,,352.5089,359.0763,space,6.5489,,0,2,2,5,1,55,bars/single005.png,bars/mask008.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,64fead10d35271cb8eafc1c2,65af55813f5fcc7f4ffca798,2024-01-23_08h11.10.299,bars,2023.2.3,Win32,60.24096386,657b66ea316d21385b68909f,,,,,,,,,,,359.092,360.078,360.078,360.5818,360.5818,360.8227,360.8227,35,35,362.288,space,1.4582,,362.288,390.8759,space,28.5726,,0,3,3,3,1,20,bars/single003.png,bars/mask005.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,64fead10d35271cb8eafc1c2,65af55813f5fcc7f4ffca798,2024-01-23_08h11.10.299,bars,2023.2.3,Win32,60.24096386,657b66ea316d21385b68909f,,,,,,,,,,,390.8889,391.8879,391.888,392.3858,392.3858,392.6352,392.6353,38,218,397.3225,space,4.6805,,397.3225,409.9478,space,12.6039,,0,4,4,9,1,20,bars/single009.png,bars/mask006.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,64fead10d35271cb8eafc1c2,65af55813f5fcc7f4ffca798,2024-01-23_08h11.10.299,bars,2023.2.3,Win32,60.24096386,657b66ea316d21385b68909f,,,,,,,,,,,409.9627,410.9279,410.9279,411.42,411.42,411.6374,411.6374,151,151,416.3495,space,4.6999,,416.3497,421.1574,space,4.7895,,0,5,5,0,1,150,bars/single000.png,bars/mask006.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,64fead10d35271cb8eafc1c2,65af55813f5fcc7f4ffca798,2024-01-23_08h11.10.299,bars,2023.2.3,Win32,60.24096386,657b66ea316d21385b68909f,,,,,,,,,,,421.1717,422.1735,422.1736,422.6804,422.6805,422.9207,422.9208,87,87,426.6373,space,3.7106,,426.6374,430.1895,space,3.4797,,0,6,6,4,1,95,bars/single004.png,bars/mask004.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
