init_variables.started,init_variables.stopped,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,instruction_exp.started,instruction_exp.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,instruction_single.started,instruction_single.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,interval.started,interval.stopped,cue_single.started,cue_single.stopped,mask.started,mask.stopped,ori_response_single.started,res_ori,res,ori_response_single.stopped,key_resp_single.keys,key_resp_single.rt,key_resp_single.duration,disp_single.started,disp_single.stopped,key_resp.keys,key_resp.rt,key_resp.duration,single.thisRepN,single.thisTrialN,single.thisN,single.thisIndex,single.ran,ori,path,mask_path,instruction_bandit.started,instruction_bandit.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,cue_bandit.started,cue_bandit.stopped,bandit_res.keys,bandit_res.rt,bandit_res.duration,outcome_bandit.started,rew,action,outcome_bandit.stopped,bandit.thisRepN,bandit.thisTrialN,bandit.thisN,bandit.thisIndex,bandit.ran,actual_rew1,actual_rew2,rew1,rew2,instruction_task.started,instruction_task.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,wait_ready.started,wait_ready.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,cue.started,cue.stopped,ori_response.started,ori_response.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,outcome.started,diff1,diff2,outcome.stopped,disp_outcome_practice.started,disp_outcome_practice.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ori1,ori2,break_blk.started,break_blk.stopped,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,block.ran,condition_file
0.0027,0.003,60ddce06d1556fd085432049,65af56f973eaa355c997c2a9,2024-01-23_08h12.47.643,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,60ddce06d1556fd085432049,65af56f973eaa355c997c2a9,2024-01-23_08h12.47.643,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,0.004,144.4096,y,143.9105,0.3536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,60ddce06d1556fd085432049,65af56f973eaa355c997c2a9,2024-01-23_08h12.47.643,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,,,,,,144.4102,267.5897,space,123.1523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,60ddce06d1556fd085432049,65af56f973eaa355c997c2a9,2024-01-23_08h12.47.643,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,267.6076,268.5954,268.5957,269.0966,269.097,269.3463,269.3467,0,0,280.7044,space,11.3072,,280.7047,297.011,space,16.2369,,0,0,0,0,1,150,bars/single000.png,bars/mask006.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,60ddce06d1556fd085432049,65af56f973eaa355c997c2a9,2024-01-23_08h12.47.643,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,297.0344,298.0262,298.0264,298.5271,298.5272,298.7765,298.7765,0,0,308.5492,space,9.7558,,308.5494,318.0865,space,9.4738,,0,1,1,9,1,20,bars/single009.png,bars/mask006.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,60ddce06d1556fd085432049,65af56f973eaa355c997c2a9,2024-01-23_08h12.47.643,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,318.1095,319.1029,319.1031,319.6038,319.6039,319.8532,319.8533,44,44,331.0432,space,11.1767,,331.0433,334.1122,space,3.0244,,0,2,2,1,1,20,bars/single001.png,bars/mask006.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,60ddce06d1556fd085432049,65af56f973eaa355c997c2a9,2024-01-23_08h12.47.643,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,334.1134,335.1108,335.1111,335.6111,335.6113,335.8616,335.8618,78,78,336.6977,space,0.8259,,336.6978,342.5159,space,5.7975,,0,3,3,4,1,95,bars/single004.png,bars/mask004.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,60ddce06d1556fd085432049,65af56f973eaa355c997c2a9,2024-01-23_08h12.47.643,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,342.5385,343.5315,343.5316,344.0318,344.0319,344.2823,344.2823,113,113,350.5857,space,6.2866,,350.5858,357.7722,space,7.1407,,0,4,4,6,1,175,bars/single006.png,bars/mask005.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,60ddce06d1556fd085432049,65af56f973eaa355c997c2a9,2024-01-23_08h12.47.643,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,357.7955,358.7886,358.7887,359.2729,359.2729,359.5226,359.5226,13,193,370.799,space,11.2658,,370.7992,373.715,space,2.8721,,0,5,5,2,1,145,bars/single002.png,bars/mask003.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,60ddce06d1556fd085432049,65af56f973eaa355c997c2a9,2024-01-23_08h12.47.643,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,373.7156,374.7133,374.7134,375.214,375.214,375.4635,375.4636,143,143,385.1858,space,9.7054,,385.1859,397.6749,space,12.4349,,0,6,6,5,1,55,bars/single005.png,bars/mask008.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
