init_variables.started,init_variables.stopped,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,instruction_exp.started,instruction_exp.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,instruction_single.started,instruction_single.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,interval.started,interval.stopped,cue_single.started,cue_single.stopped,mask.started,mask.stopped,ori_response_single.started,res_ori,res,ori_response_single.stopped,key_resp_single.keys,key_resp_single.rt,key_resp_single.duration,disp_single.started,disp_single.stopped,key_resp.keys,key_resp.rt,key_resp.duration,single.thisRepN,single.thisTrialN,single.thisN,single.thisIndex,single.ran,ori,path,mask_path,instruction_bandit.started,instruction_bandit.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,cue_bandit.started,cue_bandit.stopped,bandit_res.keys,bandit_res.rt,bandit_res.duration,outcome_bandit.started,rew,action,outcome_bandit.stopped,bandit.thisRepN,bandit.thisTrialN,bandit.thisN,bandit.thisIndex,bandit.ran,actual_rew1,actual_rew2,rew1,rew2,instruction_task.started,instruction_task.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,wait_ready.started,wait_ready.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,cue.started,cue.stopped,ori_response.started,ori_response.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,outcome.started,diff1,diff2,outcome.stopped,disp_outcome_practice.started,disp_outcome_practice.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ori1,ori2,break_blk.started,break_blk.stopped,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,block.ran,condition_file
0.0006,0.0009,5f8038ceefbc9f02632dce3c,65af5689a4d6aa58b7daa711,2024-01-23_08h16.43.553,bars,2023.2.3,Win32,40.98360656,657b66ea316d21385b68909f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5f8038ceefbc9f02632dce3c,65af5689a4d6aa58b7daa711,2024-01-23_08h16.43.553,bars,2023.2.3,Win32,40.98360656,657b66ea316d21385b68909f,0.0013,349.6775,y,349.6317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5f8038ceefbc9f02632dce3c,65af5689a4d6aa58b7daa711,2024-01-23_08h16.43.553,bars,2023.2.3,Win32,40.98360656,657b66ea316d21385b68909f,,,,,,349.6777,390.7393,space,41.0358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5f8038ceefbc9f02632dce3c,65af5689a4d6aa58b7daa711,2024-01-23_08h16.43.553,bars,2023.2.3,Win32,40.98360656,657b66ea316d21385b68909f,,,,,,,,,,,390.7637,391.7522,391.7525,392.24,392.2402,392.4836,392.4838,4,4,427.0731,space,34.5257,,427.0735,430.9768,space,3.8349,,0,0,0,2,1,145,bars/single002.png,bars/mask003.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5f8038ceefbc9f02632dce3c,65af5689a4d6aa58b7daa711,2024-01-23_08h16.43.553,bars,2023.2.3,Win32,40.98360656,657b66ea316d21385b68909f,,,,,,,,,,,430.9777,431.9653,431.9655,432.4513,432.4513,432.6948,432.6948,153,-27,437.2368,space,4.5277,,437.2368,460.8645,space,23.5827,,0,1,1,9,1,20,bars/single009.png,bars/mask006.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5f8038ceefbc9f02632dce3c,65af5689a4d6aa58b7daa711,2024-01-23_08h16.43.553,bars,2023.2.3,Win32,40.98360656,657b66ea316d21385b68909f,,,,,,,,,,,460.8798,461.8824,461.8825,462.3857,462.3857,462.6312,462.6313,81,81,466.4113,space,3.7734,,466.4113,470.7017,space,4.2638,,0,2,2,4,1,95,bars/single004.png,bars/mask004.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5f8038ceefbc9f02632dce3c,65af5689a4d6aa58b7daa711,2024-01-23_08h16.43.553,bars,2023.2.3,Win32,40.98360656,657b66ea316d21385b68909f,,,,,,,,,,,470.7147,471.7025,471.7026,472.1905,472.1905,472.4334,472.4334,171,171,507.792,space,35.337,,507.7921,511.3373,space,3.5168,,0,3,3,0,1,150,bars/single000.png,bars/mask006.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5f8038ceefbc9f02632dce3c,65af5689a4d6aa58b7daa711,2024-01-23_08h16.43.553,bars,2023.2.3,Win32,40.98360656,657b66ea316d21385b68909f,,,,,,,,,,,511.3382,512.3333,512.3333,512.8203,512.8204,513.0636,513.0636,67,67,519.2188,space,6.1398,,519.2189,521.6667,space,2.4155,,0,4,4,5,1,55,bars/single005.png,bars/mask008.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5f8038ceefbc9f02632dce3c,65af5689a4d6aa58b7daa711,2024-01-23_08h16.43.553,bars,2023.2.3,Win32,40.98360656,657b66ea316d21385b68909f,,,,,,,,,,,521.6671,522.6623,522.6623,523.1517,523.1517,523.3948,523.3948,69,69,526.4717,space,3.062,,526.4717,527.6901,space,1.1826,,0,5,5,6,1,175,bars/single006.png,bars/mask005.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5f8038ceefbc9f02632dce3c,65af5689a4d6aa58b7daa711,2024-01-23_08h16.43.553,bars,2023.2.3,Win32,40.98360656,657b66ea316d21385b68909f,,,,,,,,,,,527.6905,528.6891,528.6892,529.1758,529.1759,529.4207,529.4207,35,35,531.9681,space,2.5325,,531.9681,534.4515,space,2.443,,0,6,6,7,1,45,bars/single007.png,bars/mask009.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
