init_variables.started,init_variables.stopped,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,instruction_exp.started,instruction_exp.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,instruction_single.started,instruction_single.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,interval.started,interval.stopped,cue_single.started,cue_single.stopped,mask.started,mask.stopped,ori_response_single.started,res_ori,res,ori_response_single.stopped,key_resp_single.keys,key_resp_single.rt,key_resp_single.duration,disp_single.started,disp_single.stopped,key_resp.keys,key_resp.rt,key_resp.duration,single.thisRepN,single.thisTrialN,single.thisN,single.thisIndex,single.ran,ori,path,mask_path,instruction_bandit.started,instruction_bandit.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,cue_bandit.started,cue_bandit.stopped,bandit_res.keys,bandit_res.rt,bandit_res.duration,outcome_bandit.started,rew,action,outcome_bandit.stopped,bandit.thisRepN,bandit.thisTrialN,bandit.thisN,bandit.thisIndex,bandit.ran,actual_rew1,actual_rew2,rew1,rew2,instruction_task.started,instruction_task.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,wait_ready.started,wait_ready.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,cue.started,cue.stopped,ori_response.started,ori_response.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,outcome.started,diff1,diff2,outcome.stopped,disp_outcome_practice.started,disp_outcome_practice.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ori1,ori2,break_blk.started,break_blk.stopped,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,block.ran,condition_file
0.0004,0.0007,6110daa2aefc2c078f8a7ae5,65af5a431502ba3ac8b61a52,2024-01-23_08h21.00.811,bars,2023.2.3,Win32,40,657b66ea316d21385b68909f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6110daa2aefc2c078f8a7ae5,65af5a431502ba3ac8b61a52,2024-01-23_08h21.00.811,bars,2023.2.3,Win32,40,657b66ea316d21385b68909f,0.001,8.465,y,8.4364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6110daa2aefc2c078f8a7ae5,65af5a431502ba3ac8b61a52,2024-01-23_08h21.00.811,bars,2023.2.3,Win32,40,657b66ea316d21385b68909f,,,,,,8.4652,21.5374,space,13.0497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6110daa2aefc2c078f8a7ae5,65af5a431502ba3ac8b61a52,2024-01-23_08h21.00.811,bars,2023.2.3,Win32,40,657b66ea316d21385b68909f,,,,,,,,,,,21.5471,22.5438,22.544,23.0458,23.046,23.2942,23.2944,89,89,44.3151,space,20.9771,,44.3153,53.0845,space,8.7179,,0,0,0,7,1,45,bars/single007.png,bars/mask009.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6110daa2aefc2c078f8a7ae5,65af5a431502ba3ac8b61a52,2024-01-23_08h21.00.811,bars,2023.2.3,Win32,40,657b66ea316d21385b68909f,,,,,,,,,,,53.1058,54.0913,54.0914,54.5916,54.5917,54.8421,54.8421,52,52,60.6122,space,5.7535,,60.6123,70.367,space,9.7274,,0,1,1,6,1,175,bars/single006.png,bars/mask005.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6110daa2aefc2c078f8a7ae5,65af5a431502ba3ac8b61a52,2024-01-23_08h21.00.811,bars,2023.2.3,Win32,40,657b66ea316d21385b68909f,,,,,,,,,,,70.3839,71.3837,71.3838,71.8831,71.8831,72.133,72.133,159,159,81.1382,space,8.9883,,81.1383,86.8847,space,5.7152,,0,2,2,2,1,145,bars/single002.png,bars/mask003.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6110daa2aefc2c078f8a7ae5,65af5a431502ba3ac8b61a52,2024-01-23_08h21.00.811,bars,2023.2.3,Win32,40,657b66ea316d21385b68909f,,,,,,,,,,,86.9005,87.9002,87.9002,88.4003,88.4004,88.6504,88.6504,162,162,92.5024,space,3.8404,,92.5025,98.8464,space,6.3171,,0,3,3,0,1,150,bars/single000.png,bars/mask006.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6110daa2aefc2c078f8a7ae5,65af5a431502ba3ac8b61a52,2024-01-23_08h21.00.811,bars,2023.2.3,Win32,40,657b66ea316d21385b68909f,,,,,,,,,,,98.8635,99.8545,99.8546,100.3547,100.3549,100.605,100.6051,131,131,106.6082,space,5.991,,106.6084,111.5617,space,4.9226,,0,4,4,5,1,55,bars/single005.png,bars/mask008.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6110daa2aefc2c078f8a7ae5,65af5a431502ba3ac8b61a52,2024-01-23_08h21.00.811,bars,2023.2.3,Win32,40,657b66ea316d21385b68909f,,,,,,,,,,,111.5775,112.5846,112.5846,113.0772,113.0772,113.3183,113.3184,54,54,118.8384,space,5.5035,,118.8386,122.9322,space,4.0559,,0,5,5,9,1,20,bars/single009.png,bars/mask006.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6110daa2aefc2c078f8a7ae5,65af5a431502ba3ac8b61a52,2024-01-23_08h21.00.811,bars,2023.2.3,Win32,40,657b66ea316d21385b68909f,,,,,,,,,,,122.9483,123.9488,123.9489,124.449,124.449,124.6826,124.6826,31,31,130.1361,space,5.4397,,130.1362,135.3409,space,5.1758,,0,6,6,8,1,160,bars/single008.png,bars/mask004.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
