init_variables.started,init_variables.stopped,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,instruction_exp.started,instruction_exp.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,instruction_single.started,instruction_single.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,interval.started,interval.stopped,cue_single.started,cue_single.stopped,mask.started,mask.stopped,ori_response_single.started,res_ori,res,ori_response_single.stopped,key_resp_single.keys,key_resp_single.rt,key_resp_single.duration,disp_single.started,disp_single.stopped,key_resp.keys,key_resp.rt,key_resp.duration,single.thisRepN,single.thisTrialN,single.thisN,single.thisIndex,single.ran,ori,path,mask_path,instruction_bandit.started,instruction_bandit.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,cue_bandit.started,cue_bandit.stopped,bandit_res.keys,bandit_res.rt,bandit_res.duration,outcome_bandit.started,rew,action,outcome_bandit.stopped,bandit.thisRepN,bandit.thisTrialN,bandit.thisN,bandit.thisIndex,bandit.ran,actual_rew1,actual_rew2,rew1,rew2,instruction_task.started,instruction_task.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,wait_ready.started,wait_ready.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,cue.started,cue.stopped,ori_response.started,ori_response.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,outcome.started,diff1,diff2,outcome.stopped,disp_outcome_practice.started,disp_outcome_practice.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ori1,ori2,break_blk.started,break_blk.stopped,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,block.ran,condition_file
0.0008,0.0012,614054695c372ace29c2e386,65af5568a4d6aa58b7daa6da,2024-01-23_08h52.18.510,bars,2023.2.3,Win32,63.69426752,657b66ea316d21385b68909f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,614054695c372ace29c2e386,65af5568a4d6aa58b7daa6da,2024-01-23_08h52.18.510,bars,2023.2.3,Win32,63.69426752,657b66ea316d21385b68909f,0.002,96.6251,y,96.5846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,614054695c372ace29c2e386,65af5568a4d6aa58b7daa6da,2024-01-23_08h52.18.510,bars,2023.2.3,Win32,63.69426752,657b66ea316d21385b68909f,,,,,,96.6256,119.4554,space,22.7907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,614054695c372ace29c2e386,65af5568a4d6aa58b7daa6da,2024-01-23_08h52.18.510,bars,2023.2.3,Win32,63.69426752,657b66ea316d21385b68909f,,,,,,,,,,,119.4723,120.4614,120.4627,120.9623,120.9628,121.2168,121.2173,36,36,141.7127,space,20.3607,,141.7132,163.6962,space,21.8985,,0,0,0,7,1,45,bars/single007.png,bars/mask009.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,614054695c372ace29c2e386,65af5568a4d6aa58b7daa6da,2024-01-23_08h52.18.510,bars,2023.2.3,Win32,63.69426752,657b66ea316d21385b68909f,,,,,,,,,,,163.7242,164.7005,164.7008,165.1915,165.1919,165.4337,165.4338,178,178,184.669,space,19.2161,,184.6691,196.5288,space,11.8159,,0,1,1,6,1,175,bars/single006.png,bars/mask005.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,614054695c372ace29c2e386,65af5568a4d6aa58b7daa6da,2024-01-23_08h52.18.510,bars,2023.2.3,Win32,63.69426752,657b66ea316d21385b68909f,,,,,,,,,,,196.5526,197.5402,197.5402,198.0322,198.0323,198.2727,198.2733,39,39,205.541,space,7.2508,,205.5411,211.8396,space,6.2526,,0,2,2,9,1,20,bars/single009.png,bars/mask006.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,614054695c372ace29c2e386,65af5568a4d6aa58b7daa6da,2024-01-23_08h52.18.510,bars,2023.2.3,Win32,63.69426752,657b66ea316d21385b68909f,,,,,,,,,,,211.8638,212.8478,212.8478,213.3389,213.3389,213.5805,213.5806,92,92,222.1756,space,8.5755,,222.1758,243.5072,space,21.2818,,0,3,3,5,1,55,bars/single005.png,bars/mask008.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,614054695c372ace29c2e386,65af5568a4d6aa58b7daa6da,2024-01-23_08h52.18.510,bars,2023.2.3,Win32,63.69426752,657b66ea316d21385b68909f,,,,,,,,,,,243.5369,244.5117,244.5118,245.0034,245.0039,245.2461,245.2463,119,119,255.0735,space,9.8078,,255.0735,264.2046,space,9.0786,,0,4,4,4,1,95,bars/single004.png,bars/mask004.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,614054695c372ace29c2e386,65af5568a4d6aa58b7daa6da,2024-01-23_08h52.18.510,bars,2023.2.3,Win32,63.69426752,657b66ea316d21385b68909f,,,,,,,,,,,264.2285,265.2191,265.2191,265.7111,265.7116,265.9612,265.9617,154,154,275.0403,space,9.0628,,275.0405,298.4715,space,23.3821,,0,5,5,0,1,150,bars/single000.png,bars/mask006.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,614054695c372ace29c2e386,65af5568a4d6aa58b7daa6da,2024-01-23_08h52.18.510,bars,2023.2.3,Win32,63.69426752,657b66ea316d21385b68909f,,,,,,,,,,,298.4987,299.4835,299.4838,299.9764,299.9765,300.2263,300.2264,140,140,306.5366,space,6.2909,,306.5367,313.8907,space,7.3084,,0,6,6,8,1,160,bars/single008.png,bars/mask004.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,614054695c372ace29c2e386,65af5568a4d6aa58b7daa6da,2024-01-23_08h52.18.510,bars,2023.2.3,Win32,63.69426752,657b66ea316d21385b68909f,,,,,,,,,,,313.9234,314.8997,314.9002,315.4026,315.4027,315.6501,315.6502,177,177,319.8851,space,4.2196,,319.8853,329.6108,space,9.6823,,0,7,7,2,1,145,bars/single002.png,bars/mask003.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
