init_variables.started,init_variables.stopped,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,instruction_exp.started,instruction_exp.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,instruction_single.started,instruction_single.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,interval.started,interval.stopped,cue_single.started,cue_single.stopped,mask.started,mask.stopped,ori_response_single.started,res_ori,res,ori_response_single.stopped,key_resp_single.keys,key_resp_single.rt,key_resp_single.duration,disp_single.started,disp_single.stopped,key_resp.keys,key_resp.rt,key_resp.duration,single.thisRepN,single.thisTrialN,single.thisN,single.thisIndex,single.ran,ori,path,mask_path,instruction_bandit.started,instruction_bandit.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,cue_bandit.started,cue_bandit.stopped,bandit_res.keys,bandit_res.rt,bandit_res.duration,outcome_bandit.started,rew,action,outcome_bandit.stopped,bandit.thisRepN,bandit.thisTrialN,bandit.thisN,bandit.thisIndex,bandit.ran,actual_rew1,actual_rew2,rew1,rew2,instruction_task.started,instruction_task.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,wait_ready.started,wait_ready.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,cue.started,cue.stopped,ori_response.started,ori_response.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,outcome.started,diff1,diff2,outcome.stopped,disp_outcome_practice.started,disp_outcome_practice.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ori1,ori2,break_blk.started,break_blk.stopped,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,block.ran,condition_file
0.001,0.0014,615a10906193d263fd02c670,65af560bac39215515c2535c,2024-01-23_08h58.02.093,bars,2023.2.3,Linux armv81,15.03759398,657b66ea316d21385b68909f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,615a10906193d263fd02c670,65af560bac39215515c2535c,2024-01-23_08h58.02.093,bars,2023.2.3,Linux armv81,15.03759398,657b66ea316d21385b68909f,0.0019,7.1095,y,7.0292,0.0039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,615a10906193d263fd02c670,65af560bac39215515c2535c,2024-01-23_08h58.02.093,bars,2023.2.3,Linux armv81,15.03759398,657b66ea316d21385b68909f,,,,,,7.11,8.8359,space,1.689,0.0027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,615a10906193d263fd02c670,65af560bac39215515c2535c,2024-01-23_08h58.02.093,bars,2023.2.3,Linux armv81,15.03759398,657b66ea316d21385b68909f,,,,,,,,,,,8.8668,9.8476,9.848,10.3469,10.3473,10.5977,10.5987,39,39,12.3626,space,1.6862,0.0019,12.3633,13.2635,space,0.8376,0.0012,0,0,0,4,1,95,bars/single004.png,bars/mask004.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,615a10906193d263fd02c670,65af560bac39215515c2535c,2024-01-23_08h58.02.093,bars,2023.2.3,Linux armv81,15.03759398,657b66ea316d21385b68909f,,,,,,,,,,,13.2656,14.2665,14.2676,14.7695,14.7697,15.0185,15.0185,118,118,15.3672,space,0.3298,0.0008,15.3673,15.7331,space,0.3466,0.0011,0,1,1,3,1,20,bars/single003.png,bars/mask005.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,615a10906193d263fd02c670,65af560bac39215515c2535c,2024-01-23_08h58.02.093,bars,2023.2.3,Linux armv81,15.03759398,657b66ea316d21385b68909f,,,,,,,,,,,15.7345,16.7307,16.7308,17.2298,17.2299,17.4812,17.4814,52,52,17.7966,space,0.3018,0.0013,17.7967,18.1439,space,0.3281,0.0009,0,2,2,1,1,20,bars/single001.png,bars/mask006.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,615a10906193d263fd02c670,65af560bac39215515c2535c,2024-01-23_08h58.02.093,bars,2023.2.3,Linux armv81,15.03759398,657b66ea316d21385b68909f,,,,,,,,,,,18.1448,19.1416,19.1417,19.6416,19.6417,19.8903,19.8905,40,40,20.0233,space,0.1151,0.0006,20.0234,20.3229,space,0.282,0.0009,0,3,3,2,1,145,bars/single002.png,bars/mask003.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,615a10906193d263fd02c670,65af560bac39215515c2535c,2024-01-23_08h58.02.093,bars,2023.2.3,Linux armv81,15.03759398,657b66ea316d21385b68909f,,,,,,,,,,,20.3244,21.3203,21.3203,21.8191,21.8192,22.0693,22.0693,19,19,22.0855,space,0.0027,0.0015,22.0857,22.3346,space,0.2295,0.0011,0,4,4,5,1,55,bars/single005.png,bars/mask008.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,615a10906193d263fd02c670,65af560bac39215515c2535c,2024-01-23_08h58.02.093,bars,2023.2.3,Linux armv81,15.03759398,657b66ea316d21385b68909f,,,,,,,,,,,22.3361,23.3325,23.3327,23.8316,23.8317,24.0809,24.081,94,94,24.3305,space,0.2326,0.0014,24.3312,24.6151,space,0.2648,0.0022,0,5,5,6,1,175,bars/single006.png,bars/mask005.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,615a10906193d263fd02c670,65af560bac39215515c2535c,2024-01-23_08h58.02.093,bars,2023.2.3,Linux armv81,15.03759398,657b66ea316d21385b68909f,,,,,,,,,,,24.6164,25.6098,25.6099,26.1096,26.1097,26.3585,26.3586,154,154,26.4424,space,0.0713,0.001,26.4425,26.6755,space,0.2163,0.0014,0,6,6,0,1,150,bars/single000.png,bars/mask006.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,615a10906193d263fd02c670,65af560bac39215515c2535c,2024-01-23_08h58.02.093,bars,2023.2.3,Linux armv81,15.03759398,657b66ea316d21385b68909f,,,,,,,,,,,26.6773,27.672,27.6722,28.1717,28.1719,28.4202,28.4204,59,59,28.5872,space,0.1467,0.001,28.5873,28.8216,space,0.2152,0.0012,0,7,7,8,1,160,bars/single008.png,bars/mask004.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,615a10906193d263fd02c670,65af560bac39215515c2535c,2024-01-23_08h58.02.093,bars,2023.2.3,Linux armv81,15.03759398,657b66ea316d21385b68909f,,,,,,,,,,,28.8231,29.8176,29.8178,30.3159,30.3161,30.5595,30.5596,118,118,30.6821,space,0.109,0.0005,30.6823,30.9278,space,0.2325,0.001,0,8,8,7,1,45,bars/single007.png,bars/mask009.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,615a10906193d263fd02c670,65af560bac39215515c2535c,2024-01-23_08h58.02.093,bars,2023.2.3,Linux armv81,15.03759398,657b66ea316d21385b68909f,,,,,,,,,,,30.9292,31.9399,31.9399,32.4327,32.4329,32.6777,32.6779,104,104,32.8609,space,0.155,0.0009,32.861,33.0932,space,0.2023,0.0011,0,9,9,9,1,20,bars/single009.png,bars/mask006.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,615a10906193d263fd02c670,65af560bac39215515c2535c,2024-01-23_08h58.02.093,bars,2023.2.3,Linux armv81,15.03759398,657b66ea316d21385b68909f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.096,33.3612,space,0.2281,0.0009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,615a10906193d263fd02c670,65af560bac39215515c2535c,2024-01-23_08h58.02.093,bars,2023.2.3,Linux armv81,15.03759398,657b66ea316d21385b68909f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.3725,40.3235,right,6.9053,0.0015,40.3241,2,2,41.3352,0,0,0,0,1,9,1,9,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,615a10906193d263fd02c670,65af560bac39215515c2535c,2024-01-23_08h58.02.093,bars,2023.2.3,Linux armv81,15.03759398,657b66ea316d21385b68909f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.338,41.4788,right,0.1297,0.0008,41.4789,1,2,42.4812,0,1,1,1,1,10,0,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,615a10906193d263fd02c670,65af560bac39215515c2535c,2024-01-23_08h58.02.093,bars,2023.2.3,Linux armv81,15.03759398,657b66ea316d21385b68909f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.4825,42.5709,right,0.0783,0.0005,42.571,2,2,43.5644,0,2,2,2,1,10,2,10,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,615a10906193d263fd02c670,65af560bac39215515c2535c,2024-01-23_08h58.02.093,bars,2023.2.3,Linux armv81,15.03759398,657b66ea316d21385b68909f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.5664,43.7824,right,0.2034,0.0007,43.7825,3,2,44.7824,0,3,3,3,1,8,4,7,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,615a10906193d263fd02c670,65af560bac39215515c2535c,2024-01-23_08h58.02.093,bars,2023.2.3,Linux armv81,15.03759398,657b66ea316d21385b68909f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.7837,45.0826,right,0.2845,0.0004,45.0831,1,2,46.0891,0,4,4,4,1,6,2,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
