init_variables.started,init_variables.stopped,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,instruction_exp.started,instruction_exp.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,instruction_single.started,instruction_single.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,interval.started,interval.stopped,cue_single.started,cue_single.stopped,mask.started,mask.stopped,ori_response_single.started,res_ori,res,ori_response_single.stopped,key_resp_single.keys,key_resp_single.rt,key_resp_single.duration,disp_single.started,disp_single.stopped,key_resp.keys,key_resp.rt,key_resp.duration,single.thisRepN,single.thisTrialN,single.thisN,single.thisIndex,single.ran,ori,path,mask_path,instruction_bandit.started,instruction_bandit.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,cue_bandit.started,cue_bandit.stopped,bandit_res.keys,bandit_res.rt,bandit_res.duration,outcome_bandit.started,rew,action,outcome_bandit.stopped,bandit.thisRepN,bandit.thisTrialN,bandit.thisN,bandit.thisIndex,bandit.ran,actual_rew1,actual_rew2,rew1,rew2,instruction_task.started,instruction_task.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,wait_ready.started,wait_ready.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,cue.started,cue.stopped,ori_response.started,ori_response.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,outcome.started,diff1,diff2,outcome.stopped,disp_outcome_practice.started,disp_outcome_practice.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ori1,ori2,break_blk.started,break_blk.stopped,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,block.ran,condition_file
0.0007,0.0011,60a252f3da4306c3c3de2889,65af5579f3ebe8cc90bc71b7,2024-01-23_08h59.11.962,bars,2023.2.3,Win32,60.24096386,657b66ea316d21385b68909f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,60a252f3da4306c3c3de2889,65af5579f3ebe8cc90bc71b7,2024-01-23_08h59.11.962,bars,2023.2.3,Win32,60.24096386,657b66ea316d21385b68909f,0.0016,5.8891,y,5.8503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,60a252f3da4306c3c3de2889,65af5579f3ebe8cc90bc71b7,2024-01-23_08h59.11.962,bars,2023.2.3,Win32,60.24096386,657b66ea316d21385b68909f,,,,,,5.8896,23.3019,space,17.3847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,60a252f3da4306c3c3de2889,65af5579f3ebe8cc90bc71b7,2024-01-23_08h59.11.962,bars,2023.2.3,Win32,60.24096386,657b66ea316d21385b68909f,,,,,,,,,,,23.3153,24.3138,24.3142,24.8142,24.8146,25.0638,25.0641,135,135,31.3293,space,6.1966,,31.3297,38.6257,space,7.2677,,0,0,0,2,1,145,bars/single002.png,bars/mask003.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,60a252f3da4306c3c3de2889,65af5579f3ebe8cc90bc71b7,2024-01-23_08h59.11.962,bars,2023.2.3,Win32,60.24096386,657b66ea316d21385b68909f,,,,,,,,,,,38.654,39.6397,39.6397,40.1396,40.1396,40.3898,40.3898,45,45,43.9219,space,3.5139,,43.922,47.1702,space,3.2013,,0,1,1,3,1,20,bars/single003.png,bars/mask005.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,60a252f3da4306c3c3de2889,65af5579f3ebe8cc90bc71b7,2024-01-23_08h59.11.962,bars,2023.2.3,Win32,60.24096386,657b66ea316d21385b68909f,,,,,,,,,,,47.1709,48.1693,48.1693,48.6696,48.6697,48.9192,48.9192,45,45,51.1185,space,2.1831,,51.1185,52.734,space,1.6017,,0,2,2,9,1,20,bars/single009.png,bars/mask006.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,60a252f3da4306c3c3de2889,65af5579f3ebe8cc90bc71b7,2024-01-23_08h59.11.962,bars,2023.2.3,Win32,60.24096386,657b66ea316d21385b68909f,,,,,,,,,,,52.7344,53.7336,53.7336,54.2333,54.2333,54.4834,54.4834,170,-10,57.2157,space,2.7145,,57.2157,60.0311,space,2.7992,,0,3,3,0,1,150,bars/single000.png,bars/mask006.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,60a252f3da4306c3c3de2889,65af5579f3ebe8cc90bc71b7,2024-01-23_08h59.11.962,bars,2023.2.3,Win32,60.24096386,657b66ea316d21385b68909f,,,,,,,,,,,60.0577,61.0476,61.0477,61.5474,61.5476,61.7968,61.7969,11,11,66.4788,space,4.6654,,66.4789,67.7773,space,1.2513,,0,4,4,1,1,20,bars/single001.png,bars/mask006.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,60a252f3da4306c3c3de2889,65af5579f3ebe8cc90bc71b7,2024-01-23_08h59.11.962,bars,2023.2.3,Win32,60.24096386,657b66ea316d21385b68909f,,,,,,,,,,,67.7777,68.7769,68.7769,69.2766,69.2766,69.5265,69.5266,87,87,73.7913,space,4.2486,,73.7914,74.841,space,1.0146,,0,5,5,4,1,95,bars/single004.png,bars/mask004.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,60a252f3da4306c3c3de2889,65af5579f3ebe8cc90bc71b7,2024-01-23_08h59.11.962,bars,2023.2.3,Win32,60.24096386,657b66ea316d21385b68909f,,,,,,,,,,,74.8415,75.8403,75.8404,76.3402,76.3403,76.59,76.5901,25,25,80.4384,space,3.8373,,80.4384,81.1379,space,0.6684,,0,6,6,7,1,45,bars/single007.png,bars/mask009.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
