init_variables.started,init_variables.stopped,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,instruction_exp.started,instruction_exp.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,instruction_single.started,instruction_single.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,interval.started,interval.stopped,cue_single.started,cue_single.stopped,mask.started,mask.stopped,ori_response_single.started,res_ori,res,ori_response_single.stopped,key_resp_single.keys,key_resp_single.rt,key_resp_single.duration,disp_single.started,disp_single.stopped,key_resp.keys,key_resp.rt,key_resp.duration,single.thisRepN,single.thisTrialN,single.thisN,single.thisIndex,single.ran,ori,path,mask_path,instruction_bandit.started,instruction_bandit.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,cue_bandit.started,cue_bandit.stopped,bandit_res.keys,bandit_res.rt,bandit_res.duration,outcome_bandit.started,rew,action,outcome_bandit.stopped,bandit.thisRepN,bandit.thisTrialN,bandit.thisN,bandit.thisIndex,bandit.ran,actual_rew1,actual_rew2,rew1,rew2,instruction_task.started,instruction_task.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,wait_ready.started,wait_ready.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,cue.started,cue.stopped,ori_response.started,ori_response.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,outcome.started,diff1,diff2,outcome.stopped,disp_outcome_practice.started,disp_outcome_practice.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ori1,ori2,break_blk.started,break_blk.stopped,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,block.ran,condition_file
0.0004,0.0006,611cf8583b09a943818421ca,65af5501ebaa6ae4e2c7563f,2024-01-23_09h01.57.974,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,611cf8583b09a943818421ca,65af5501ebaa6ae4e2c7563f,2024-01-23_09h01.57.974,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,0.0008,2.4101,y,2.3967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,611cf8583b09a943818421ca,65af5501ebaa6ae4e2c7563f,2024-01-23_09h01.57.974,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,,,,,,2.4106,15.0295,space,12.6091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,611cf8583b09a943818421ca,65af5501ebaa6ae4e2c7563f,2024-01-23_09h01.57.974,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,15.034,16.0261,16.0263,16.5278,16.528,16.7782,16.7783,45,45,26.4783,space,9.6752,,26.4783,34.9445,space,8.4468,,0,0,0,1,1,20,bars/single001.png,bars/mask006.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,611cf8583b09a943818421ca,65af5501ebaa6ae4e2c7563f,2024-01-23_09h01.57.974,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,34.9533,35.9429,35.943,36.4404,36.4405,36.6932,36.6932,170,-10,39.3101,space,2.6008,,39.3101,41.4274,space,2.101,,0,1,1,0,1,150,bars/single000.png,bars/mask006.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,611cf8583b09a943818421ca,65af5501ebaa6ae4e2c7563f,2024-01-23_09h01.57.974,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,41.4279,42.4254,42.4254,42.9261,42.9262,43.1736,43.1738,140,140,45.8262,space,2.6337,,45.8263,48.126,space,2.2837,,0,2,2,8,1,160,bars/single008.png,bars/mask004.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,611cf8583b09a943818421ca,65af5501ebaa6ae4e2c7563f,2024-01-23_09h01.57.974,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,48.1264,49.1228,49.1229,49.6257,49.6257,49.8749,49.875,134,-46,53.359,space,3.4669,,53.359,54.4585,space,1.0825,,0,3,3,2,1,145,bars/single002.png,bars/mask003.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,611cf8583b09a943818421ca,65af5501ebaa6ae4e2c7563f,2024-01-23_09h01.57.974,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,54.4588,55.4557,55.4559,55.9579,55.9579,56.2056,56.2057,56,56,61.0582,space,4.8339,,61.0582,61.8945,space,0.8177,,0,4,4,7,1,45,bars/single007.png,bars/mask009.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,611cf8583b09a943818421ca,65af5501ebaa6ae4e2c7563f,2024-01-23_09h01.57.974,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,61.895,62.8893,62.8893,63.3915,63.3915,63.6412,63.6413,14,14,67.5249,space,3.8678,,67.525,69.4077,space,1.8669,,0,5,5,9,1,20,bars/single009.png,bars/mask006.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,611cf8583b09a943818421ca,65af5501ebaa6ae4e2c7563f,2024-01-23_09h01.57.974,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,69.408,70.4044,70.4045,70.9045,70.9046,71.1547,71.1548,30,210,73.8573,space,2.6836,,73.8573,74.6241,space,0.7505,,0,6,6,3,1,20,bars/single003.png,bars/mask005.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,611cf8583b09a943818421ca,65af5501ebaa6ae4e2c7563f,2024-01-23_09h01.57.974,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,74.6243,75.6235,75.6235,76.121,76.1211,76.3707,76.3709,89,89,80.374,space,3.9996,,80.374,82.1374,space,1.7444,,0,7,7,4,1,95,bars/single004.png,bars/mask004.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,611cf8583b09a943818421ca,65af5501ebaa6ae4e2c7563f,2024-01-23_09h01.57.974,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,82.1382,83.1385,83.1385,83.6367,83.6368,83.8866,83.8867,0,0,86.2231,space,2.3172,,86.2231,87.4535,space,1.2016,,0,8,8,6,1,175,bars/single006.png,bars/mask005.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,611cf8583b09a943818421ca,65af5501ebaa6ae4e2c7563f,2024-01-23_09h01.57.974,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,87.4544,88.4533,88.4534,88.9555,88.9555,89.2035,89.2037,73,73,90.7199,space,1.4926,,90.7201,91.5536,space,0.8099,,0,9,9,5,1,55,bars/single005.png,bars/mask008.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
