init_variables.started,init_variables.stopped,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,instruction_exp.started,instruction_exp.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,instruction_single.started,instruction_single.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,interval.started,interval.stopped,cue_single.started,cue_single.stopped,mask.started,mask.stopped,ori_response_single.started,res_ori,res,ori_response_single.stopped,key_resp_single.keys,key_resp_single.rt,key_resp_single.duration,disp_single.started,disp_single.stopped,key_resp.keys,key_resp.rt,key_resp.duration,single.thisRepN,single.thisTrialN,single.thisN,single.thisIndex,single.ran,ori,path,mask_path,instruction_bandit.started,instruction_bandit.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,cue_bandit.started,cue_bandit.stopped,bandit_res.keys,bandit_res.rt,bandit_res.duration,outcome_bandit.started,rew,action,outcome_bandit.stopped,bandit.thisRepN,bandit.thisTrialN,bandit.thisN,bandit.thisIndex,bandit.ran,actual_rew1,actual_rew2,rew1,rew2,instruction_task.started,instruction_task.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,wait_ready.started,wait_ready.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,cue.started,cue.stopped,ori_response.started,ori_response.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,outcome.started,diff1,diff2,outcome.stopped,disp_outcome_practice.started,disp_outcome_practice.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ori1,ori2,break_blk.started,break_blk.stopped,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,block.ran,condition_file
0.0004,0.0007,61066ca9d595665c412acb71,65af54814aa07d90bbee3cb3,2024-01-23_09h02.13.358,bars,2023.2.3,Win32,6.00024001,657b66ea316d21385b68909f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,61066ca9d595665c412acb71,65af54814aa07d90bbee3cb3,2024-01-23_09h02.13.358,bars,2023.2.3,Win32,6.00024001,657b66ea316d21385b68909f,0.0009,6.2831,y,6.0533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,61066ca9d595665c412acb71,65af54814aa07d90bbee3cb3,2024-01-23_09h02.13.358,bars,2023.2.3,Win32,6.00024001,657b66ea316d21385b68909f,,,,,,6.2833,18.5533,space,12.0872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,61066ca9d595665c412acb71,65af54814aa07d90bbee3cb3,2024-01-23_09h02.13.358,bars,2023.2.3,Win32,6.00024001,657b66ea316d21385b68909f,,,,,,,,,,,18.559,19.4439,19.4441,19.8504,19.8506,20.0438,20.044,168,168,27.1525,space,6.9339,,27.1526,38.363,space,11.0011,,0,0,0,3,1,20,bars/single003.png,bars/mask005.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,61066ca9d595665c412acb71,65af54814aa07d90bbee3cb3,2024-01-23_09h02.13.358,bars,2023.2.3,Win32,6.00024001,657b66ea316d21385b68909f,,,,,,,,,,,38.3813,39.4018,39.4019,39.9527,39.9528,40.1401,40.1402,161,161,61.0364,space,20.72,,61.0365,66.2789,space,5.0347,,0,1,1,7,1,45,bars/single007.png,bars/mask009.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,61066ca9d595665c412acb71,65af54814aa07d90bbee3cb3,2024-01-23_09h02.13.358,bars,2023.2.3,Win32,6.00024001,657b66ea316d21385b68909f,,,,,,,,,,,66.2963,67.1671,67.1672,67.5422,67.5423,67.7393,67.7393,169,169,73.2397,space,5.3351,,73.2398,75.2838,space,1.8488,,0,2,2,2,1,145,bars/single002.png,bars/mask003.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,61066ca9d595665c412acb71,65af54814aa07d90bbee3cb3,2024-01-23_09h02.13.358,bars,2023.2.3,Win32,6.00024001,657b66ea316d21385b68909f,,,,,,,,,,,75.2842,76.345,76.345,76.8675,76.8676,77.0425,77.0426,19,19,96.7329,space,19.525,,96.733,99.05,space,2.1025,,0,3,3,9,1,20,bars/single009.png,bars/mask006.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,61066ca9d595665c412acb71,65af54814aa07d90bbee3cb3,2024-01-23_09h02.13.358,bars,2023.2.3,Win32,6.00024001,657b66ea316d21385b68909f,,,,,,,,,,,99.0506,99.9401,99.9402,100.3071,100.3071,100.4803,100.4804,19,19,112.5379,space,11.8924,,112.5379,114.8193,space,2.0882,,0,4,4,1,1,20,bars/single001.png,bars/mask006.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,61066ca9d595665c412acb71,65af54814aa07d90bbee3cb3,2024-01-23_09h02.13.358,bars,2023.2.3,Win32,6.00024001,657b66ea316d21385b68909f,,,,,,,,,,,114.8198,115.6973,115.6973,116.0889,116.089,116.2733,116.2734,25,25,124.3333,space,7.8937,,124.3333,126.3597,space,1.8362,,0,5,5,8,1,160,bars/single008.png,bars/mask004.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,61066ca9d595665c412acb71,65af54814aa07d90bbee3cb3,2024-01-23_09h02.13.358,bars,2023.2.3,Win32,6.00024001,657b66ea316d21385b68909f,,,,,,,,,,,126.3602,127.3673,127.3673,127.7735,127.7736,127.9738,127.9738,12,192,141.6413,space,13.5026,,141.6414,143.9478,space,2.0942,0.0003,0,6,6,6,1,175,bars/single006.png,bars/mask005.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
