init_variables.started,init_variables.stopped,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,instruction_exp.started,instruction_exp.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,instruction_single.started,instruction_single.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,interval.started,interval.stopped,cue_single.started,cue_single.stopped,mask.started,mask.stopped,ori_response_single.started,res_ori,res,ori_response_single.stopped,key_resp_single.keys,key_resp_single.rt,key_resp_single.duration,disp_single.started,disp_single.stopped,key_resp.keys,key_resp.rt,key_resp.duration,single.thisRepN,single.thisTrialN,single.thisN,single.thisIndex,single.ran,ori,path,mask_path,instruction_bandit.started,instruction_bandit.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,cue_bandit.started,cue_bandit.stopped,bandit_res.keys,bandit_res.rt,bandit_res.duration,outcome_bandit.started,rew,action,outcome_bandit.stopped,bandit.thisRepN,bandit.thisTrialN,bandit.thisN,bandit.thisIndex,bandit.ran,actual_rew1,actual_rew2,rew1,rew2,instruction_task.started,instruction_task.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,wait_ready.started,wait_ready.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,cue.started,cue.stopped,ori_response.started,ori_response.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,outcome.started,diff1,diff2,outcome.stopped,disp_outcome_practice.started,disp_outcome_practice.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ori1,ori2,break_blk.started,break_blk.stopped,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,block.ran,condition_file
0.0004,0.0005,65745708518a6ec1b4773387,65af701bca620457d06d5c8f,2024-01-23_09h04.02.399,bars,2023.2.3,Win32,20.57613169,657b66ea316d21385b68909f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,65745708518a6ec1b4773387,65af701bca620457d06d5c8f,2024-01-23_09h04.02.399,bars,2023.2.3,Win32,20.57613169,657b66ea316d21385b68909f,0.0005,2.4574,y,2.3991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,65745708518a6ec1b4773387,65af701bca620457d06d5c8f,2024-01-23_09h04.02.399,bars,2023.2.3,Win32,20.57613169,657b66ea316d21385b68909f,,,,,,2.4574,15.4648,space,12.9428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,65745708518a6ec1b4773387,65af701bca620457d06d5c8f,2024-01-23_09h04.02.399,bars,2023.2.3,Win32,20.57613169,657b66ea316d21385b68909f,,,,,,,,,,,15.4672,16.4729,16.4729,16.9321,16.9321,17.1819,17.182,172,172,20.2321,space,2.9827,,20.2322,402.2498,space,381.9597,,0,0,0,6,1,175,bars/single006.png,bars/mask005.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,65745708518a6ec1b4773387,65af701bca620457d06d5c8f,2024-01-23_09h04.02.399,bars,2023.2.3,Win32,20.57613169,657b66ea316d21385b68909f,,,,,,,,,,,402.2543,403.2398,403.2398,403.7127,403.7127,403.9543,403.9543,76,76,405.6926,space,1.6753,,405.6927,408.408,space,2.6587,,0,1,1,5,1,55,bars/single005.png,bars/mask008.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,65745708518a6ec1b4773387,65af701bca620457d06d5c8f,2024-01-23_09h04.02.399,bars,2023.2.3,Win32,20.57613169,657b66ea316d21385b68909f,,,,,,,,,,,408.4082,409.3991,409.3991,409.9084,409.9084,410.1644,410.1644,103,103,414.6048,space,4.3725,,414.6049,506.1033,space,91.4392,,0,2,2,4,1,95,bars/single004.png,bars/mask004.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,65745708518a6ec1b4773387,65af701bca620457d06d5c8f,2024-01-23_09h04.02.399,bars,2023.2.3,Win32,20.57613169,657b66ea316d21385b68909f,,,,,,,,,,,506.1086,507.0841,507.0842,507.5657,507.5658,507.8256,507.8256,14,14,512.5651,space,4.6745,,512.5651,513.9238,space,1.2983,,0,3,3,9,1,20,bars/single009.png,bars/mask006.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,65745708518a6ec1b4773387,65af701bca620457d06d5c8f,2024-01-23_09h04.02.399,bars,2023.2.3,Win32,20.57613169,657b66ea316d21385b68909f,,,,,,,,,,,513.9241,514.9345,514.9345,515.4623,515.4623,515.6681,515.6682,168,168,517.127,space,1.3889,,517.127,519.2149,space,2.0193,,0,4,4,8,1,160,bars/single008.png,bars/mask004.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,65745708518a6ec1b4773387,65af701bca620457d06d5c8f,2024-01-23_09h04.02.399,bars,2023.2.3,Win32,20.57613169,657b66ea316d21385b68909f,,,,,,,,,,,519.2151,520.2253,520.2253,520.7346,520.7346,520.9866,520.9868,16,196,525.2217,space,4.1736,,525.2218,526.3189,space,1.0284,,0,5,5,3,1,20,bars/single003.png,bars/mask005.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,65745708518a6ec1b4773387,65af701bca620457d06d5c8f,2024-01-23_09h04.02.399,bars,2023.2.3,Win32,20.57613169,657b66ea316d21385b68909f,,,,,,,,,,,526.3191,527.3195,527.3195,527.7741,527.7742,527.9756,527.9756,35,35,529.3601,space,1.3135,,529.3601,531.5427,space,2.1198,,0,6,6,7,1,45,bars/single007.png,bars/mask009.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
