init_variables.started,init_variables.stopped,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,instruction_exp.started,instruction_exp.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,instruction_single.started,instruction_single.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,interval.started,interval.stopped,cue_single.started,cue_single.stopped,mask.started,mask.stopped,ori_response_single.started,res_ori,res,ori_response_single.stopped,key_resp_single.keys,key_resp_single.rt,key_resp_single.duration,disp_single.started,disp_single.stopped,key_resp.keys,key_resp.rt,key_resp.duration,single.thisRepN,single.thisTrialN,single.thisN,single.thisIndex,single.ran,ori,path,mask_path,instruction_bandit.started,instruction_bandit.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,cue_bandit.started,cue_bandit.stopped,bandit_res.keys,bandit_res.rt,bandit_res.duration,outcome_bandit.started,rew,action,outcome_bandit.stopped,bandit.thisRepN,bandit.thisTrialN,bandit.thisN,bandit.thisIndex,bandit.ran,actual_rew1,actual_rew2,rew1,rew2,instruction_task.started,instruction_task.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,wait_ready.started,wait_ready.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,cue.started,cue.stopped,ori_response.started,ori_response.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,outcome.started,diff1,diff2,outcome.stopped,disp_outcome_practice.started,disp_outcome_practice.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ori1,ori2,break_blk.started,break_blk.stopped,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,block.ran,condition_file
0.0005,0.0006,651d639df30c0b3a9244cdcc,65af559473eaa355c997c249,2024-01-23_09h37.03.002,bars,2023.2.3,Win32,59.52380952,657b66ea316d21385b68909f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,651d639df30c0b3a9244cdcc,65af559473eaa355c997c249,2024-01-23_09h37.03.002,bars,2023.2.3,Win32,59.52380952,657b66ea316d21385b68909f,0.0007,6.2207,y,6.1939,0.0004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,651d639df30c0b3a9244cdcc,65af559473eaa355c997c249,2024-01-23_09h37.03.002,bars,2023.2.3,Win32,59.52380952,657b66ea316d21385b68909f,,,,,,6.221,8.8534,space,2.6223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,651d639df30c0b3a9244cdcc,65af559473eaa355c997c249,2024-01-23_09h37.03.002,bars,2023.2.3,Win32,59.52380952,657b66ea316d21385b68909f,,,,,,,,,,,8.8593,9.8539,9.8542,10.3537,10.3539,10.604,10.6043,23,23,14.0719,space,3.4473,,14.0722,15.9725,space,1.8776,,0,0,0,9,1,20,bars/single009.png,bars/mask006.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,651d639df30c0b3a9244cdcc,65af559473eaa355c997c249,2024-01-23_09h37.03.002,bars,2023.2.3,Win32,59.52380952,657b66ea316d21385b68909f,,,,,,,,,,,15.9739,16.9699,16.97,17.4717,17.4717,17.7196,17.7198,98,98,18.5699,space,0.8363,,18.5699,19.2035,space,0.6158,,0,1,1,5,1,55,bars/single005.png,bars/mask008.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,651d639df30c0b3a9244cdcc,65af559473eaa355c997c249,2024-01-23_09h37.03.002,bars,2023.2.3,Win32,59.52380952,657b66ea316d21385b68909f,,,,,,,,,,,19.2045,20.203,20.203,20.7031,20.7031,20.9533,20.9533,159,159,24.554,space,3.5831,,24.5542,25.52,space,0.9444,,0,2,2,8,1,160,bars/single008.png,bars/mask004.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,651d639df30c0b3a9244cdcc,65af559473eaa355c997c249,2024-01-23_09h37.03.002,bars,2023.2.3,Win32,59.52380952,657b66ea316d21385b68909f,,,,,,,,,,,25.5211,26.5194,26.5194,27.0194,27.0195,27.2694,27.2694,60,60,29.9192,space,2.6436,,29.9192,31.0376,space,1.0927,,0,3,3,3,1,20,bars/single003.png,bars/mask005.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,651d639df30c0b3a9244cdcc,65af559473eaa355c997c249,2024-01-23_09h37.03.002,bars,2023.2.3,Win32,59.52380952,657b66ea316d21385b68909f,,,,,,,,,,,31.0381,32.0358,32.0358,32.5372,32.5373,32.7863,32.7863,19,19,34.586,space,1.7843,,34.5861,35.7029,space,1.1083,,0,4,4,7,1,45,bars/single007.png,bars/mask009.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,651d639df30c0b3a9244cdcc,65af559473eaa355c997c249,2024-01-23_09h37.03.002,bars,2023.2.3,Win32,59.52380952,657b66ea316d21385b68909f,,,,,,,,,,,35.7042,36.7025,36.7025,37.2039,37.204,37.4527,37.4528,163,163,39.9863,space,2.5179,,39.9867,40.8192,space,0.8155,,0,5,5,6,1,175,bars/single006.png,bars/mask005.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,651d639df30c0b3a9244cdcc,65af559473eaa355c997c249,2024-01-23_09h37.03.002,bars,2023.2.3,Win32,59.52380952,657b66ea316d21385b68909f,,,,,,,,,,,40.82,41.8191,41.8191,42.3205,42.3205,42.5701,42.5702,165,165,47.5193,space,4.9354,,47.5195,48.5023,space,0.9586,,0,6,6,0,1,150,bars/single000.png,bars/mask006.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
