init_variables.started,init_variables.stopped,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,instruction_exp.started,instruction_exp.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,instruction_single.started,instruction_single.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,interval.started,interval.stopped,cue_single.started,cue_single.stopped,mask.started,mask.stopped,ori_response_single.started,res_ori,res,ori_response_single.stopped,key_resp_single.keys,key_resp_single.rt,key_resp_single.duration,disp_single.started,disp_single.stopped,key_resp.keys,key_resp.rt,key_resp.duration,single.thisRepN,single.thisTrialN,single.thisN,single.thisIndex,single.ran,ori,path,mask_path,instruction_bandit.started,instruction_bandit.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,cue_bandit.started,cue_bandit.stopped,bandit_res.keys,bandit_res.rt,bandit_res.duration,outcome_bandit.started,rew,action,outcome_bandit.stopped,bandit.thisRepN,bandit.thisTrialN,bandit.thisN,bandit.thisIndex,bandit.ran,actual_rew1,actual_rew2,rew1,rew2,instruction_task.started,instruction_task.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,wait_ready.started,wait_ready.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,cue.started,cue.stopped,ori_response.started,ori_response.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,outcome.started,diff1,diff2,outcome.stopped,disp_outcome_practice.started,disp_outcome_practice.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ori1,ori2,break_blk.started,break_blk.stopped,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,block.ran,condition_file
0.0004,0.0006,60f801efc0846c47e4e755e6,65af758691bb652b9495bfb3,2024-01-23_10h17.05.413,bars,2023.2.3,Win32,60.24096386,657b66ea316d21385b68909f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,60f801efc0846c47e4e755e6,65af758691bb652b9495bfb3,2024-01-23_10h17.05.413,bars,2023.2.3,Win32,60.24096386,657b66ea316d21385b68909f,0.001,313.3194,y,313.3001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,60f801efc0846c47e4e755e6,65af758691bb652b9495bfb3,2024-01-23_10h17.05.413,bars,2023.2.3,Win32,60.24096386,657b66ea316d21385b68909f,,,,,,313.3195,318.3586,space,5.0298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,60f801efc0846c47e4e755e6,65af758691bb652b9495bfb3,2024-01-23_10h17.05.413,bars,2023.2.3,Win32,60.24096386,657b66ea316d21385b68909f,,,,,,,,,,,318.3735,319.3748,319.375,319.8721,319.8723,320.125,320.1253,163,-17,325.3451,space,5.1932,,325.3452,328.6795,space,3.313,,0,0,0,8,1,160,bars/single008.png,bars/mask004.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,60f801efc0846c47e4e755e6,65af758691bb652b9495bfb3,2024-01-23_10h17.05.413,bars,2023.2.3,Win32,60.24096386,657b66ea316d21385b68909f,,,,,,,,,,,328.6887,329.696,329.6961,330.18,330.18,330.4299,330.4299,179,-1,332.9315,space,2.4854,,332.9315,334.3989,space,1.4512,,0,1,1,6,1,175,bars/single006.png,bars/mask005.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,60f801efc0846c47e4e755e6,65af758691bb652b9495bfb3,2024-01-23_10h17.05.413,bars,2023.2.3,Win32,60.24096386,657b66ea316d21385b68909f,,,,,,,,,,,334.3993,335.3984,335.3985,335.8961,335.8963,336.1488,336.1488,27,207,339.4514,space,3.2856,,339.4514,340.8849,space,1.4174,,0,2,2,9,1,20,bars/single009.png,bars/mask006.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,60f801efc0846c47e4e755e6,65af758691bb652b9495bfb3,2024-01-23_10h17.05.413,bars,2023.2.3,Win32,60.24096386,657b66ea316d21385b68909f,,,,,,,,,,,340.8852,341.8852,341.8852,342.3834,342.3834,342.6319,342.6321,4,4,346.471,space,3.819,,346.4711,348.1878,space,1.6995,,0,3,3,1,1,20,bars/single001.png,bars/mask006.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,60f801efc0846c47e4e755e6,65af758691bb652b9495bfb3,2024-01-23_10h17.05.413,bars,2023.2.3,Win32,60.24096386,657b66ea316d21385b68909f,,,,,,,,,,,348.188,349.1845,349.1846,349.6851,349.6852,349.9345,349.9347,137,137,352.9041,space,2.9486,,352.9041,355.3083,space,2.3854,,0,4,4,2,1,145,bars/single002.png,bars/mask003.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,60f801efc0846c47e4e755e6,65af758691bb652b9495bfb3,2024-01-23_10h17.05.413,bars,2023.2.3,Win32,60.24096386,657b66ea316d21385b68909f,,,,,,,,,,,355.3086,356.3079,356.308,356.8047,356.805,357.0581,357.0582,159,159,360.4772,space,3.4023,,360.4772,361.111,space,0.6176,,0,5,5,0,1,150,bars/single000.png,bars/mask006.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,60f801efc0846c47e4e755e6,65af758691bb652b9495bfb3,2024-01-23_10h17.05.413,bars,2023.2.3,Win32,60.24096386,657b66ea316d21385b68909f,,,,,,,,,,,361.1114,362.1074,362.1075,362.607,362.6071,362.8612,362.8612,89,89,365.2629,space,2.3853,,365.2629,365.8921,space,0.605,,0,6,6,4,1,95,bars/single004.png,bars/mask004.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
