init_variables.started,init_variables.stopped,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,instruction_exp.started,instruction_exp.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,instruction_single.started,instruction_single.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,interval.started,interval.stopped,cue_single.started,cue_single.stopped,mask.started,mask.stopped,ori_response_single.started,res_ori,res,ori_response_single.stopped,key_resp_single.keys,key_resp_single.rt,key_resp_single.duration,disp_single.started,disp_single.stopped,key_resp.keys,key_resp.rt,key_resp.duration,single.thisRepN,single.thisTrialN,single.thisN,single.thisIndex,single.ran,ori,path,mask_path,instruction_bandit.started,instruction_bandit.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,cue_bandit.started,cue_bandit.stopped,bandit_res.keys,bandit_res.rt,bandit_res.duration,outcome_bandit.started,rew,action,outcome_bandit.stopped,bandit.thisRepN,bandit.thisTrialN,bandit.thisN,bandit.thisIndex,bandit.ran,actual_rew1,actual_rew2,rew1,rew2,instruction_task.started,instruction_task.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,wait_ready.started,wait_ready.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,cue.started,cue.stopped,ori_response.started,ori_response.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,outcome.started,diff1,diff2,outcome.stopped,disp_outcome_practice.started,disp_outcome_practice.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ori1,ori2,break_blk.started,break_blk.stopped,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,block.ran,condition_file
0.0003,0.0004,6545ffdbc2a670fa09573950,65af5643dc8991f4776b9f1a,2024-01-23_16h03.18.992,bars,2023.2.3,MacIntel,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6545ffdbc2a670fa09573950,65af5643dc8991f4776b9f1a,2024-01-23_16h03.18.992,bars,2023.2.3,MacIntel,59.88023952,657b66ea316d21385b68909f,0.0005,5.7995,y,5.7897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6545ffdbc2a670fa09573950,65af5643dc8991f4776b9f1a,2024-01-23_16h03.18.992,bars,2023.2.3,MacIntel,59.88023952,657b66ea316d21385b68909f,,,,,,5.7997,33.0315,space,27.2088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6545ffdbc2a670fa09573950,65af5643dc8991f4776b9f1a,2024-01-23_16h03.18.992,bars,2023.2.3,MacIntel,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,33.035,34.0277,34.0277,34.5276,34.5277,34.7782,34.7783,102,102,38.764,space,3.9603,,38.7642,46.3547,space,7.538,,0,0,0,5,1,55,bars/single005.png,bars/mask008.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6545ffdbc2a670fa09573950,65af5643dc8991f4776b9f1a,2024-01-23_16h03.18.992,bars,2023.2.3,MacIntel,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,46.363,47.3614,47.3615,47.8647,47.8647,48.1117,48.1117,100,100,55.6272,space,7.5044,,55.6272,61.412,space,5.7619,,0,1,1,9,1,20,bars/single009.png,bars/mask006.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6545ffdbc2a670fa09573950,65af5643dc8991f4776b9f1a,2024-01-23_16h03.18.992,bars,2023.2.3,MacIntel,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,61.4195,62.4117,62.4118,62.9116,62.9116,63.1606,63.1606,4,4,70.0608,space,6.8891,,70.0608,76.23,space,6.1449,,0,2,2,4,1,95,bars/single004.png,bars/mask004.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6545ffdbc2a670fa09573950,65af5643dc8991f4776b9f1a,2024-01-23_16h03.18.992,bars,2023.2.3,MacIntel,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,76.2376,77.23,77.2301,77.7276,77.7277,77.978,77.978,39,39,125.662,space,47.6699,,125.662,130.8455,space,5.1641,,0,3,3,1,1,20,bars/single001.png,bars/mask006.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6545ffdbc2a670fa09573950,65af5643dc8991f4776b9f1a,2024-01-23_16h03.18.992,bars,2023.2.3,MacIntel,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,130.8532,131.8464,131.8464,132.3453,132.3453,132.594,132.594,8,188,139.6941,space,7.0941,,139.6941,155.9447,space,16.2314,,0,4,4,3,1,20,bars/single003.png,bars/mask005.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6545ffdbc2a670fa09573950,65af5643dc8991f4776b9f1a,2024-01-23_16h03.18.992,bars,2023.2.3,MacIntel,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,155.9527,156.944,156.944,157.4475,157.4475,157.6954,157.6954,10,10,160.3942,space,2.6827,,160.3942,162.6947,space,2.2819,,0,5,5,2,1,145,bars/single002.png,bars/mask003.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6545ffdbc2a670fa09573950,65af5643dc8991f4776b9f1a,2024-01-23_16h03.18.992,bars,2023.2.3,MacIntel,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,162.6949,163.6945,163.6946,164.1946,164.1946,164.4452,164.4453,154,154,165.7804,space,1.3224,,165.7804,171.4471,space,5.6565,,0,6,6,7,1,45,bars/single007.png,bars/mask009.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
