init_variables.started,init_variables.stopped,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,instruction_exp.started,instruction_exp.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,instruction_single.started,instruction_single.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,interval.started,interval.stopped,cue_single.started,cue_single.stopped,mask.started,mask.stopped,ori_response_single.started,res_ori,res,ori_response_single.stopped,key_resp_single.keys,key_resp_single.rt,key_resp_single.duration,disp_single.started,disp_single.stopped,key_resp.keys,key_resp.rt,key_resp.duration,single.thisRepN,single.thisTrialN,single.thisN,single.thisIndex,single.ran,ori,path,mask_path,instruction_bandit.started,instruction_bandit.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,cue_bandit.started,cue_bandit.stopped,bandit_res.keys,bandit_res.rt,bandit_res.duration,outcome_bandit.started,rew,action,outcome_bandit.stopped,bandit.thisRepN,bandit.thisTrialN,bandit.thisN,bandit.thisIndex,bandit.ran,actual_rew1,actual_rew2,rew1,rew2,instruction_task.started,instruction_task.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,wait_ready.started,wait_ready.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,cue.started,cue.stopped,ori_response.started,ori_response.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,outcome.started,diff1,diff2,outcome.stopped,disp_outcome_practice.started,disp_outcome_practice.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ori1,ori2,break_blk.started,break_blk.stopped,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,block.ran,condition_file
0.0021,0.0022,65ae0c9dc54cd53ea9424357,65af53f0ba138c82e9dc71d3,2024-01-23_16h53.48.789,bars,2023.2.3,Win32,60.60606061,657b66ea316d21385b68909f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,65ae0c9dc54cd53ea9424357,65af53f0ba138c82e9dc71d3,2024-01-23_16h53.48.789,bars,2023.2.3,Win32,60.60606061,657b66ea316d21385b68909f,0.0023,6.7138,y,6.6865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,65ae0c9dc54cd53ea9424357,65af53f0ba138c82e9dc71d3,2024-01-23_16h53.48.789,bars,2023.2.3,Win32,60.60606061,657b66ea316d21385b68909f,,,,,,6.7139,15.9067,space,9.1709,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,65ae0c9dc54cd53ea9424357,65af53f0ba138c82e9dc71d3,2024-01-23_16h53.48.789,bars,2023.2.3,Win32,60.60606061,657b66ea316d21385b68909f,,,,,,,,,,,15.9112,16.9044,16.9049,17.3979,17.3984,17.6481,17.6485,0,180,26.3987,space,8.723,,26.3992,35.1486,space,8.7177,,0,0,0,9,1,20,bars/single009.png,bars/mask006.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,65ae0c9dc54cd53ea9424357,65af53f0ba138c82e9dc71d3,2024-01-23_16h53.48.789,bars,2023.2.3,Win32,60.60606061,657b66ea316d21385b68909f,,,,,,,,,,,35.1578,36.1472,36.1473,36.6527,36.6528,36.8974,36.8976,18,198,42.7801,space,5.854,,42.7803,50.947,space,8.1448,,0,1,1,6,1,175,bars/single006.png,bars/mask005.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,65ae0c9dc54cd53ea9424357,65af53f0ba138c82e9dc71d3,2024-01-23_16h53.48.789,bars,2023.2.3,Win32,60.60606061,657b66ea316d21385b68909f,,,,,,,,,,,50.9572,51.9466,51.9466,52.447,52.4471,52.6971,52.6972,165,-15,58.913,space,6.2036,,58.9131,62.9466,space,4.0045,,0,2,2,4,1,95,bars/single004.png,bars/mask004.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,65ae0c9dc54cd53ea9424357,65af53f0ba138c82e9dc71d3,2024-01-23_16h53.48.789,bars,2023.2.3,Win32,60.60606061,657b66ea316d21385b68909f,,,,,,,,,,,62.9554,63.9467,63.9468,64.4471,64.4472,64.6963,64.6964,107,107,69.0807,space,4.3688,,69.0808,73.1964,space,4.087,,0,3,3,1,1,20,bars/single001.png,bars/mask006.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,65ae0c9dc54cd53ea9424357,65af53f0ba138c82e9dc71d3,2024-01-23_16h53.48.789,bars,2023.2.3,Win32,60.60606061,657b66ea316d21385b68909f,,,,,,,,,,,73.2028,74.1968,74.1968,74.6972,74.6973,74.9472,74.9473,20,20,77.0799,space,2.1161,,77.0799,79.8297,space,2.724,,0,4,4,7,1,45,bars/single007.png,bars/mask009.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,65ae0c9dc54cd53ea9424357,65af53f0ba138c82e9dc71d3,2024-01-23_16h53.48.789,bars,2023.2.3,Win32,60.60606061,657b66ea316d21385b68909f,,,,,,,,,,,79.8351,80.8307,80.8308,81.3304,81.3304,81.5801,81.5802,49,49,84.3806,space,2.784,,84.3807,87.8642,space,3.4513,,0,5,5,2,1,145,bars/single002.png,bars/mask003.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,65ae0c9dc54cd53ea9424357,65af53f0ba138c82e9dc71d3,2024-01-23_16h53.48.789,bars,2023.2.3,Win32,60.60606061,657b66ea316d21385b68909f,,,,,,,,,,,87.8752,88.8638,88.8639,89.3635,89.3636,89.6134,89.6136,137,137,93.0293,space,3.3886,,93.0294,98.4806,space,5.4244,,0,6,6,3,1,20,bars/single003.png,bars/mask005.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
