init_variables.started,init_variables.stopped,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,instruction_exp.started,instruction_exp.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,instruction_single.started,instruction_single.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,interval.started,interval.stopped,cue_single.started,cue_single.stopped,mask.started,mask.stopped,ori_response_single.started,res_ori,res,ori_response_single.stopped,key_resp_single.keys,key_resp_single.rt,key_resp_single.duration,disp_single.started,disp_single.stopped,key_resp.keys,key_resp.rt,key_resp.duration,single.thisRepN,single.thisTrialN,single.thisN,single.thisIndex,single.ran,ori,path,mask_path,instruction_bandit.started,instruction_bandit.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,cue_bandit.started,cue_bandit.stopped,bandit_res.keys,bandit_res.rt,bandit_res.duration,outcome_bandit.started,rew,action,outcome_bandit.stopped,bandit.thisRepN,bandit.thisTrialN,bandit.thisN,bandit.thisIndex,bandit.ran,actual_rew1,actual_rew2,rew1,rew2,instruction_task.started,instruction_task.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,wait_ready.started,wait_ready.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,cue.started,cue.stopped,ori_response.started,ori_response.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,outcome.started,diff1,diff2,outcome.stopped,disp_outcome_practice.started,disp_outcome_practice.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ori1,ori2,break_blk.started,break_blk.stopped,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,block.ran,condition_file
0,0,5f29eff59714081a3594a331,65af54e272f417c9b9fa8810,2024-01-23_18h58.43.960,bars,2023.2.3,Win32,60.0240096,657b66ea316d21385b68909f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5f29eff59714081a3594a331,65af54e272f417c9b9fa8810,2024-01-23_18h58.43.960,bars,2023.2.3,Win32,60.0240096,657b66ea316d21385b68909f,0,11.519,y,11.503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5f29eff59714081a3594a331,65af54e272f417c9b9fa8810,2024-01-23_18h58.43.960,bars,2023.2.3,Win32,60.0240096,657b66ea316d21385b68909f,,,,,,11.519,117.281,space,105.732,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5f29eff59714081a3594a331,65af54e272f417c9b9fa8810,2024-01-23_18h58.43.960,bars,2023.2.3,Win32,60.0240096,657b66ea316d21385b68909f,,,,,,,,,,,117.284,118.279,118.279,118.78,118.78,119.03,119.03,144,144,131.663,space,12.613,,131.663,145.613,space,13.927,,0,0,0,9,1,20,bars/single009.png,bars/mask006.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5f29eff59714081a3594a331,65af54e272f417c9b9fa8810,2024-01-23_18h58.43.960,bars,2023.2.3,Win32,60.0240096,657b66ea316d21385b68909f,,,,,,,,,,,145.613,146.612,146.612,147.112,147.112,147.362,147.362,42,222,155.079,space,7.707,,155.079,158.912,space,3.824,,0,1,1,1,1,20,bars/single001.png,bars/mask006.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5f29eff59714081a3594a331,65af54e272f417c9b9fa8810,2024-01-23_18h58.43.960,bars,2023.2.3,Win32,60.0240096,657b66ea316d21385b68909f,,,,,,,,,,,158.914,159.912,159.912,160.411,160.412,160.661,160.661,156,156,167.844,space,7.168,,167.844,187.594,space,19.733,,0,2,2,8,1,160,bars/single008.png,bars/mask004.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5f29eff59714081a3594a331,65af54e272f417c9b9fa8810,2024-01-23_18h58.43.960,bars,2023.2.3,Win32,60.0240096,657b66ea316d21385b68909f,,,,,,,,,,,187.595,188.593,188.593,189.093,189.094,189.343,189.343,68,68,193.843,space,4.484,,193.843,197.126,space,3.267,,0,3,3,5,1,55,bars/single005.png,bars/mask008.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5f29eff59714081a3594a331,65af54e272f417c9b9fa8810,2024-01-23_18h58.43.960,bars,2023.2.3,Win32,60.0240096,657b66ea316d21385b68909f,,,,,,,,,,,197.127,198.126,198.126,198.626,198.626,198.876,198.876,144,144,203.459,space,4.566,,203.459,206.509,space,3.034,,0,4,4,2,1,145,bars/single002.png,bars/mask003.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5f29eff59714081a3594a331,65af54e272f417c9b9fa8810,2024-01-23_18h58.43.960,bars,2023.2.3,Win32,60.0240096,657b66ea316d21385b68909f,,,,,,,,,,,206.509,207.509,207.509,208.009,208.009,208.259,208.259,90,90,214.442,space,6.168,,214.442,218.508,space,4.05,,0,5,5,4,1,95,bars/single004.png,bars/mask004.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5f29eff59714081a3594a331,65af54e272f417c9b9fa8810,2024-01-23_18h58.43.960,bars,2023.2.3,Win32,60.0240096,657b66ea316d21385b68909f,,,,,,,,,,,218.51,219.508,219.508,220.009,220.009,220.258,220.258,35,35,223.491,space,3.219,,223.491,225.725,space,2.216,,0,6,6,3,1,20,bars/single003.png,bars/mask005.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5f29eff59714081a3594a331,65af54e272f417c9b9fa8810,2024-01-23_18h58.43.960,bars,2023.2.3,Win32,60.0240096,657b66ea316d21385b68909f,,,,,,,,,,,225.726,226.724,226.724,227.225,227.225,227.475,227.475,48,48,230.541,space,3.055,,230.541,232.274,space,1.717,,0,7,7,7,1,45,bars/single007.png,bars/mask009.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5f29eff59714081a3594a331,65af54e272f417c9b9fa8810,2024-01-23_18h58.43.960,bars,2023.2.3,Win32,60.0240096,657b66ea316d21385b68909f,,,,,,,,,,,232.275,233.274,233.274,233.774,233.774,234.024,234.024,0,180,239.874,space,5.836,,239.874,242.474,space,2.587,,0,8,8,6,1,175,bars/single006.png,bars/mask005.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5f29eff59714081a3594a331,65af54e272f417c9b9fa8810,2024-01-23_18h58.43.960,bars,2023.2.3,Win32,60.0240096,657b66ea316d21385b68909f,,,,,,,,,,,242.474,243.474,243.474,243.974,243.974,244.223,244.223,155,-25,249.457,space,5.217,,249.457,266.423,space,16.95,,0,9,9,0,1,150,bars/single000.png,bars/mask006.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5f29eff59714081a3594a331,65af54e272f417c9b9fa8810,2024-01-23_18h58.43.960,bars,2023.2.3,Win32,60.0240096,657b66ea316d21385b68909f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,266.423,288.489,space,22.033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5f29eff59714081a3594a331,65af54e272f417c9b9fa8810,2024-01-23_18h58.43.960,bars,2023.2.3,Win32,60.0240096,657b66ea316d21385b68909f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,288.493,291.971,left,3.449,,291.971,9,1,292.971,0,0,0,0,1,9,1,9,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5f29eff59714081a3594a331,65af54e272f417c9b9fa8810,2024-01-23_18h58.43.960,bars,2023.2.3,Win32,60.0240096,657b66ea316d21385b68909f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,292.972,294.038,right,1.051,,294.038,1,2,295.038,0,1,1,1,1,10,0,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5f29eff59714081a3594a331,65af54e272f417c9b9fa8810,2024-01-23_18h58.43.960,bars,2023.2.3,Win32,60.0240096,657b66ea316d21385b68909f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,295.038,295.471,right,0.423,,295.471,2,2,296.471,0,2,2,2,1,10,2,10,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5f29eff59714081a3594a331,65af54e272f417c9b9fa8810,2024-01-23_18h58.43.960,bars,2023.2.3,Win32,60.0240096,657b66ea316d21385b68909f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,296.471,296.887,left,0.407,,296.887,7,1,297.888,0,3,3,3,1,8,4,7,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5f29eff59714081a3594a331,65af54e272f417c9b9fa8810,2024-01-23_18h58.43.960,bars,2023.2.3,Win32,60.0240096,657b66ea316d21385b68909f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,297.888,298.321,left,0.417,,298.321,5,1,299.321,0,4,4,4,1,6,2,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5f29eff59714081a3594a331,65af54e272f417c9b9fa8810,2024-01-23_18h58.43.960,bars,2023.2.3,Win32,60.0240096,657b66ea316d21385b68909f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,299.322,300.037,right,0.699,,300.037,4,2,301.038,0,5,5,5,1,4,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5f29eff59714081a3594a331,65af54e272f417c9b9fa8810,2024-01-23_18h58.43.960,bars,2023.2.3,Win32,60.0240096,657b66ea316d21385b68909f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301.038,301.387,left,0.337,,301.388,1,1,302.388,0,6,6,6,1,2,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5f29eff59714081a3594a331,65af54e272f417c9b9fa8810,2024-01-23_18h58.43.960,bars,2023.2.3,Win32,60.0240096,657b66ea316d21385b68909f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,302.388,302.921,left,0.519,,302.921,0,1,303.92,0,7,7,7,1,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5f29eff59714081a3594a331,65af54e272f417c9b9fa8810,2024-01-23_18h58.43.960,bars,2023.2.3,Win32,60.0240096,657b66ea316d21385b68909f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,303.921,304.354,right,0.417,,304.354,0,2,305.353,0,8,8,8,1,0,2,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5f29eff59714081a3594a331,65af54e272f417c9b9fa8810,2024-01-23_18h58.43.960,bars,2023.2.3,Win32,60.0240096,657b66ea316d21385b68909f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,305.354,305.67,right,0.304,,305.671,3,2,306.67,0,9,9,9,1,2,4,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5f29eff59714081a3594a331,65af54e272f417c9b9fa8810,2024-01-23_18h58.43.960,bars,2023.2.3,Win32,60.0240096,657b66ea316d21385b68909f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,306.671,307.053,left,0.373,,307.053,0,1,308.054,0,10,10,10,1,0,2,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5f29eff59714081a3594a331,65af54e272f417c9b9fa8810,2024-01-23_18h58.43.960,bars,2023.2.3,Win32,60.0240096,657b66ea316d21385b68909f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,308.056,308.387,left,0.319,,308.387,0,1,309.387,0,11,11,11,1,0,4,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
