init_variables.started,init_variables.stopped,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,instruction_exp.started,instruction_exp.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,instruction_single.started,instruction_single.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,interval.started,interval.stopped,cue_single.started,cue_single.stopped,mask.started,mask.stopped,ori_response_single.started,res_ori,res,ori_response_single.stopped,key_resp_single.keys,key_resp_single.rt,key_resp_single.duration,disp_single.started,disp_single.stopped,key_resp.keys,key_resp.rt,key_resp.duration,single.thisRepN,single.thisTrialN,single.thisN,single.thisIndex,single.ran,ori,path,mask_path,instruction_bandit.started,instruction_bandit.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,cue_bandit.started,cue_bandit.stopped,bandit_res.keys,bandit_res.rt,bandit_res.duration,outcome_bandit.started,rew,action,outcome_bandit.stopped,bandit.thisRepN,bandit.thisTrialN,bandit.thisN,bandit.thisIndex,bandit.ran,actual_rew1,actual_rew2,rew1,rew2,instruction_task.started,instruction_task.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,wait_ready.started,wait_ready.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,cue.started,cue.stopped,ori_response.started,ori_response.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,outcome.started,diff1,diff2,outcome.stopped,disp_outcome_practice.started,disp_outcome_practice.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ori1,ori2,break_blk.started,break_blk.stopped,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,block.ran,condition_file
0,0.0001,655bca1f7ea1891e17a66d2e,65af55d914893441390476af,2024-01-23_19h04.36.348,bars,2023.2.3,Win32,142.8571429,657b66ea316d21385b68909f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,655bca1f7ea1891e17a66d2e,65af55d914893441390476af,2024-01-23_19h04.36.348,bars,2023.2.3,Win32,142.8571429,657b66ea316d21385b68909f,0.0002,11.1351,y,11.1323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,655bca1f7ea1891e17a66d2e,65af55d914893441390476af,2024-01-23_19h04.36.348,bars,2023.2.3,Win32,142.8571429,657b66ea316d21385b68909f,,,,,,11.1352,23.6548,space,12.5107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,655bca1f7ea1891e17a66d2e,65af55d914893441390476af,2024-01-23_19h04.36.348,bars,2023.2.3,Win32,142.8571429,657b66ea316d21385b68909f,,,,,,,,,,,23.6566,24.6528,24.6528,25.1528,25.1529,25.4028,25.4028,151,151,32.9027,space,7.4782,,32.9027,36.7025,space,3.7911,,0,0,0,8,1,160,bars/single008.png,bars/mask004.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,655bca1f7ea1891e17a66d2e,65af55d914893441390476af,2024-01-23_19h04.36.348,bars,2023.2.3,Win32,142.8571429,657b66ea316d21385b68909f,,,,,,,,,,,36.7063,37.7078,37.7078,38.2079,38.2079,38.4544,38.4544,32,32,41.0146,space,2.5554,,41.0146,42.7648,space,1.743,,0,1,1,7,1,45,bars/single007.png,bars/mask009.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,655bca1f7ea1891e17a66d2e,65af55d914893441390476af,2024-01-23_19h04.36.348,bars,2023.2.3,Win32,142.8571429,657b66ea316d21385b68909f,,,,,,,,,,,42.765,43.7632,43.7632,44.2641,44.2641,44.5114,44.5114,161,161,46.6937,space,2.1781,,46.6937,48.1394,space,1.4373,,0,2,2,0,1,150,bars/single000.png,bars/mask006.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,655bca1f7ea1891e17a66d2e,65af55d914893441390476af,2024-01-23_19h04.36.348,bars,2023.2.3,Win32,142.8571429,657b66ea316d21385b68909f,,,,,,,,,,,48.1396,49.138,49.138,49.6393,49.6393,49.8881,49.8881,88,88,53.9171,space,4.0276,,53.9171,56.0351,space,2.1109,,0,3,3,4,1,95,bars/single004.png,bars/mask004.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,655bca1f7ea1891e17a66d2e,65af55d914893441390476af,2024-01-23_19h04.36.348,bars,2023.2.3,Win32,142.8571429,657b66ea316d21385b68909f,,,,,,,,,,,56.0352,57.0336,57.0336,57.5348,57.5348,57.7879,57.7879,164,164,61.4711,space,3.6739,,61.4711,63.8528,space,2.3696,,0,4,4,6,1,175,bars/single006.png,bars/mask005.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,655bca1f7ea1891e17a66d2e,65af55d914893441390476af,2024-01-23_19h04.36.348,bars,2023.2.3,Win32,142.8571429,657b66ea316d21385b68909f,,,,,,,,,,,63.8564,64.854,64.854,65.3528,65.3529,65.6028,65.6028,35,215,69.2626,space,3.6583,,69.2626,71.7415,space,2.4701,,0,5,5,9,1,20,bars/single009.png,bars/mask006.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,655bca1f7ea1891e17a66d2e,65af55d914893441390476af,2024-01-23_19h04.36.348,bars,2023.2.3,Win32,142.8571429,657b66ea316d21385b68909f,,,,,,,,,,,71.7416,72.7416,72.7416,73.2425,73.2426,73.4927,73.4928,33,213,78.5953,space,5.092,,78.5953,80.1093,space,1.5036,,0,6,6,3,1,20,bars/single003.png,bars/mask005.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,655bca1f7ea1891e17a66d2e,65af55d914893441390476af,2024-01-23_19h04.36.348,bars,2023.2.3,Win32,142.8571429,657b66ea316d21385b68909f,,,,,,,,,,,80.1094,81.1092,81.1092,81.6092,81.6092,81.8582,81.8582,51,51,85.1438,space,3.2803,,85.1438,87.1506,space,1.9997,,0,7,7,5,1,55,bars/single005.png,bars/mask008.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,655bca1f7ea1891e17a66d2e,65af55d914893441390476af,2024-01-23_19h04.36.348,bars,2023.2.3,Win32,142.8571429,657b66ea316d21385b68909f,,,,,,,,,,,87.1507,88.1506,88.1506,88.6505,88.6505,88.9005,88.9005,148,148,91.4421,space,2.5276,,91.4422,93.0896,space,1.6457,,0,8,8,2,1,145,bars/single002.png,bars/mask003.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,655bca1f7ea1891e17a66d2e,65af55d914893441390476af,2024-01-23_19h04.36.348,bars,2023.2.3,Win32,142.8571429,657b66ea316d21385b68909f,,,,,,,,,,,93.0897,94.0934,94.0935,94.5936,94.5936,94.8391,94.8391,26,26,97.6133,space,2.7672,,97.6133,99.3737,space,1.7568,,0,9,9,1,1,20,bars/single001.png,bars/mask006.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
