init_variables.started,init_variables.stopped,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,instruction_exp.started,instruction_exp.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,instruction_single.started,instruction_single.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,interval.started,interval.stopped,cue_single.started,cue_single.stopped,mask.started,mask.stopped,ori_response_single.started,res_ori,res,ori_response_single.stopped,key_resp_single.keys,key_resp_single.rt,key_resp_single.duration,disp_single.started,disp_single.stopped,key_resp.keys,key_resp.rt,key_resp.duration,single.thisRepN,single.thisTrialN,single.thisN,single.thisIndex,single.ran,ori,path,mask_path,instruction_bandit.started,instruction_bandit.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,cue_bandit.started,cue_bandit.stopped,bandit_res.keys,bandit_res.rt,bandit_res.duration,outcome_bandit.started,rew,action,outcome_bandit.stopped,bandit.thisRepN,bandit.thisTrialN,bandit.thisN,bandit.thisIndex,bandit.ran,actual_rew1,actual_rew2,rew1,rew2,instruction_task.started,instruction_task.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,wait_ready.started,wait_ready.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,cue.started,cue.stopped,ori_response.started,ori_response.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,outcome.started,diff1,diff2,outcome.stopped,disp_outcome_practice.started,disp_outcome_practice.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ori1,ori2,break_blk.started,break_blk.stopped,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,block.ran,condition_file
0.0003,0.0004,64a1f97573d3517a71ca803f,65af56bf60bcc53ab4af7c3e,2024-01-23_19h07.21.537,bars,2023.2.3,MacIntel,60.24096386,657b66ea316d21385b68909f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,64a1f97573d3517a71ca803f,65af56bf60bcc53ab4af7c3e,2024-01-23_19h07.21.537,bars,2023.2.3,MacIntel,60.24096386,657b66ea316d21385b68909f,0.0005,12.2442,y,12.1347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,64a1f97573d3517a71ca803f,65af56bf60bcc53ab4af7c3e,2024-01-23_19h07.21.537,bars,2023.2.3,MacIntel,60.24096386,657b66ea316d21385b68909f,,,,,,12.2446,26.1093,space,13.8451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,64a1f97573d3517a71ca803f,65af56bf60bcc53ab4af7c3e,2024-01-23_19h07.21.537,bars,2023.2.3,MacIntel,60.24096386,657b66ea316d21385b68909f,,,,,,,,,,,26.1143,27.1112,27.1114,27.6103,27.6107,27.8609,27.8611,83,83,34.0806,space,6.1804,,34.0809,40.3256,space,6.2098,,0,0,0,5,1,55,bars/single005.png,bars/mask008.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,64a1f97573d3517a71ca803f,65af56bf60bcc53ab4af7c3e,2024-01-23_19h07.21.537,bars,2023.2.3,MacIntel,60.24096386,657b66ea316d21385b68909f,,,,,,,,,,,40.3359,41.326,41.3262,41.8262,41.8262,42.0792,42.0793,136,136,44.2633,space,2.1717,,44.2634,48.6254,space,4.3403,,0,1,1,2,1,145,bars/single002.png,bars/mask003.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,64a1f97573d3517a71ca803f,65af56bf60bcc53ab4af7c3e,2024-01-23_19h07.21.537,bars,2023.2.3,MacIntel,60.24096386,657b66ea316d21385b68909f,,,,,,,,,,,48.6352,49.6263,49.6264,50.1277,50.1277,50.3782,50.3786,174,-6,56.8619,space,6.465,,56.862,61.2432,space,4.3612,,0,2,2,1,1,20,bars/single001.png,bars/mask006.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,64a1f97573d3517a71ca803f,65af56bf60bcc53ab4af7c3e,2024-01-23_19h07.21.537,bars,2023.2.3,MacIntel,60.24096386,657b66ea316d21385b68909f,,,,,,,,,,,61.2527,62.2431,62.2431,62.7449,62.7449,62.9943,62.9944,95,95,66.6615,space,3.6499,,66.6616,68.3777,space,1.6981,,0,3,3,4,1,95,bars/single004.png,bars/mask004.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,64a1f97573d3517a71ca803f,65af56bf60bcc53ab4af7c3e,2024-01-23_19h07.21.537,bars,2023.2.3,MacIntel,60.24096386,657b66ea316d21385b68909f,,,,,,,,,,,68.3785,69.3778,69.3779,69.8774,69.8774,70.1274,70.1274,175,175,74.2435,space,4.1013,,74.2435,77.5269,space,3.2646,,0,4,4,9,1,20,bars/single009.png,bars/mask006.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,64a1f97573d3517a71ca803f,65af56bf60bcc53ab4af7c3e,2024-01-23_19h07.21.537,bars,2023.2.3,MacIntel,60.24096386,657b66ea316d21385b68909f,,,,,,,,,,,77.5375,78.5293,78.5293,79.0284,79.0285,79.2759,79.2759,2,182,86.2427,space,6.9494,,86.2428,87.4255,space,1.1659,,0,5,5,6,1,175,bars/single006.png,bars/mask005.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,64a1f97573d3517a71ca803f,65af56bf60bcc53ab4af7c3e,2024-01-23_19h07.21.537,bars,2023.2.3,MacIntel,60.24096386,657b66ea316d21385b68909f,,,,,,,,,,,87.4257,88.4271,88.4272,88.927,88.927,89.1755,89.1755,73,73,96.2122,space,7.0176,,96.2122,97.4931,space,1.2632,,0,6,6,7,1,45,bars/single007.png,bars/mask009.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,64a1f97573d3517a71ca803f,65af56bf60bcc53ab4af7c3e,2024-01-23_19h07.21.537,bars,2023.2.3,MacIntel,60.24096386,657b66ea316d21385b68909f,,,,,,,,,,,97.4934,98.4916,98.4917,98.9932,98.9932,99.2434,99.2435,169,-11,102.9948,space,3.7344,,102.9949,105.5256,space,2.5129,,0,7,7,8,1,160,bars/single008.png,bars/mask004.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,64a1f97573d3517a71ca803f,65af56bf60bcc53ab4af7c3e,2024-01-23_19h07.21.537,bars,2023.2.3,MacIntel,60.24096386,657b66ea316d21385b68909f,,,,,,,,,,,105.5259,106.5255,106.5256,107.0266,107.0266,107.2769,107.2769,174,-6,110.0587,space,2.7614,,110.0587,111.3261,space,1.2452,,0,8,8,0,1,150,bars/single000.png,bars/mask006.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,64a1f97573d3517a71ca803f,65af56bf60bcc53ab4af7c3e,2024-01-23_19h07.21.537,bars,2023.2.3,MacIntel,60.24096386,657b66ea316d21385b68909f,,,,,,,,,,,111.3263,112.328,112.328,112.8293,112.8293,113.0767,113.0768,6,186,115.3952,space,2.2996,,115.3953,116.3942,space,0.9879,,0,9,9,3,1,20,bars/single003.png,bars/mask005.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,64a1f97573d3517a71ca803f,65af56bf60bcc53ab4af7c3e,2024-01-23_19h07.21.537,bars,2023.2.3,MacIntel,60.24096386,657b66ea316d21385b68909f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116.3946,678.223,space,561.8151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,64a1f97573d3517a71ca803f,65af56bf60bcc53ab4af7c3e,2024-01-23_19h07.21.537,bars,2023.2.3,MacIntel,60.24096386,657b66ea316d21385b68909f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,678.2363,682.0067,right,3.7014,,682.0068,2,2,683.0073,0,0,0,0,1,9,1,9,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,64a1f97573d3517a71ca803f,65af56bf60bcc53ab4af7c3e,2024-01-23_19h07.21.537,bars,2023.2.3,MacIntel,60.24096386,657b66ea316d21385b68909f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,683.0084,683.8373,left,0.8173,,683.8373,10,1,684.8251,0,1,1,1,1,10,0,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,64a1f97573d3517a71ca803f,65af56bf60bcc53ab4af7c3e,2024-01-23_19h07.21.537,bars,2023.2.3,MacIntel,60.24096386,657b66ea316d21385b68909f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,684.8255,685.1575,left,0.3181,,685.1576,10,1,686.1537,0,2,2,2,1,10,2,10,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,64a1f97573d3517a71ca803f,65af56bf60bcc53ab4af7c3e,2024-01-23_19h07.21.537,bars,2023.2.3,MacIntel,60.24096386,657b66ea316d21385b68909f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,686.1542,686.4407,left,0.2684,,686.4408,7,1,687.4418,0,3,3,3,1,8,4,7,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,64a1f97573d3517a71ca803f,65af56bf60bcc53ab4af7c3e,2024-01-23_19h07.21.537,bars,2023.2.3,MacIntel,60.24096386,657b66ea316d21385b68909f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,687.4422,688.8373,left,1.3834,,688.8374,5,1,689.8419,0,4,4,4,1,6,2,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
