init_variables.started,init_variables.stopped,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,instruction_exp.started,instruction_exp.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,instruction_single.started,instruction_single.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,interval.started,interval.stopped,cue_single.started,cue_single.stopped,mask.started,mask.stopped,ori_response_single.started,res_ori,res,ori_response_single.stopped,key_resp_single.keys,key_resp_single.rt,key_resp_single.duration,disp_single.started,disp_single.stopped,key_resp.keys,key_resp.rt,key_resp.duration,single.thisRepN,single.thisTrialN,single.thisN,single.thisIndex,single.ran,ori,path,mask_path,instruction_bandit.started,instruction_bandit.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,cue_bandit.started,cue_bandit.stopped,bandit_res.keys,bandit_res.rt,bandit_res.duration,outcome_bandit.started,rew,action,outcome_bandit.stopped,bandit.thisRepN,bandit.thisTrialN,bandit.thisN,bandit.thisIndex,bandit.ran,actual_rew1,actual_rew2,rew1,rew2,instruction_task.started,instruction_task.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,wait_ready.started,wait_ready.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,cue.started,cue.stopped,ori_response.started,ori_response.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,outcome.started,diff1,diff2,outcome.stopped,disp_outcome_practice.started,disp_outcome_practice.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ori1,ori2,break_blk.started,break_blk.stopped,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,block.ran,condition_file
0.0005,0.0006,652414a8df1d3adfddec9600,65af55c14abd09284145a175,2024-01-23_24h00.00.254,bars,2023.2.3,Win32,138.8888889,657b66ea316d21385b68909f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,652414a8df1d3adfddec9600,65af55c14abd09284145a175,2024-01-23_24h00.00.254,bars,2023.2.3,Win32,138.8888889,657b66ea316d21385b68909f,0.0007,5.9071,y,5.878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,652414a8df1d3adfddec9600,65af55c14abd09284145a175,2024-01-23_24h00.00.254,bars,2023.2.3,Win32,138.8888889,657b66ea316d21385b68909f,,,,,,5.9073,18.7452,space,12.8272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,652414a8df1d3adfddec9600,65af55c14abd09284145a175,2024-01-23_24h00.00.254,bars,2023.2.3,Win32,138.8888889,657b66ea316d21385b68909f,,,,,,,,,,,18.7474,19.7482,19.7483,20.2453,20.2454,20.4967,20.4968,10,10,24.7831,space,4.2731,,24.7831,32.1972,space,7.403,,0,0,0,3,1,20,bars/single003.png,bars/mask005.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,652414a8df1d3adfddec9600,65af55c14abd09284145a175,2024-01-23_24h00.00.254,bars,2023.2.3,Win32,138.8888889,657b66ea316d21385b68909f,,,,,,,,,,,32.1973,33.1993,33.1993,33.6996,33.6997,33.9464,33.9464,44,44,39.6533,space,5.6946,,39.6533,48.6088,space,8.9416,,0,1,1,8,1,160,bars/single008.png,bars/mask004.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,652414a8df1d3adfddec9600,65af55c14abd09284145a175,2024-01-23_24h00.00.254,bars,2023.2.3,Win32,138.8888889,657b66ea316d21385b68909f,,,,,,,,,,,48.613,49.6107,49.6107,50.1098,50.1099,50.357,50.357,72,72,54.9674,space,4.5998,,54.9674,56.601,space,1.6228,,0,2,2,4,1,95,bars/single004.png,bars/mask004.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,652414a8df1d3adfddec9600,65af55c14abd09284145a175,2024-01-23_24h00.00.254,bars,2023.2.3,Win32,138.8888889,657b66ea316d21385b68909f,,,,,,,,,,,56.6011,57.6032,57.6032,58.1044,58.1044,58.3513,58.3514,15,15,60.1592,space,1.8006,,60.1592,62.8812,space,2.7137,,0,3,3,1,1,20,bars/single001.png,bars/mask006.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,652414a8df1d3adfddec9600,65af55c14abd09284145a175,2024-01-23_24h00.00.254,bars,2023.2.3,Win32,138.8888889,657b66ea316d21385b68909f,,,,,,,,,,,62.8851,63.8858,63.8858,64.3823,64.3823,64.6275,64.6275,42,42,66.2625,space,1.6277,,66.2625,68.7633,space,2.4893,,0,4,4,9,1,20,bars/single009.png,bars/mask006.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,652414a8df1d3adfddec9600,65af55c14abd09284145a175,2024-01-23_24h00.00.254,bars,2023.2.3,Win32,138.8888889,657b66ea316d21385b68909f,,,,,,,,,,,68.7671,69.7622,69.7622,70.2641,70.2641,70.511,70.5111,43,223,73.1435,space,2.6266,,73.1435,74.9965,space,1.8395,,0,5,5,5,1,55,bars/single005.png,bars/mask008.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,652414a8df1d3adfddec9600,65af55c14abd09284145a175,2024-01-23_24h00.00.254,bars,2023.2.3,Win32,138.8888889,657b66ea316d21385b68909f,,,,,,,,,,,74.9967,75.9919,75.9919,76.4865,76.4866,76.7333,76.7333,114,114,80.3596,space,3.6195,,80.3596,82.7591,space,2.3869,,0,6,6,2,1,145,bars/single002.png,bars/mask003.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
