init_variables.started,init_variables.stopped,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,instruction_exp.started,instruction_exp.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,instruction_single.started,instruction_single.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,interval.started,interval.stopped,cue_single.started,cue_single.stopped,mask.started,mask.stopped,ori_response_single.started,res_ori,res,ori_response_single.stopped,key_resp_single.keys,key_resp_single.rt,key_resp_single.duration,disp_single.started,disp_single.stopped,key_resp.keys,key_resp.rt,key_resp.duration,single.thisRepN,single.thisTrialN,single.thisN,single.thisIndex,single.ran,ori,path,mask_path,instruction_bandit.started,instruction_bandit.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,cue_bandit.started,cue_bandit.stopped,bandit_res.keys,bandit_res.rt,bandit_res.duration,outcome_bandit.started,rew,action,outcome_bandit.stopped,bandit.thisRepN,bandit.thisTrialN,bandit.thisN,bandit.thisIndex,bandit.ran,actual_rew1,actual_rew2,rew1,rew2,instruction_task.started,instruction_task.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,wait_ready.started,wait_ready.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,cue.started,cue.stopped,ori_response.started,ori_response.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,outcome.started,diff1,diff2,outcome.stopped,disp_outcome_practice.started,disp_outcome_practice.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ori1,ori2,break_blk.started,break_blk.stopped,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,block.ran,condition_file
0.0002,0.0003,656696c9ea15de5f69b6ddfa,65af53973f5fcc7f4ffca76f,2024-01-23_24h00.47.517,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,656696c9ea15de5f69b6ddfa,65af53973f5fcc7f4ffca76f,2024-01-23_24h00.47.517,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,0.0004,184.5458,y,184.5273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,656696c9ea15de5f69b6ddfa,65af53973f5fcc7f4ffca76f,2024-01-23_24h00.47.517,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,,,,,,184.5461,206.0269,space,21.4597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,656696c9ea15de5f69b6ddfa,65af53973f5fcc7f4ffca76f,2024-01-23_24h00.47.517,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,206.0464,207.0411,207.0414,207.5406,207.5411,207.7879,207.7882,141,141,225.5357,space,17.7087,,225.5363,231.4961,space,5.9159,,0,0,0,9,1,20,bars/single009.png,bars/mask006.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,656696c9ea15de5f69b6ddfa,65af53973f5fcc7f4ffca76f,2024-01-23_24h00.47.517,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,231.516,232.5002,232.5007,233.0003,233.0005,233.2503,233.2503,172,172,241.41,space,8.143,,241.4102,246.7386,space,5.296,,0,1,1,1,1,20,bars/single001.png,bars/mask006.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,656696c9ea15de5f69b6ddfa,65af53973f5fcc7f4ffca76f,2024-01-23_24h00.47.517,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,246.76,247.7469,247.747,248.2466,248.2467,248.4966,248.4966,172,172,255.341,space,6.828,,255.3412,260.3689,space,4.9892,,0,2,2,6,1,175,bars/single006.png,bars/mask005.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,656696c9ea15de5f69b6ddfa,65af53973f5fcc7f4ffca76f,2024-01-23_24h00.47.517,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,260.3905,261.3738,261.3739,261.8729,261.873,262.1225,262.1225,156,-24,269.0224,space,6.8828,,269.0225,271.6934,space,2.6344,,0,3,3,2,1,145,bars/single002.png,bars/mask003.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,656696c9ea15de5f69b6ddfa,65af53973f5fcc7f4ffca76f,2024-01-23_24h00.47.517,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,271.7157,272.6968,272.6969,273.1964,273.1964,273.441,273.4411,93,93,281.3564,space,7.8933,,281.3565,286.003,space,4.6092,,0,4,4,4,1,95,bars/single004.png,bars/mask004.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,656696c9ea15de5f69b6ddfa,65af53973f5fcc7f4ffca76f,2024-01-23_24h00.47.517,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,286.0283,287.0093,287.0094,287.5096,287.5097,287.7597,287.76,15,195,294.1382,space,6.3615,,294.1384,298.0184,space,3.8429,,0,5,5,3,1,20,bars/single003.png,bars/mask005.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,656696c9ea15de5f69b6ddfa,65af53973f5fcc7f4ffca76f,2024-01-23_24h00.47.517,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,298.0387,299.0222,299.0223,299.5227,299.5229,299.7714,299.7714,128,128,336.1489,space,36.3527,,336.1493,343.009,space,6.823,,0,6,6,8,1,160,bars/single008.png,bars/mask004.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,656696c9ea15de5f69b6ddfa,65af53973f5fcc7f4ffca76f,2024-01-23_24h00.47.517,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,343.0293,344.0304,344.0306,344.5131,344.5131,344.7577,344.7578,22,22,351.0573,space,6.2784,,351.0573,353.3494,space,2.2533,,0,7,7,7,1,45,bars/single007.png,bars/mask009.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,656696c9ea15de5f69b6ddfa,65af53973f5fcc7f4ffca76f,2024-01-23_24h00.47.517,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,353.3503,354.3482,354.3482,354.8465,354.8466,355.0969,355.097,43,43,360.2096,space,5.0967,,360.2096,362.191,space,1.9436,,0,8,8,5,1,55,bars/single005.png,bars/mask008.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,656696c9ea15de5f69b6ddfa,65af53973f5fcc7f4ffca76f,2024-01-23_24h00.47.517,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,362.1917,363.1896,363.1896,363.6889,363.689,363.9387,363.9388,134,-46,378.9932,space,15.0446,,378.9932,380.8895,space,1.8581,,0,9,9,0,1,150,bars/single000.png,bars/mask006.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,656696c9ea15de5f69b6ddfa,65af53973f5fcc7f4ffca76f,2024-01-23_24h00.47.517,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,380.891,390.7986,space,9.8846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,656696c9ea15de5f69b6ddfa,65af53973f5fcc7f4ffca76f,2024-01-23_24h00.47.517,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,390.8221,394.6452,left,3.7996,,394.6457,9,1,395.6437,0,0,0,0,1,9,1,9,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,656696c9ea15de5f69b6ddfa,65af53973f5fcc7f4ffca76f,2024-01-23_24h00.47.517,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,395.6448,399.9958,left,4.3306,,399.9959,10,1,400.989,0,1,1,1,1,10,0,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,656696c9ea15de5f69b6ddfa,65af53973f5fcc7f4ffca76f,2024-01-23_24h00.47.517,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,401.0099,402.6759,right,1.6593,,402.676,2,2,403.6697,0,2,2,2,1,10,2,10,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,656696c9ea15de5f69b6ddfa,65af53973f5fcc7f4ffca76f,2024-01-23_24h00.47.517,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,403.6705,406.2394,right,2.5485,,406.2395,3,2,407.237,0,3,3,3,1,8,4,7,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,656696c9ea15de5f69b6ddfa,65af53973f5fcc7f4ffca76f,2024-01-23_24h00.47.517,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,407.2588,410.4298,right,3.1567,,410.4298,1,2,411.4281,0,4,4,4,1,6,2,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,656696c9ea15de5f69b6ddfa,65af53973f5fcc7f4ffca76f,2024-01-23_24h00.47.517,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,411.4487,412.8992,left,1.4431,,412.8996,4,1,413.894,0,5,5,5,1,4,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,656696c9ea15de5f69b6ddfa,65af53973f5fcc7f4ffca76f,2024-01-23_24h00.47.517,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,413.8947,415.6149,left,1.6997,,415.615,1,1,416.6074,0,6,6,6,1,2,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,656696c9ea15de5f69b6ddfa,65af53973f5fcc7f4ffca76f,2024-01-23_24h00.47.517,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,416.6081,417.626,right,0.9979,,417.6261,1,2,418.6264,0,7,7,7,1,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,656696c9ea15de5f69b6ddfa,65af53973f5fcc7f4ffca76f,2024-01-23_24h00.47.517,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,418.6275,419.7769,right,1.1332,,419.7771,0,2,420.7707,0,8,8,8,1,0,2,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,656696c9ea15de5f69b6ddfa,65af53973f5fcc7f4ffca76f,2024-01-23_24h00.47.517,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,420.7717,421.7419,left,0.9498,,421.7419,2,1,422.7401,0,9,9,9,1,2,4,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,656696c9ea15de5f69b6ddfa,65af53973f5fcc7f4ffca76f,2024-01-23_24h00.47.517,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,422.7416,426.0335,left,3.2732,,426.0336,0,1,427.031,0,10,10,10,1,0,2,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,656696c9ea15de5f69b6ddfa,65af53973f5fcc7f4ffca76f,2024-01-23_24h00.47.517,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,427.0526,430.1334,right,3.0745,,430.1335,3,2,431.1324,0,11,11,11,1,0,4,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,656696c9ea15de5f69b6ddfa,65af53973f5fcc7f4ffca76f,2024-01-23_24h00.47.517,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,431.1553,433.4252,left,2.2549,,433.4252,1,1,434.4226,0,12,12,12,1,2,6,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,656696c9ea15de5f69b6ddfa,65af53973f5fcc7f4ffca76f,2024-01-23_24h00.47.517,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,434.4432,436.3121,right,1.8618,,436.3122,3,2,437.3052,0,13,13,13,1,0,4,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,656696c9ea15de5f69b6ddfa,65af53973f5fcc7f4ffca76f,2024-01-23_24h00.47.517,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,437.3294,438.9693,right,1.6238,,438.9693,7,2,439.9673,0,14,14,14,1,2,6,2,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,656696c9ea15de5f69b6ddfa,65af53973f5fcc7f4ffca76f,2024-01-23_24h00.47.517,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,439.968,441.2004,right,1.2215,,441.2005,9,2,442.1993,0,15,15,15,1,4,8,3,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,656696c9ea15de5f69b6ddfa,65af53973f5fcc7f4ffca76f,2024-01-23_24h00.47.517,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,442.2004,443.5154,right,1.2988,,443.5155,7,2,444.5137,0,16,16,16,1,6,6,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,656696c9ea15de5f69b6ddfa,65af53973f5fcc7f4ffca76f,2024-01-23_24h00.47.517,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,444.515,445.1965,left,0.6683,,445.1966,9,1,446.1957,0,17,17,17,1,8,4,9,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,656696c9ea15de5f69b6ddfa,65af53973f5fcc7f4ffca76f,2024-01-23_24h00.47.517,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,446.1966,447.1272,left,0.9181,,447.1272,5,1,448.1266,0,18,18,18,1,6,2,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,656696c9ea15de5f69b6ddfa,65af53973f5fcc7f4ffca76f,2024-01-23_24h00.47.517,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,448.1274,449.3928,right,1.2509,,449.3929,0,2,450.3923,0,19,19,19,1,8,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,656696c9ea15de5f69b6ddfa,65af53973f5fcc7f4ffca76f,2024-01-23_24h00.47.517,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,450.3941,467.5122,space,17.0931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,656696c9ea15de5f69b6ddfa,65af53973f5fcc7f4ffca76f,2024-01-23_24h00.47.517,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,468.9765,469.9781,,,470.4783,470.7235,,19,199,,,,,,,,,,,,,,,,bars/042.png,bars/mask000.png,,,,,,,,,,,,0,1,,,,,,,5,5,5,2,,,,,,467.5419,468.9652,space,1.4114,,469.9786,470.4783,470.7243,477.8853,space,7.1341,,477.8857,54,56,478.8823,478.883,489.4128,space,10.5045,,0,0,0,0,1,145,75,,,,,,,,
,,656696c9ea15de5f69b6ddfa,65af53973f5fcc7f4ffca76f,2024-01-23_24h00.47.517,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,489.4404,490.426,,,490.9263,491.172,,137,-43,,,,,,,,,,,,,,,,bars/034.png,bars/mask005.png,,,,,,,,,,,,5,1,,,,,,,7,3,8,4,,,,,,,,,,,490.4261,490.9262,491.1722,497.4827,space,6.2846,,497.483,12,72,498.4815,498.4815,503.6933,space,5.1707,,0,1,1,1,1,125,65,,,,,,,,
,,656696c9ea15de5f69b6ddfa,65af53973f5fcc7f4ffca76f,2024-01-23_24h00.47.517,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,503.7147,504.7078,,,505.2095,505.4579,,40,220,,,,,,,,,,,,,,,,bars/031.png,bars/mask006.png,,,,,,,,,,,,5,2,,,,,,,5,5,4,6,,,,,,,,,,,504.7079,505.2093,505.4583,514.2507,space,8.7762,,514.2507,80,5,515.2482,515.2486,520.0113,space,4.7177,,0,2,2,2,1,120,35,,,,,,,,
,,656696c9ea15de5f69b6ddfa,65af53973f5fcc7f4ffca76f,2024-01-23_24h00.47.517,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,520.0312,521.0315,,,521.5308,521.763,,104,104,,,,,,,,,,,,,,,,bars/028.png,bars/mask001.png,,,,,,,,,,,,3,2,,,,,,,7,7,7,7,,,,,,,,,,,521.0315,521.5308,521.7632,526.0945,space,4.3243,,526.0946,59,16,527.0876,527.0879,529.2383,space,2.116,,0,3,3,3,1,45,120,,,,,,,,
,,656696c9ea15de5f69b6ddfa,65af53973f5fcc7f4ffca76f,2024-01-23_24h00.47.517,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,529.2395,530.2342,,,530.7332,530.9834,,30,210,,,,,,,,,,,,,,,,bars/007.png,bars/mask004.png,,,,,,,,,,,,1,2,,,,,,,5,5,6,4,,,,,,,,,,,530.2345,530.7331,530.9834,537.7437,space,6.7441,,537.7439,35,25,538.7429,538.7429,546.737,space,7.9548,,0,4,4,4,1,175,55,,,,,,,,
,,656696c9ea15de5f69b6ddfa,65af53973f5fcc7f4ffca76f,2024-01-23_24h00.47.517,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,546.7577,547.7507,,,548.2516,548.5002,,118,118,,,,,,,,,,,,,,,,bars/012.png,bars/mask009.png,,,,,,,,,,,,1,1,,,,,,,7,7,8,8,,,,,,,,,,,547.7509,548.2514,548.5005,557.3116,space,8.8023,,557.3118,28,77,558.3075,558.3077,564.1691,space,5.8186,,0,5,5,5,1,90,15,,,,,,,,
