init_variables.started,init_variables.stopped,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,instruction_exp.started,instruction_exp.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,instruction_single.started,instruction_single.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,interval.started,interval.stopped,cue_single.started,cue_single.stopped,mask.started,mask.stopped,ori_response_single.started,res_ori,res,ori_response_single.stopped,key_resp_single.keys,key_resp_single.rt,key_resp_single.duration,disp_single.started,disp_single.stopped,key_resp.keys,key_resp.rt,key_resp.duration,single.thisRepN,single.thisTrialN,single.thisN,single.thisIndex,single.ran,ori,path,mask_path,instruction_bandit.started,instruction_bandit.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,cue_bandit.started,cue_bandit.stopped,bandit_res.keys,bandit_res.rt,bandit_res.duration,outcome_bandit.started,rew,action,outcome_bandit.stopped,bandit.thisRepN,bandit.thisTrialN,bandit.thisN,bandit.thisIndex,bandit.ran,actual_rew1,actual_rew2,rew1,rew2,instruction_task.started,instruction_task.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,wait_ready.started,wait_ready.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,cue.started,cue.stopped,ori_response.started,ori_response.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,outcome.started,diff1,diff2,outcome.stopped,disp_outcome_practice.started,disp_outcome_practice.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ori1,ori2,break_blk.started,break_blk.stopped,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,block.ran,condition_file
0.0006,0.0008,5aea8c59ae889e00018624c2,65af55ceca620457d06d58b8,2024-01-23_24h00.52.484,bars,2023.2.3,Win32,55.55555556,657b66ea316d21385b68909f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5aea8c59ae889e00018624c2,65af55ceca620457d06d58b8,2024-01-23_24h00.52.484,bars,2023.2.3,Win32,55.55555556,657b66ea316d21385b68909f,0.0012,11.2892,y,11.2592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5aea8c59ae889e00018624c2,65af55ceca620457d06d58b8,2024-01-23_24h00.52.484,bars,2023.2.3,Win32,55.55555556,657b66ea316d21385b68909f,,,,,,11.2894,27.3823,space,16.0667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5aea8c59ae889e00018624c2,65af55ceca620457d06d58b8,2024-01-23_24h00.52.484,bars,2023.2.3,Win32,55.55555556,657b66ea316d21385b68909f,,,,,,,,,,,27.396,28.3881,28.3886,28.8881,28.8886,29.1381,29.1386,90,90,37.9227,space,8.731,,37.9232,47.5176,space,9.5413,,0,0,0,4,1,95,bars/single004.png,bars/mask004.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5aea8c59ae889e00018624c2,65af55ceca620457d06d58b8,2024-01-23_24h00.52.484,bars,2023.2.3,Win32,55.55555556,657b66ea316d21385b68909f,,,,,,,,,,,47.5333,48.5327,48.5329,49.032,49.0321,49.2836,49.2838,8,8,55.9146,space,6.6164,,55.9147,61.139,space,5.193,,0,1,1,7,1,45,bars/single007.png,bars/mask009.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5aea8c59ae889e00018624c2,65af55ceca620457d06d58b8,2024-01-23_24h00.52.484,bars,2023.2.3,Win32,55.55555556,657b66ea316d21385b68909f,,,,,,,,,,,61.1546,62.1466,62.1466,62.6464,62.6465,62.897,62.897,157,157,64.6294,space,1.7166,,64.6295,68.2141,space,3.564,,0,2,2,0,1,150,bars/single000.png,bars/mask006.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5aea8c59ae889e00018624c2,65af55ceca620457d06d58b8,2024-01-23_24h00.52.484,bars,2023.2.3,Win32,55.55555556,657b66ea316d21385b68909f,,,,,,,,,,,68.2258,69.228,69.2281,69.7287,69.7287,69.9786,69.9787,10,190,73.8121,space,3.8155,,73.8123,76.4932,space,2.6424,,0,3,3,1,1,20,bars/single001.png,bars/mask006.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5aea8c59ae889e00018624c2,65af55ceca620457d06d58b8,2024-01-23_24h00.52.484,bars,2023.2.3,Win32,55.55555556,657b66ea316d21385b68909f,,,,,,,,,,,76.4943,77.4924,77.4925,77.9932,77.9933,78.2413,78.2414,157,157,81.8289,space,3.5764,,81.829,84.1084,space,2.2441,,0,4,4,6,1,175,bars/single006.png,bars/mask005.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5aea8c59ae889e00018624c2,65af55ceca620457d06d58b8,2024-01-23_24h00.52.484,bars,2023.2.3,Win32,55.55555556,657b66ea316d21385b68909f,,,,,,,,,,,84.1102,85.1062,85.1063,85.6062,85.6062,85.8561,85.8562,58,238,90.0604,space,4.1896,,90.0607,92.6245,space,2.5129,,0,5,5,5,1,55,bars/single005.png,bars/mask008.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5aea8c59ae889e00018624c2,65af55ceca620457d06d58b8,2024-01-23_24h00.52.484,bars,2023.2.3,Win32,55.55555556,657b66ea316d21385b68909f,,,,,,,,,,,92.6255,93.6231,93.6231,94.1223,94.1223,94.3719,94.3719,133,133,95.1909,space,0.8022,,95.1911,97.3774,space,2.1642,,0,6,6,2,1,145,bars/single002.png,bars/mask003.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5aea8c59ae889e00018624c2,65af55ceca620457d06d58b8,2024-01-23_24h00.52.484,bars,2023.2.3,Win32,55.55555556,657b66ea316d21385b68909f,,,,,,,,,,,97.378,98.3734,98.3734,98.871,98.8711,99.1208,99.121,159,-21,102.2214,space,3.0847,,102.2218,103.7847,space,1.5264,,0,7,7,8,1,160,bars/single008.png,bars/mask004.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5aea8c59ae889e00018624c2,65af55ceca620457d06d58b8,2024-01-23_24h00.52.484,bars,2023.2.3,Win32,55.55555556,657b66ea316d21385b68909f,,,,,,,,,,,103.7864,104.7852,104.7853,105.2845,105.2845,105.5345,105.5345,19,19,106.6173,space,1.0678,,106.6174,108.4016,space,1.7602,,0,8,8,3,1,20,bars/single003.png,bars/mask005.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5aea8c59ae889e00018624c2,65af55ceca620457d06d58b8,2024-01-23_24h00.52.484,bars,2023.2.3,Win32,55.55555556,657b66ea316d21385b68909f,,,,,,,,,,,108.403,109.3997,109.3998,109.9008,109.9012,110.1495,110.1495,24,24,110.8505,space,0.6907,,110.8506,112.618,space,1.7382,,0,9,9,9,1,20,bars/single009.png,bars/mask006.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5aea8c59ae889e00018624c2,65af55ceca620457d06d58b8,2024-01-23_24h00.52.484,bars,2023.2.3,Win32,55.55555556,657b66ea316d21385b68909f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112.62,122.1757,space,9.5293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5aea8c59ae889e00018624c2,65af55ceca620457d06d58b8,2024-01-23_24h00.52.484,bars,2023.2.3,Win32,55.55555556,657b66ea316d21385b68909f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122.1942,125.341,left,3.1109,,125.3412,9,1,126.3366,0,0,0,0,1,9,1,9,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5aea8c59ae889e00018624c2,65af55ceca620457d06d58b8,2024-01-23_24h00.52.484,bars,2023.2.3,Win32,55.55555556,657b66ea316d21385b68909f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126.3382,128.0552,right,1.7013,,128.0553,1,2,129.0492,0,1,1,1,1,10,0,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5aea8c59ae889e00018624c2,65af55ceca620457d06d58b8,2024-01-23_24h00.52.484,bars,2023.2.3,Win32,55.55555556,657b66ea316d21385b68909f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129.0501,129.5156,left,0.457,,129.5157,10,1,130.5124,0,2,2,2,1,10,2,10,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5aea8c59ae889e00018624c2,65af55ceca620457d06d58b8,2024-01-23_24h00.52.484,bars,2023.2.3,Win32,55.55555556,657b66ea316d21385b68909f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130.5131,131.2481,left,0.7206,,131.2482,7,1,132.2453,0,3,3,3,1,8,4,7,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5aea8c59ae889e00018624c2,65af55ceca620457d06d58b8,2024-01-23_24h00.52.484,bars,2023.2.3,Win32,55.55555556,657b66ea316d21385b68909f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132.246,133.0324,left,0.7723,,133.0326,5,1,134.028,0,4,4,4,1,6,2,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5aea8c59ae889e00018624c2,65af55ceca620457d06d58b8,2024-01-23_24h00.52.484,bars,2023.2.3,Win32,55.55555556,657b66ea316d21385b68909f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134.0289,134.5459,left,0.5015,,134.546,4,1,135.5442,0,5,5,5,1,4,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
