init_variables.started,init_variables.stopped,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,instruction_exp.started,instruction_exp.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,instruction_single.started,instruction_single.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,interval.started,interval.stopped,cue_single.started,cue_single.stopped,mask.started,mask.stopped,ori_response_single.started,res_ori,res,ori_response_single.stopped,key_resp_single.keys,key_resp_single.rt,key_resp_single.duration,disp_single.started,disp_single.stopped,key_resp.keys,key_resp.rt,key_resp.duration,single.thisRepN,single.thisTrialN,single.thisN,single.thisIndex,single.ran,ori,path,mask_path,instruction_bandit.started,instruction_bandit.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,cue_bandit.started,cue_bandit.stopped,bandit_res.keys,bandit_res.rt,bandit_res.duration,outcome_bandit.started,rew,action,outcome_bandit.stopped,bandit.thisRepN,bandit.thisTrialN,bandit.thisN,bandit.thisIndex,bandit.ran,actual_rew1,actual_rew2,rew1,rew2,instruction_task.started,instruction_task.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,wait_ready.started,wait_ready.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,cue.started,cue.stopped,ori_response.started,ori_response.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,outcome.started,diff1,diff2,outcome.stopped,disp_outcome_practice.started,disp_outcome_practice.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ori1,ori2,break_blk.started,break_blk.stopped,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,block.ran,condition_file
0.003,0.0035,5d43c0183d65ca001a804090,65af558eb1b2d753c0180a0c,2024-01-23_24h00.54.949,bars,2023.2.3,MacIntel,59.97361161,657b66ea316d21385b68909f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5d43c0183d65ca001a804090,65af558eb1b2d753c0180a0c,2024-01-23_24h00.54.949,bars,2023.2.3,MacIntel,59.97361161,657b66ea316d21385b68909f,0.0046,19.9636,y,19.8858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5d43c0183d65ca001a804090,65af558eb1b2d753c0180a0c,2024-01-23_24h00.54.949,bars,2023.2.3,MacIntel,59.97361161,657b66ea316d21385b68909f,,,,,,19.9637,33.3884,space,13.4103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5d43c0183d65ca001a804090,65af558eb1b2d753c0180a0c,2024-01-23_24h00.54.949,bars,2023.2.3,MacIntel,59.97361161,657b66ea316d21385b68909f,,,,,,,,,,,33.3944,34.3944,34.3946,34.8952,34.8954,35.1455,35.1457,0,180,42.8824,space,7.7064,,42.8826,52.8722,space,9.9508,,0,0,0,2,1,145,bars/single002.png,bars/mask003.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5d43c0183d65ca001a804090,65af558eb1b2d753c0180a0c,2024-01-23_24h00.54.949,bars,2023.2.3,MacIntel,59.97361161,657b66ea316d21385b68909f,,,,,,,,,,,52.8844,53.8874,53.8874,54.3876,54.3877,54.6376,54.6377,150,150,61.592,space,6.939,,61.592,69.5282,space,7.9107,,0,1,1,4,1,95,bars/single004.png,bars/mask004.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5d43c0183d65ca001a804090,65af558eb1b2d753c0180a0c,2024-01-23_24h00.54.949,bars,2023.2.3,MacIntel,59.97361161,657b66ea316d21385b68909f,,,,,,,,,,,69.5401,70.5294,70.5296,71.0292,71.0292,71.2793,71.2794,165,165,77.0648,space,5.7714,,77.0649,80.6994,space,3.6033,,0,2,2,8,1,160,bars/single008.png,bars/mask004.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5d43c0183d65ca001a804090,65af558eb1b2d753c0180a0c,2024-01-23_24h00.54.949,bars,2023.2.3,MacIntel,59.97361161,657b66ea316d21385b68909f,,,,,,,,,,,80.6998,81.6992,81.6993,82.1997,82.1997,82.4508,82.4509,19,19,96.6403,space,14.1693,,96.6404,102.66,space,5.9974,,0,3,3,9,1,20,bars/single009.png,bars/mask006.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5d43c0183d65ca001a804090,65af558eb1b2d753c0180a0c,2024-01-23_24h00.54.949,bars,2023.2.3,MacIntel,59.97361161,657b66ea316d21385b68909f,,,,,,,,,,,102.6713,103.6606,103.6607,104.16,104.16,104.4108,104.4109,13,193,111.5271,space,7.107,,111.5271,113.4153,space,1.8608,,0,4,4,1,1,20,bars/single001.png,bars/mask006.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5d43c0183d65ca001a804090,65af558eb1b2d753c0180a0c,2024-01-23_24h00.54.949,bars,2023.2.3,MacIntel,59.97361161,657b66ea316d21385b68909f,,,,,,,,,,,113.4156,114.4158,114.4159,114.9162,114.9163,115.1657,115.1658,11,11,129.7558,space,14.5796,,129.7559,133.4418,space,3.6556,,0,5,5,6,1,175,bars/single006.png,bars/mask005.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5d43c0183d65ca001a804090,65af558eb1b2d753c0180a0c,2024-01-23_24h00.54.949,bars,2023.2.3,MacIntel,59.97361161,657b66ea316d21385b68909f,,,,,,,,,,,133.4423,134.4418,134.4418,134.9425,134.9425,135.1915,135.1916,143,143,168.3735,space,33.1728,,168.3736,172.0425,space,3.6444,,0,6,6,0,1,150,bars/single000.png,bars/mask006.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
