init_variables.started,init_variables.stopped,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,instruction_exp.started,instruction_exp.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,instruction_single.started,instruction_single.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,interval.started,interval.stopped,cue_single.started,cue_single.stopped,mask.started,mask.stopped,ori_response_single.started,res_ori,res,ori_response_single.stopped,key_resp_single.keys,key_resp_single.rt,key_resp_single.duration,disp_single.started,disp_single.stopped,key_resp.keys,key_resp.rt,key_resp.duration,single.thisRepN,single.thisTrialN,single.thisN,single.thisIndex,single.ran,ori,path,mask_path,instruction_bandit.started,instruction_bandit.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,cue_bandit.started,cue_bandit.stopped,bandit_res.keys,bandit_res.rt,bandit_res.duration,outcome_bandit.started,rew,action,outcome_bandit.stopped,bandit.thisRepN,bandit.thisTrialN,bandit.thisN,bandit.thisIndex,bandit.ran,actual_rew1,actual_rew2,rew1,rew2,instruction_task.started,instruction_task.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,wait_ready.started,wait_ready.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,cue.started,cue.stopped,ori_response.started,ori_response.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,outcome.started,diff1,diff2,outcome.stopped,disp_outcome_practice.started,disp_outcome_practice.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ori1,ori2,break_blk.started,break_blk.stopped,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,block.ran,condition_file
0,0,5f627ac87d0e5f2efb944c9e,65af55cc1410b53e6cb37416,2024-01-23_24h01.41.466,bars,2023.2.3,Win32,58.82352941,657b66ea316d21385b68909f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5f627ac87d0e5f2efb944c9e,65af55cc1410b53e6cb37416,2024-01-23_24h01.41.466,bars,2023.2.3,Win32,58.82352941,657b66ea316d21385b68909f,0,9.464,y,9.455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5f627ac87d0e5f2efb944c9e,65af55cc1410b53e6cb37416,2024-01-23_24h01.41.466,bars,2023.2.3,Win32,58.82352941,657b66ea316d21385b68909f,,,,,,9.464,16.317,space,6.834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5f627ac87d0e5f2efb944c9e,65af55cc1410b53e6cb37416,2024-01-23_24h01.41.466,bars,2023.2.3,Win32,58.82352941,657b66ea316d21385b68909f,,,,,,,,,,,16.322,17.314,17.315,17.814,17.815,18.066,18.066,85,85,24.55,space,6.454,,24.551,28.049,space,3.468,,0,0,0,9,1,20,bars/single009.png,bars/mask006.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5f627ac87d0e5f2efb944c9e,65af55cc1410b53e6cb37416,2024-01-23_24h01.41.466,bars,2023.2.3,Win32,58.82352941,657b66ea316d21385b68909f,,,,,,,,,,,28.064,29.064,29.064,29.564,29.564,29.814,29.814,157,157,37.466,space,7.635,,37.466,41.444,space,3.939,,0,1,1,4,1,95,bars/single004.png,bars/mask004.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5f627ac87d0e5f2efb944c9e,65af55cc1410b53e6cb37416,2024-01-23_24h01.41.466,bars,2023.2.3,Win32,58.82352941,657b66ea316d21385b68909f,,,,,,,,,,,41.464,42.46,42.461,42.96,42.96,43.21,43.21,29,29,49.993,space,6.77,,49.994,54.894,space,4.864,,0,2,2,8,1,160,bars/single008.png,bars/mask004.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5f627ac87d0e5f2efb944c9e,65af55cc1410b53e6cb37416,2024-01-23_24h01.41.466,bars,2023.2.3,Win32,58.82352941,657b66ea316d21385b68909f,,,,,,,,,,,54.919,55.911,55.911,56.412,56.412,56.662,56.662,154,154,64.283,space,7.615,,64.283,67.114,space,2.801,,0,3,3,5,1,55,bars/single005.png,bars/mask008.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5f627ac87d0e5f2efb944c9e,65af55cc1410b53e6cb37416,2024-01-23_24h01.41.466,bars,2023.2.3,Win32,58.82352941,657b66ea316d21385b68909f,,,,,,,,,,,67.146,68.131,68.131,68.63,68.63,68.88,68.88,135,-45,78.731,space,9.835,,78.731,82.581,space,3.815,,0,4,4,6,1,175,bars/single006.png,bars/mask005.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5f627ac87d0e5f2efb944c9e,65af55cc1410b53e6cb37416,2024-01-23_24h01.41.466,bars,2023.2.3,Win32,58.82352941,657b66ea316d21385b68909f,,,,,,,,,,,82.582,83.579,83.579,84.078,84.078,84.329,84.329,83,83,95.631,space,11.285,,95.632,99.425,space,3.757,,0,5,5,2,1,145,bars/single002.png,bars/mask003.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5f627ac87d0e5f2efb944c9e,65af55cc1410b53e6cb37416,2024-01-23_24h01.41.466,bars,2023.2.3,Win32,58.82352941,657b66ea316d21385b68909f,,,,,,,,,,,99.426,100.424,100.424,100.924,100.924,101.174,101.174,49,49,109.707,space,8.524,,109.708,113.696,space,3.957,,0,6,6,0,1,150,bars/single000.png,bars/mask006.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5f627ac87d0e5f2efb944c9e,65af55cc1410b53e6cb37416,2024-01-23_24h01.41.466,bars,2023.2.3,Win32,58.82352941,657b66ea316d21385b68909f,,,,,,,,,,,113.697,114.694,114.694,115.19,115.19,115.444,115.444,46,226,121.045,space,5.585,,121.045,125.656,space,4.571,,0,7,7,7,1,45,bars/single007.png,bars/mask009.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5f627ac87d0e5f2efb944c9e,65af55cc1410b53e6cb37416,2024-01-23_24h01.41.466,bars,2023.2.3,Win32,58.82352941,657b66ea316d21385b68909f,,,,,,,,,,,125.682,126.676,126.676,127.16,127.161,127.406,127.406,10,10,131.395,space,3.969,,131.395,133.155,space,1.717,,0,8,8,3,1,20,bars/single003.png,bars/mask005.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5f627ac87d0e5f2efb944c9e,65af55cc1410b53e6cb37416,2024-01-23_24h01.41.466,bars,2023.2.3,Win32,58.82352941,657b66ea316d21385b68909f,,,,,,,,,,,133.157,134.155,134.155,134.655,134.655,134.905,134.905,1,181,140.44,space,5.519,,140.44,141.573,space,1.089,,0,9,9,1,1,20,bars/single001.png,bars/mask006.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5f627ac87d0e5f2efb944c9e,65af55cc1410b53e6cb37416,2024-01-23_24h01.41.466,bars,2023.2.3,Win32,58.82352941,657b66ea316d21385b68909f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,141.576,150.007,space,8.401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
