init_variables.started,init_variables.stopped,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,instruction_exp.started,instruction_exp.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,instruction_single.started,instruction_single.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,interval.started,interval.stopped,cue_single.started,cue_single.stopped,mask.started,mask.stopped,ori_response_single.started,res_ori,res,ori_response_single.stopped,key_resp_single.keys,key_resp_single.rt,key_resp_single.duration,disp_single.started,disp_single.stopped,key_resp.keys,key_resp.rt,key_resp.duration,single.thisRepN,single.thisTrialN,single.thisN,single.thisIndex,single.ran,ori,path,mask_path,instruction_bandit.started,instruction_bandit.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,cue_bandit.started,cue_bandit.stopped,bandit_res.keys,bandit_res.rt,bandit_res.duration,outcome_bandit.started,rew,action,outcome_bandit.stopped,bandit.thisRepN,bandit.thisTrialN,bandit.thisN,bandit.thisIndex,bandit.ran,actual_rew1,actual_rew2,rew1,rew2,instruction_task.started,instruction_task.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,wait_ready.started,wait_ready.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,cue.started,cue.stopped,ori_response.started,ori_response.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,outcome.started,diff1,diff2,outcome.stopped,disp_outcome_practice.started,disp_outcome_practice.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ori1,ori2,break_blk.started,break_blk.stopped,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,block.ran,condition_file
0.0003,0.0004,5edc60da1f4a2392b9f843ad,65af5546dc8991f4776b9ef6,2024-01-23_24h02.10.163,bars,2023.2.3,Win32,60.97560976,657b66ea316d21385b68909f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5edc60da1f4a2392b9f843ad,65af5546dc8991f4776b9ef6,2024-01-23_24h02.10.163,bars,2023.2.3,Win32,60.97560976,657b66ea316d21385b68909f,0.0007,8.8482,y,8.8386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5edc60da1f4a2392b9f843ad,65af5546dc8991f4776b9ef6,2024-01-23_24h02.10.163,bars,2023.2.3,Win32,60.97560976,657b66ea316d21385b68909f,,,,,,8.8483,19.3887,space,10.524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5edc60da1f4a2392b9f843ad,65af5546dc8991f4776b9ef6,2024-01-23_24h02.10.163,bars,2023.2.3,Win32,60.97560976,657b66ea316d21385b68909f,,,,,,,,,,,19.3928,20.3873,20.3876,20.8904,20.8906,21.1414,21.1415,133,133,30.942,space,9.7681,,30.942,34.2532,space,3.2889,,0,0,0,9,1,20,bars/single009.png,bars/mask006.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5edc60da1f4a2392b9f843ad,65af5546dc8991f4776b9ef6,2024-01-23_24h02.10.163,bars,2023.2.3,Win32,60.97560976,657b66ea316d21385b68909f,,,,,,,,,,,34.2536,35.2563,35.2563,35.7595,35.7595,36.0089,36.0089,152,-28,40.7103,space,4.6834,,40.7103,44.6231,space,3.8817,,0,1,1,5,1,55,bars/single005.png,bars/mask008.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5edc60da1f4a2392b9f843ad,65af5546dc8991f4776b9ef6,2024-01-23_24h02.10.163,bars,2023.2.3,Win32,60.97560976,657b66ea316d21385b68909f,,,,,,,,,,,44.6291,45.6262,45.6263,46.1284,46.1284,46.3793,46.3793,85,85,49.3059,space,2.9085,,49.306,51.1962,space,1.8688,,0,2,2,4,1,95,bars/single004.png,bars/mask004.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5edc60da1f4a2392b9f843ad,65af5546dc8991f4776b9ef6,2024-01-23_24h02.10.163,bars,2023.2.3,Win32,60.97560976,657b66ea316d21385b68909f,,,,,,,,,,,51.1964,52.1994,52.1994,52.7014,52.7014,52.9527,52.9527,143,143,56.9165,space,3.9418,,56.9166,58.355,space,1.419,,0,3,3,2,1,145,bars/single002.png,bars/mask003.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5edc60da1f4a2392b9f843ad,65af5546dc8991f4776b9ef6,2024-01-23_24h02.10.163,bars,2023.2.3,Win32,60.97560976,657b66ea316d21385b68909f,,,,,,,,,,,58.3553,59.3581,59.3581,59.8604,59.8604,60.1111,60.1111,175,175,64.2776,space,4.1642,,64.2776,67.437,space,3.1295,,0,4,4,8,1,160,bars/single008.png,bars/mask004.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5edc60da1f4a2392b9f843ad,65af5546dc8991f4776b9ef6,2024-01-23_24h02.10.163,bars,2023.2.3,Win32,60.97560976,657b66ea316d21385b68909f,,,,,,,,,,,67.4429,68.4408,68.4408,68.9424,68.9424,69.1933,69.1933,176,-4,75.666,space,6.4403,,75.666,79.0115,space,3.3198,,0,5,5,6,1,175,bars/single006.png,bars/mask005.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5edc60da1f4a2392b9f843ad,65af5546dc8991f4776b9ef6,2024-01-23_24h02.10.163,bars,2023.2.3,Win32,60.97560976,657b66ea316d21385b68909f,,,,,,,,,,,79.0119,80.0149,80.0149,80.5162,80.5163,80.7673,80.7673,159,-21,84.6476,space,3.8603,,84.6476,87.926,space,3.2477,,0,6,6,0,1,150,bars/single000.png,bars/mask006.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
