init_variables.started,init_variables.stopped,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,instruction_exp.started,instruction_exp.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,instruction_single.started,instruction_single.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,interval.started,interval.stopped,cue_single.started,cue_single.stopped,mask.started,mask.stopped,ori_response_single.started,res_ori,res,ori_response_single.stopped,key_resp_single.keys,key_resp_single.rt,key_resp_single.duration,disp_single.started,disp_single.stopped,key_resp.keys,key_resp.rt,key_resp.duration,single.thisRepN,single.thisTrialN,single.thisN,single.thisIndex,single.ran,ori,path,mask_path,instruction_bandit.started,instruction_bandit.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,cue_bandit.started,cue_bandit.stopped,bandit_res.keys,bandit_res.rt,bandit_res.duration,outcome_bandit.started,rew,action,outcome_bandit.stopped,bandit.thisRepN,bandit.thisTrialN,bandit.thisN,bandit.thisIndex,bandit.ran,actual_rew1,actual_rew2,rew1,rew2,instruction_task.started,instruction_task.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,wait_ready.started,wait_ready.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,cue.started,cue.stopped,ori_response.started,ori_response.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,outcome.started,diff1,diff2,outcome.stopped,disp_outcome_practice.started,disp_outcome_practice.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ori1,ori2,break_blk.started,break_blk.stopped,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,block.ran,condition_file
0.0002,0.0003,6113113ee1e4e6df85ec7e8a,65af567f8504a42db6af7fd0,2024-01-23_24h03.30.972,bars,2023.2.3,Win32,60.60606061,657b66ea316d21385b68909f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6113113ee1e4e6df85ec7e8a,65af567f8504a42db6af7fd0,2024-01-23_24h03.30.972,bars,2023.2.3,Win32,60.60606061,657b66ea316d21385b68909f,0.0005,267.274,y,267.2536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6113113ee1e4e6df85ec7e8a,65af567f8504a42db6af7fd0,2024-01-23_24h03.30.972,bars,2023.2.3,Win32,60.60606061,657b66ea316d21385b68909f,,,,,,267.2741,359.8288,space,92.5353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6113113ee1e4e6df85ec7e8a,65af567f8504a42db6af7fd0,2024-01-23_24h03.30.972,bars,2023.2.3,Win32,60.60606061,657b66ea316d21385b68909f,,,,,,,,,,,359.8341,360.8276,360.8278,361.3273,361.3275,361.5811,361.5812,53,53,367.8462,space,6.2478,,367.8463,430.0556,space,62.1848,,0,0,0,5,1,55,bars/single005.png,bars/mask008.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6113113ee1e4e6df85ec7e8a,65af567f8504a42db6af7fd0,2024-01-23_24h03.30.972,bars,2023.2.3,Win32,60.60606061,657b66ea316d21385b68909f,,,,,,,,,,,430.0632,431.0536,431.0537,431.557,431.557,431.8034,431.8034,37,37,435.5396,space,3.7156,,435.5397,437.6343,space,2.0751,,0,1,1,7,1,45,bars/single007.png,bars/mask009.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6113113ee1e4e6df85ec7e8a,65af567f8504a42db6af7fd0,2024-01-23_24h03.30.972,bars,2023.2.3,Win32,60.60606061,657b66ea316d21385b68909f,,,,,,,,,,,437.6353,438.6376,438.6376,439.1338,439.1338,439.3837,439.3838,174,174,444.0028,space,4.5988,,444.0029,446.1813,space,2.1616,,0,2,2,6,1,175,bars/single006.png,bars/mask005.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6113113ee1e4e6df85ec7e8a,65af567f8504a42db6af7fd0,2024-01-23_24h03.30.972,bars,2023.2.3,Win32,60.60606061,657b66ea316d21385b68909f,,,,,,,,,,,446.1917,447.1815,447.1816,447.6814,447.6814,447.9313,447.9313,41,41,452.1675,space,4.2157,,452.1675,454.4498,space,2.2663,,0,3,3,3,1,20,bars/single003.png,bars/mask005.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6113113ee1e4e6df85ec7e8a,65af567f8504a42db6af7fd0,2024-01-23_24h03.30.972,bars,2023.2.3,Win32,60.60606061,657b66ea316d21385b68909f,,,,,,,,,,,454.4565,455.4451,455.4451,455.9486,455.9486,456.195,456.1952,22,202,461.4462,space,5.2307,,461.4462,462.8471,space,1.3834,,0,4,4,9,1,20,bars/single009.png,bars/mask006.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6113113ee1e4e6df85ec7e8a,65af567f8504a42db6af7fd0,2024-01-23_24h03.30.972,bars,2023.2.3,Win32,60.60606061,657b66ea316d21385b68909f,,,,,,,,,,,462.8472,463.8425,463.8425,464.3422,464.3423,464.5922,464.5923,150,150,466.7414,space,2.1244,,466.7415,469.5614,space,2.7995,,0,5,5,0,1,150,bars/single000.png,bars/mask006.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6113113ee1e4e6df85ec7e8a,65af567f8504a42db6af7fd0,2024-01-23_24h03.30.972,bars,2023.2.3,Win32,60.60606061,657b66ea316d21385b68909f,,,,,,,,,,,469.5615,470.5568,470.5568,471.0566,471.0566,471.3066,471.3066,151,151,474.7054,space,3.3697,,474.7054,476.638,space,1.9105,,0,6,6,8,1,160,bars/single008.png,bars/mask004.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
