init_variables.started,init_variables.stopped,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,instruction_exp.started,instruction_exp.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,instruction_single.started,instruction_single.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,interval.started,interval.stopped,cue_single.started,cue_single.stopped,mask.started,mask.stopped,ori_response_single.started,res_ori,res,ori_response_single.stopped,key_resp_single.keys,key_resp_single.rt,key_resp_single.duration,disp_single.started,disp_single.stopped,key_resp.keys,key_resp.rt,key_resp.duration,single.thisRepN,single.thisTrialN,single.thisN,single.thisIndex,single.ran,ori,path,mask_path,instruction_bandit.started,instruction_bandit.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,cue_bandit.started,cue_bandit.stopped,bandit_res.keys,bandit_res.rt,bandit_res.duration,outcome_bandit.started,rew,action,outcome_bandit.stopped,bandit.thisRepN,bandit.thisTrialN,bandit.thisN,bandit.thisIndex,bandit.ran,actual_rew1,actual_rew2,rew1,rew2,instruction_task.started,instruction_task.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,wait_ready.started,wait_ready.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,cue.started,cue.stopped,ori_response.started,ori_response.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,outcome.started,diff1,diff2,outcome.stopped,disp_outcome_practice.started,disp_outcome_practice.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ori1,ori2,break_blk.started,break_blk.stopped,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,block.ran,condition_file
0.0004,0.0006,65aafa301d1aa8daf91f5bee,65af56a58f4b972623180bb5,2024-01-23_24h07.02.417,bars,2023.2.3,Win32,60.97560976,657b66ea316d21385b68909f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,65aafa301d1aa8daf91f5bee,65af56a58f4b972623180bb5,2024-01-23_24h07.02.417,bars,2023.2.3,Win32,60.97560976,657b66ea316d21385b68909f,0.0008,437.2069,y,437.172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,65aafa301d1aa8daf91f5bee,65af56a58f4b972623180bb5,2024-01-23_24h07.02.417,bars,2023.2.3,Win32,60.97560976,657b66ea316d21385b68909f,,,,,,437.2074,453.0258,space,15.7877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,65aafa301d1aa8daf91f5bee,65af56a58f4b972623180bb5,2024-01-23_24h07.02.417,bars,2023.2.3,Win32,60.97560976,657b66ea316d21385b68909f,,,,,,,,,,,453.0366,454.0408,454.0412,454.5303,454.5306,454.7725,454.7728,48,48,457.7343,space,2.9038,,457.7346,460.4467,space,2.6761,,0,0,0,7,1,45,bars/single007.png,bars/mask009.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,65aafa301d1aa8daf91f5bee,65af56a58f4b972623180bb5,2024-01-23_24h07.02.417,bars,2023.2.3,Win32,60.97560976,657b66ea316d21385b68909f,,,,,,,,,,,460.4471,461.4428,461.443,461.9422,461.9423,462.1918,462.1918,26,26,464.6704,space,2.4631,,464.6707,466.2507,space,1.5662,,0,1,1,3,1,20,bars/single003.png,bars/mask005.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,65aafa301d1aa8daf91f5bee,65af56a58f4b972623180bb5,2024-01-23_24h07.02.417,bars,2023.2.3,Win32,60.97560976,657b66ea316d21385b68909f,,,,,,,,,,,466.2514,467.2488,467.2488,467.7478,467.7478,467.9972,467.9973,135,135,472.9885,space,4.9718,,472.9886,474.3855,space,1.371,,0,2,2,2,1,145,bars/single002.png,bars/mask003.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,65aafa301d1aa8daf91f5bee,65af56a58f4b972623180bb5,2024-01-23_24h07.02.417,bars,2023.2.3,Win32,60.97560976,657b66ea316d21385b68909f,,,,,,,,,,,474.386,475.3835,475.3835,475.8829,475.883,476.1393,476.1393,27,207,479.343,space,3.1853,,479.3431,480.574,space,1.1974,,0,3,3,9,1,20,bars/single009.png,bars/mask006.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,65aafa301d1aa8daf91f5bee,65af56a58f4b972623180bb5,2024-01-23_24h07.02.417,bars,2023.2.3,Win32,60.97560976,657b66ea316d21385b68909f,,,,,,,,,,,480.5746,481.576,481.5761,482.075,482.0751,482.3205,482.3206,5,5,485.0005,space,2.6553,,485.0005,486.7456,space,1.7143,,0,4,4,1,1,20,bars/single001.png,bars/mask006.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,65aafa301d1aa8daf91f5bee,65af56a58f4b972623180bb5,2024-01-23_24h07.02.417,bars,2023.2.3,Win32,60.97560976,657b66ea316d21385b68909f,,,,,,,,,,,486.7461,487.751,487.7511,488.2427,488.2428,488.4922,488.4923,166,166,491.7862,space,3.2697,,491.7863,493.0253,space,1.2123,,0,5,5,0,1,150,bars/single000.png,bars/mask006.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,65aafa301d1aa8daf91f5bee,65af56a58f4b972623180bb5,2024-01-23_24h07.02.417,bars,2023.2.3,Win32,60.97560976,657b66ea316d21385b68909f,,,,,,,,,,,493.0257,494.0152,494.0153,494.5143,494.5143,494.7641,494.7641,91,91,497.2096,space,2.4146,,497.2097,498.2245,space,0.9812,,0,6,6,4,1,95,bars/single004.png,bars/mask004.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
