init_variables.started,init_variables.stopped,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,instruction_exp.started,instruction_exp.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,instruction_single.started,instruction_single.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,interval.started,interval.stopped,cue_single.started,cue_single.stopped,mask.started,mask.stopped,ori_response_single.started,res_ori,res,ori_response_single.stopped,key_resp_single.keys,key_resp_single.rt,key_resp_single.duration,disp_single.started,disp_single.stopped,key_resp.keys,key_resp.rt,key_resp.duration,single.thisRepN,single.thisTrialN,single.thisN,single.thisIndex,single.ran,ori,path,mask_path,instruction_bandit.started,instruction_bandit.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,cue_bandit.started,cue_bandit.stopped,bandit_res.keys,bandit_res.rt,bandit_res.duration,outcome_bandit.started,rew,action,outcome_bandit.stopped,bandit.thisRepN,bandit.thisTrialN,bandit.thisN,bandit.thisIndex,bandit.ran,actual_rew1,actual_rew2,rew1,rew2,instruction_task.started,instruction_task.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,wait_ready.started,wait_ready.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,cue.started,cue.stopped,ori_response.started,ori_response.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,outcome.started,diff1,diff2,outcome.stopped,disp_outcome_practice.started,disp_outcome_practice.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ori1,ori2,break_blk.started,break_blk.stopped,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,block.ran,condition_file
0.0004,0.0005,5f37827296047220405dccd3,65b1a114615e993797c11079,2024-01-24_17h45.59.499,bars,2023.2.3,Win32,60.24096386,657b66ea316d21385b68909f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5f37827296047220405dccd3,65b1a114615e993797c11079,2024-01-24_17h45.59.499,bars,2023.2.3,Win32,60.24096386,657b66ea316d21385b68909f,0.0006,12.6708,y,12.6498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5f37827296047220405dccd3,65b1a114615e993797c11079,2024-01-24_17h45.59.499,bars,2023.2.3,Win32,60.24096386,657b66ea316d21385b68909f,,,,,,12.671,20.0531,space,7.3646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5f37827296047220405dccd3,65b1a114615e993797c11079,2024-01-24_17h45.59.499,bars,2023.2.3,Win32,60.24096386,657b66ea316d21385b68909f,,,,,,,,,,,20.0583,21.0525,21.0528,21.5528,21.5532,21.8029,21.8031,132,132,26.1201,space,4.2954,,26.1203,31.3535,space,5.2108,,0,0,0,2,1,145,bars/single002.png,bars/mask003.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5f37827296047220405dccd3,65b1a114615e993797c11079,2024-01-24_17h45.59.499,bars,2023.2.3,Win32,60.24096386,657b66ea316d21385b68909f,,,,,,,,,,,31.354,32.3528,32.353,32.8522,32.8523,33.1019,33.1019,1,1,40.6689,space,7.5583,,40.6691,55.2519,space,14.5543,,0,1,1,6,1,175,bars/single006.png,bars/mask005.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5f37827296047220405dccd3,65b1a114615e993797c11079,2024-01-24_17h45.59.499,bars,2023.2.3,Win32,60.24096386,657b66ea316d21385b68909f,,,,,,,,,,,55.2611,56.2513,56.2513,56.7514,56.7514,57.0013,57.0013,89,89,60.4009,space,3.3861,,60.4011,65.418,space,4.9984,,0,2,2,4,1,95,bars/single004.png,bars/mask004.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5f37827296047220405dccd3,65b1a114615e993797c11079,2024-01-24_17h45.59.499,bars,2023.2.3,Win32,60.24096386,657b66ea316d21385b68909f,,,,,,,,,,,65.4265,66.4174,66.4174,66.9176,66.9176,67.1675,67.1675,143,143,69.9343,space,2.7509,,69.9344,71.801,space,1.8484,,0,3,3,0,1,150,bars/single000.png,bars/mask006.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5f37827296047220405dccd3,65b1a114615e993797c11079,2024-01-24_17h45.59.499,bars,2023.2.3,Win32,60.24096386,657b66ea316d21385b68909f,,,,,,,,,,,71.8014,72.8006,72.8006,73.3006,73.3006,73.5505,73.5505,28,208,78.9175,space,5.3537,,78.9176,85.7505,space,6.8067,,0,4,4,9,1,20,bars/single009.png,bars/mask006.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5f37827296047220405dccd3,65b1a114615e993797c11079,2024-01-24_17h45.59.499,bars,2023.2.3,Win32,60.24096386,657b66ea316d21385b68909f,,,,,,,,,,,85.76,86.7499,86.7499,87.2498,87.2499,87.4997,87.4998,53,53,89.2505,space,1.7338,,89.2507,92.1832,space,2.9261,,0,5,5,5,1,55,bars/single005.png,bars/mask008.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5f37827296047220405dccd3,65b1a114615e993797c11079,2024-01-24_17h45.59.499,bars,2023.2.3,Win32,60.24096386,657b66ea316d21385b68909f,,,,,,,,,,,92.1918,93.1823,93.1823,93.6831,93.6831,93.9325,93.9326,47,47,95.7829,space,1.8443,,95.783,97.9329,space,2.1323,,0,6,6,7,1,45,bars/single007.png,bars/mask009.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
