init_variables.started,init_variables.stopped,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,instruction_exp.started,instruction_exp.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,instruction_single.started,instruction_single.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,interval.started,interval.stopped,cue_single.started,cue_single.stopped,mask.started,mask.stopped,ori_response_single.started,res_ori,res,ori_response_single.stopped,key_resp_single.keys,key_resp_single.rt,key_resp_single.duration,disp_single.started,disp_single.stopped,key_resp.keys,key_resp.rt,key_resp.duration,single.thisRepN,single.thisTrialN,single.thisN,single.thisIndex,single.ran,ori,path,mask_path,instruction_bandit.started,instruction_bandit.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,cue_bandit.started,cue_bandit.stopped,bandit_res.keys,bandit_res.rt,bandit_res.duration,outcome_bandit.started,rew,action,outcome_bandit.stopped,bandit.thisRepN,bandit.thisTrialN,bandit.thisN,bandit.thisIndex,bandit.ran,actual_rew1,actual_rew2,rew1,rew2,instruction_task.started,instruction_task.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,wait_ready.started,wait_ready.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,cue.started,cue.stopped,ori_response.started,ori_response.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,outcome.started,diff1,diff2,outcome.stopped,disp_outcome_practice.started,disp_outcome_practice.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ori1,ori2,break_blk.started,break_blk.stopped,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,block.ran,condition_file
0.0002,0.0003,608c349d8e7f57e8f84d3a27,65b1a112572ddd00311d4d5e,2024-01-24_23h48.09.561,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,608c349d8e7f57e8f84d3a27,65b1a112572ddd00311d4d5e,2024-01-24_23h48.09.561,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,0.0004,6.3049,y,6.2812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,608c349d8e7f57e8f84d3a27,65b1a112572ddd00311d4d5e,2024-01-24_23h48.09.561,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,,,,,,6.3052,14.5308,space,8.202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,608c349d8e7f57e8f84d3a27,65b1a112572ddd00311d4d5e,2024-01-24_23h48.09.561,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,14.5345,15.5303,15.5308,16.0297,16.0299,16.2803,16.2806,5,5,22.4467,space,6.1366,,22.4468,26.5707,space,4.1068,,0,0,0,6,1,175,bars/single006.png,bars/mask005.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,608c349d8e7f57e8f84d3a27,65b1a112572ddd00311d4d5e,2024-01-24_23h48.09.561,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,26.5721,27.5693,27.5695,28.0696,28.0698,28.3191,28.3192,28,28,31.4173,space,3.0676,,31.4176,33.832,space,2.3882,,0,1,1,9,1,20,bars/single009.png,bars/mask006.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,608c349d8e7f57e8f84d3a27,65b1a112572ddd00311d4d5e,2024-01-24_23h48.09.561,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,33.8327,34.8305,34.8307,35.3303,35.3305,35.5799,35.58,91,91,40.3433,space,4.7302,,40.3435,41.6592,space,1.2833,,0,2,2,4,1,95,bars/single004.png,bars/mask004.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,608c349d8e7f57e8f84d3a27,65b1a112572ddd00311d4d5e,2024-01-24_23h48.09.561,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,41.66,42.6569,42.657,43.1616,43.1616,43.4068,43.4068,156,156,45.9052,space,2.4685,,45.9054,47.6042,space,1.6667,,0,3,3,2,1,145,bars/single002.png,bars/mask003.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,608c349d8e7f57e8f84d3a27,65b1a112572ddd00311d4d5e,2024-01-24_23h48.09.561,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,47.605,48.6025,48.6026,49.1023,49.1025,49.3521,49.3521,137,137,52.7497,space,3.365,,52.7499,54.0318,space,1.2561,,0,4,4,0,1,150,bars/single000.png,bars/mask006.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,608c349d8e7f57e8f84d3a27,65b1a112572ddd00311d4d5e,2024-01-24_23h48.09.561,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,54.033,55.0306,55.0308,55.5302,55.5303,55.7856,55.7856,1,181,59.7794,space,3.9777,,59.7795,61.1588,space,1.3596,,0,5,5,1,1,20,bars/single001.png,bars/mask006.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,608c349d8e7f57e8f84d3a27,65b1a112572ddd00311d4d5e,2024-01-24_23h48.09.561,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,61.16,62.1581,62.1582,62.6577,62.6578,62.9073,62.9075,146,146,68.0926,space,5.1634,,68.0927,69.1366,space,1.0171,,0,6,6,8,1,160,bars/single008.png,bars/mask004.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
