init_variables.started,init_variables.stopped,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,instruction_exp.started,instruction_exp.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,instruction_single.started,instruction_single.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,interval.started,interval.stopped,cue_single.started,cue_single.stopped,mask.started,mask.stopped,ori_response_single.started,res_ori,res,ori_response_single.stopped,key_resp_single.keys,key_resp_single.rt,key_resp_single.duration,disp_single.started,disp_single.stopped,key_resp.keys,key_resp.rt,key_resp.duration,single.thisRepN,single.thisTrialN,single.thisN,single.thisIndex,single.ran,ori,path,mask_path,instruction_bandit.started,instruction_bandit.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,cue_bandit.started,cue_bandit.stopped,bandit_res.keys,bandit_res.rt,bandit_res.duration,outcome_bandit.started,rew,action,outcome_bandit.stopped,bandit.thisRepN,bandit.thisTrialN,bandit.thisN,bandit.thisIndex,bandit.ran,actual_rew1,actual_rew2,rew1,rew2,instruction_task.started,instruction_task.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,wait_ready.started,wait_ready.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,cue.started,cue.stopped,ori_response.started,ori_response.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,outcome.started,diff1,diff2,outcome.stopped,disp_outcome_practice.started,disp_outcome_practice.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ori1,ori2,break_blk.started,break_blk.stopped,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,block.ran,condition_file
0.0004,0.0007,6134ec246da4dc93db56e8f8,65b1a122c776755edf0f7664,2024-01-25_01h46.45.223,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6134ec246da4dc93db56e8f8,65b1a122c776755edf0f7664,2024-01-25_01h46.45.223,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,0.0009,16.4359,y,16.4021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6134ec246da4dc93db56e8f8,65b1a122c776755edf0f7664,2024-01-25_01h46.45.223,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,,,,,,16.4362,69.1942,space,52.7354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6134ec246da4dc93db56e8f8,65b1a122c776755edf0f7664,2024-01-25_01h46.45.223,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,69.1998,70.1885,70.1886,70.6891,70.6895,70.9383,70.9384,94,94,85.7535,space,14.7772,,85.754,115.4786,space,29.6844,,0,0,0,1,1,20,bars/single001.png,bars/mask006.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6134ec246da4dc93db56e8f8,65b1a122c776755edf0f7664,2024-01-25_01h46.45.223,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,115.4932,116.494,116.4941,116.9934,116.9934,117.2433,117.2434,21,21,129.7238,space,12.4671,,129.7238,144.8533,space,15.1061,,0,1,1,7,1,45,bars/single007.png,bars/mask009.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6134ec246da4dc93db56e8f8,65b1a122c776755edf0f7664,2024-01-25_01h46.45.223,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,144.8624,145.853,145.853,146.3532,146.3533,146.603,146.603,141,141,152.0852,space,5.4687,,152.0852,156.5505,space,4.4347,,0,2,2,0,1,150,bars/single000.png,bars/mask006.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6134ec246da4dc93db56e8f8,65b1a122c776755edf0f7664,2024-01-25_01h46.45.223,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,156.5621,157.5501,157.5501,158.05,158.05,158.2999,158.3,82,82,162.3991,space,4.083,,162.3992,167.0311,space,4.6035,,0,3,3,4,1,95,bars/single004.png,bars/mask004.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6134ec246da4dc93db56e8f8,65b1a122c776755edf0f7664,2024-01-25_01h46.45.223,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,167.0396,168.0308,168.0308,168.5314,168.5315,168.7808,168.7808,150,150,172.2632,space,3.456,,172.2632,177.4453,space,5.1493,,0,4,4,8,1,160,bars/single008.png,bars/mask004.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6134ec246da4dc93db56e8f8,65b1a122c776755edf0f7664,2024-01-25_01h46.45.223,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,177.4551,178.4449,178.4449,178.9457,178.9458,179.1948,179.1948,59,59,184.6821,space,5.4627,,184.6821,190.0337,space,5.3331,,0,5,5,5,1,55,bars/single005.png,bars/mask008.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6134ec246da4dc93db56e8f8,65b1a122c776755edf0f7664,2024-01-25_01h46.45.223,bars,2023.2.3,Win32,59.88023952,657b66ea316d21385b68909f,,,,,,,,,,,190.0455,191.0419,191.0419,191.5425,191.5426,191.7918,191.7918,151,-29,196.6573,space,4.8396,,196.6574,211.5213,space,14.8379,,0,6,6,3,1,20,bars/single003.png,bars/mask005.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
